"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","M_01","M_02","M_03","M_04","M_05","M_06","M_07","M_08","M_08_VALOR","M_08_TEXTO","M_09_A","M_09_B","M_09_C","M_09_D","M_09_E","M_09_F","M_09_G","M_09_H","M_09_I","M_10_A","M_10_B","M_10_C","M_10_D","M_10_E","M_10_F","M_10_G","M_10_H","M_10_I","M_10_J","M_10_K","M_10_L","M_10_M","M_10_N","M_10_O","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y"
535,"68547",2,1,2,2,1,1,1,NA,0,3,1,2,2,NA,NA,2,1,7000,"SIETE MIL PESOS",NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
634,"19001",1,1,6,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
827,"95001",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
829,"52001",2,1,2,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
836,"95001",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
994,"95001",2,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
1129,"68081",2,1,1,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
1348,"52001",2,1,2,2,1,1,1,NA,0,3,1,3,1,9,150000,150,1,1000,"MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
1431,"05001",2,1,6,3,1,1,1,NA,0,3,1,2,2,NA,NA,10,1,3500,"TRES MIL QUINIENTOS PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1
1461,"95001",1,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
1535,"76001",1,1,1,3,1,1,1,NA,0,3,1,5,1,30,150000,20,1,500,"QUINIENTOS PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3
1568,"63001",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
1578,"52001",3,1,2,3,1,1,1,NA,0,3,1,3,1,1,10000,10,1,2000,"DOS MIL PESOS",NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
1742,"18001",1,1,1,7,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7
1815,"05266",2,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
