"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
5661,3,2,41551,1,41,1,1,3,1,3,1,1,1,43,1
5661,3,2,41551,1,41,1,1,3,1,3,1,1,2,39,2
15561,3,2,41551,2,41,1,6,3,9,8,1,1,1,60,1
15561,3,2,41551,2,41,1,6,3,9,8,1,1,2,59,2
15561,3,2,41551,2,41,1,6,3,9,8,1,1,1,28,3
28972,3,2,41001,2,41,2,4,4,9,3,1,1,1,56,1
30927,3,2,41001,2,41,2,2,4,9,6,1,1,1,59,3
30927,3,2,41001,2,41,2,2,4,9,6,1,1,1,85,1
30927,3,2,41001,2,41,2,2,4,9,6,1,1,2,62,3
32479,3,2,41001,2,41,1,6,3,9,6,1,1,1,63,1
32549,3,2,41001,2,41,1,1,4,9,6,1,1,1,60,1
32549,3,2,41001,2,41,1,1,4,9,6,1,1,2,55,2
33974,3,2,41001,1,41,1,1,4,9,3,1,1,1,44,1
33974,3,2,41001,1,41,1,1,4,9,3,1,1,2,66,2
41957,3,2,41001,1,41,1,1,4,9,5,1,1,1,65,10
41957,3,2,41001,1,41,1,1,4,9,5,1,1,2,73,1
46890,2,2,41001,2,41,1,1,4,9,3,1,1,1,52,1
