"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
4665,3,2,41001,2,41,1,6,4,9,5,1,1,1,46,1
4665,3,2,41001,2,41,1,6,4,9,5,1,1,1,18,3
4665,3,2,41001,2,41,1,6,4,9,5,1,1,2,35,2
6093,3,2,41001,1,41,1,1,5,9,5,1,1,2,24,1
6093,3,2,41001,1,41,1,1,5,9,5,1,1,1,24,2
6849,3,1,41001,1,41,2,7,4,9,4,1,1,1,19,5
6849,3,1,41001,1,41,2,7,4,9,4,1,1,1,21,8
6849,3,1,41001,1,41,2,7,4,9,4,1,1,2,58,3
6849,3,1,41001,1,41,2,7,4,9,4,1,1,2,59,3
6849,3,1,41001,1,41,2,7,4,9,4,1,1,2,77,1
8953,3,2,41001,3,41,2,2,2,9,7,1,2,1,48,1
8953,3,2,41001,3,41,2,2,2,9,7,1,2,1,3,8
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,51,7
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,76,6
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,50,7
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,23,8
15318,3,1,41551,2,41,1,1,4,9,7,1,1,2,21,2
15318,3,1,41551,2,41,1,1,4,9,7,1,1,1,25,1
16084,3,2,41551,1,41,1,1,4,9,4,1,1,2,20,2
16084,3,2,41551,1,41,1,1,4,9,4,1,1,1,33,1
16084,3,2,41551,1,41,1,1,4,9,4,1,1,1,2,3
16084,3,2,41551,1,41,1,1,4,9,4,1,1,2,3,3
20102,3,2,41298,2,41,1,1,4,9,4,1,1,2,40,2
20102,3,2,41298,2,41,1,1,4,9,4,1,1,1,63,1
20102,3,2,41298,2,41,1,1,4,9,4,1,1,1,6,3
28321,3,2,41001,2,41,1,1,4,9,7,1,1,1,35,10
28321,3,2,41001,2,41,1,1,4,9,7,1,1,1,27,1
29472,3,2,41001,1,41,1,1,3,9,3,1,1,2,32,2
29472,3,2,41001,1,41,1,1,3,9,3,1,1,1,48,1
30405,3,2,41001,3,41,1,1,4,9,6,3,2,2,26,8
30405,3,2,41001,3,41,1,1,4,9,6,3,2,1,22,1
30927,3,1,41001,2,41,2,2,4,9,6,1,1,1,59,3
30927,3,1,41001,2,41,2,2,4,9,6,1,1,1,85,1
30927,3,1,41001,2,41,2,2,4,9,6,1,1,2,62,3
32479,3,2,41001,2,41,1,6,3,9,6,1,1,1,63,1
33589,3,2,41001,2,41,1,1,5,9,6,1,1,1,2,5
33589,3,2,41001,2,41,1,1,5,9,6,1,1,1,43,1
33589,3,2,41001,2,41,1,1,5,9,6,1,1,2,21,3
33589,3,2,41001,2,41,1,1,5,9,6,1,1,2,14,3
39104,3,2,41001,5,41,1,1,4,9,7,1,1,1,42,3
39104,3,2,41001,5,41,1,1,4,9,7,1,1,2,72,1
39428,3,2,41001,2,41,1,1,3,9,6,1,1,2,31,2
39428,3,2,41001,2,41,1,1,3,9,6,1,1,2,7,3
39428,3,2,41001,2,41,1,1,3,9,6,1,1,2,19,10
39428,3,2,41001,2,41,1,1,3,9,6,1,1,1,37,1
40832,3,2,41001,1,41,1,1,5,9,4,1,1,1,22,3
40832,3,2,41001,1,41,1,1,5,9,4,1,1,1,6,3
40832,3,2,41001,1,41,1,1,5,9,4,1,1,2,41,1
40832,3,2,41001,1,41,1,1,5,9,4,1,1,1,42,2
40832,3,2,41001,1,41,1,1,5,9,4,1,1,1,11,3
41957,3,2,41001,1,41,1,1,4,9,5,1,1,1,65,10
41957,3,2,41001,1,41,1,1,4,9,5,1,1,2,73,1
44146,2,1,41001,3,41,1,2,4,9,5,2,2,1,33,1
44146,2,1,41001,3,41,1,2,4,9,5,2,2,2,19,10
44962,3,2,41001,1,41,1,1,4,9,4,1,2,2,22,1
44962,3,2,41001,1,41,1,1,4,9,4,1,2,2,1,3
46890,2,1,41001,2,41,1,1,4,9,3,1,1,1,52,1
