"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
6093,2,1,41001,1,41,1,1,5,9,5,1,1,2,24,1
6093,2,1,41001,1,41,1,1,5,9,5,1,1,1,24,2
8953,3,2,41001,3,41,2,2,2,9,7,1,2,1,48,1
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,76,6
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,51,7
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,50,7
8953,3,2,41001,3,41,2,2,2,9,7,1,2,1,3,8
8953,3,2,41001,3,41,2,2,2,9,7,1,2,2,23,8
15318,9,2,41551,2,41,1,1,4,9,7,1,1,1,25,1
15318,9,2,41551,2,41,1,1,4,9,7,1,1,2,21,2
17088,2,2,41001,1,41,1,1,3,9,4,1,2,2,35,1
17088,2,2,41001,1,41,1,1,3,9,4,1,2,1,40,2
17088,2,2,41001,1,41,1,1,3,9,4,1,2,1,11,3
17088,2,2,41001,1,41,1,1,3,9,4,1,2,1,1,3
17088,2,2,41001,1,41,1,1,3,9,4,1,2,2,17,3
17088,2,2,41001,1,41,1,1,3,9,4,1,2,2,18,3
