"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1503,3,1,41001,2,41,2,3,4,9,5,1,1,2,50,1
1503,3,1,41001,2,41,2,3,4,9,5,1,1,2,78,6
1503,3,1,41001,2,41,2,3,4,9,5,1,1,1,24,3
2722,3,2,41001,2,41,2,2,3,9,3,1,1,2,67,2
2722,3,2,41001,2,41,2,2,3,9,3,1,1,1,61,1
3361,3,2,41001,2,41,1,1,4,9,4,1,1,1,59,1
3361,3,2,41001,2,41,1,1,4,9,4,1,1,2,69,6
3523,2,1,41001,2,41,2,3,4,9,7,1,1,1,21,1
4080,3,2,41001,2,41,1,1,4,9,4,1,1,1,37,1
4080,3,2,41001,2,41,1,1,4,9,4,1,1,1,26,10
4080,3,2,41001,2,41,1,1,4,9,4,1,1,2,32,2
4080,3,2,41001,2,41,1,1,4,9,4,1,1,2,1,3
5499,3,2,41001,1,41,1,1,4,9,6,1,1,1,30,1
5499,3,2,41001,1,41,1,1,4,9,6,1,1,2,1,3
5499,3,2,41001,1,41,1,1,4,9,6,1,1,2,5,3
5499,3,2,41001,1,41,1,1,4,9,6,1,1,2,24,2
5499,3,2,41001,1,41,1,1,4,9,6,1,1,1,7,3
5661,3,2,41551,1,41,1,1,3,1,3,1,1,2,39,2
5661,3,2,41551,1,41,1,1,3,1,3,1,1,1,43,1
5971,3,2,41001,2,41,1,3,5,9,6,1,1,1,22,1
6015,3,2,41001,1,41,1,1,5,9,5,1,1,1,29,1
6015,3,2,41001,1,41,1,1,5,9,5,1,1,2,30,2
6015,3,2,41001,1,41,1,1,5,9,5,1,1,1,10,3
6015,3,2,41001,1,41,1,1,5,9,5,1,1,1,8,3
6015,3,2,41001,1,41,1,1,5,9,5,1,1,1,55,6
6093,3,1,41001,1,41,1,1,5,9,5,1,1,2,24,1
6093,3,1,41001,1,41,1,1,5,9,5,1,1,1,24,2
6849,3,1,41001,1,41,2,7,4,9,4,1,1,2,59,3
6849,3,1,41001,1,41,2,7,4,9,4,1,1,2,58,3
6849,3,1,41001,1,41,2,7,4,9,4,1,1,1,19,5
6849,3,1,41001,1,41,2,7,4,9,4,1,1,1,21,8
6849,3,1,41001,1,41,2,7,4,9,4,1,1,2,77,1
7655,3,2,41001,2,41,1,1,3,1,3,1,1,1,48,1
7655,3,2,41001,2,41,1,1,3,1,3,1,1,2,22,3
8636,3,2,41001,2,41,1,1,4,9,5,1,1,2,20,2
8636,3,2,41001,2,41,1,1,4,9,5,1,1,1,2,3
8636,3,2,41001,2,41,1,1,4,9,5,1,1,1,29,1
8953,1,1,41001,3,41,2,2,2,9,7,1,2,1,3,8
8953,1,1,41001,3,41,2,2,2,9,7,1,2,2,23,8
8953,1,1,41001,3,41,2,2,2,9,7,1,2,2,51,7
8953,1,1,41001,3,41,2,2,2,9,7,1,2,2,50,7
8953,1,1,41001,3,41,2,2,2,9,7,1,2,2,76,6
8953,1,1,41001,3,41,2,2,2,9,7,1,2,1,48,1
9772,9,2,41551,2,41,1,1,4,9,3,1,1,1,30,8
9772,9,2,41551,2,41,1,1,4,9,3,1,1,1,53,1
