"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
7061,3,2,11001,3,11,1,1,4,9,5,1,1,1,37,3
7061,3,2,11001,3,11,1,1,4,9,5,1,1,1,58,2
7061,3,2,11001,3,11,1,1,4,9,5,1,1,2,60,1
7061,3,2,11001,3,11,1,1,4,9,5,1,1,1,31,3
7834,3,2,11001,2,11,1,2,3,1,3,1,1,1,27,1
15341,3,2,11001,3,11,1,4,3,9,5,1,1,1,43,1
16640,3,2,11001,2,11,1,1,4,9,4,1,1,1,50,1
20368,3,2,11001,2,11,2,4,3,9,6,1,2,1,2,3
20368,3,2,11001,2,11,2,4,3,9,6,1,2,1,26,1
20368,3,2,11001,2,11,2,4,3,9,6,1,2,2,26,2
20604,3,2,11001,2,11,2,3,4,9,7,1,2,1,22,1
20604,3,2,11001,2,11,2,3,4,9,7,1,2,2,42,6
20604,3,2,11001,2,11,2,3,4,9,7,1,2,1,18,7
20604,3,2,11001,2,11,2,3,4,9,7,1,2,2,20,7
20604,3,2,11001,2,11,2,3,4,9,7,1,2,2,21,2
23432,3,2,11001,2,11,1,1,4,9,5,1,2,1,41,1
23432,3,2,11001,2,11,1,1,4,9,5,1,2,2,10,3
23432,3,2,11001,2,11,1,1,4,9,5,1,2,2,28,2
23597,3,2,11001,3,11,1,1,4,9,3,1,1,2,66,2
23597,3,2,11001,3,11,1,1,4,9,3,1,1,1,65,1
28161,3,1,11001,3,11,1,1,5,9,6,1,1,2,24,2
28161,3,1,11001,3,11,1,1,5,9,6,1,1,1,28,1
31462,3,2,11001,6,11,2,5,3,9,7,1,2,2,59,1
31524,3,2,11001,2,11,2,2,3,9,5,1,1,2,36,1
31524,3,2,11001,2,11,2,2,3,9,5,1,1,1,18,3
31524,3,2,11001,2,11,2,2,3,9,5,1,1,2,0,3
31631,3,2,11001,2,11,1,1,4,9,4,1,1,1,4,3
31631,3,2,11001,2,11,1,1,4,9,4,1,1,2,20,2
31631,3,2,11001,2,11,1,1,4,9,4,1,1,1,22,1
35077,3,2,11001,2,11,1,1,4,9,4,1,1,1,61,3
35077,3,2,11001,2,11,1,1,4,9,4,1,1,2,86,1
35077,3,2,11001,2,11,1,1,4,9,4,1,1,1,57,3
35077,3,2,11001,2,11,1,1,4,9,4,1,1,1,57,3
39430,3,2,11001,3,11,2,4,3,9,4,1,2,2,47,1
39430,3,2,11001,3,11,2,4,3,9,4,1,2,2,18,3
39430,3,2,11001,3,11,2,4,3,9,4,1,2,1,57,2
39430,3,2,11001,3,11,2,4,3,9,4,1,2,2,89,8
39430,3,2,11001,3,11,2,4,3,9,4,1,2,2,64,6
41497,3,2,11001,3,11,1,1,4,9,5,1,1,1,58,1
42260,3,2,11001,2,11,1,1,3,9,7,1,2,2,51,1
42260,3,2,11001,2,11,1,1,3,9,7,1,2,2,93,6
42260,3,2,11001,2,11,1,1,3,9,7,1,2,2,28,3
42260,3,2,11001,2,11,1,1,3,9,7,1,2,1,28,4
42356,3,2,11001,1,11,1,1,4,9,5,1,1,1,2,3
42356,3,2,11001,1,11,1,1,4,9,5,1,1,1,27,1
42356,3,2,11001,1,11,1,1,4,9,5,1,1,1,0,3
42356,3,2,11001,1,11,1,1,4,9,5,1,1,2,25,2
42538,3,1,11001,3,11,2,4,4,9,5,1,2,2,42,1
42538,3,1,11001,3,11,2,4,4,9,5,1,2,1,25,4
42538,3,1,11001,3,11,2,4,4,9,5,1,2,1,68,2
42538,3,1,11001,3,11,2,4,4,9,5,1,2,2,22,3
46770,3,2,11001,3,11,1,2,5,9,6,1,1,1,54,1
47298,3,2,11001,2,11,2,2,2,9,4,1,1,2,35,3
47298,3,2,11001,2,11,2,2,2,9,4,1,1,2,15,5
47298,3,2,11001,2,11,2,2,2,9,4,1,1,1,34,4
47298,3,2,11001,2,11,2,2,2,9,4,1,1,2,71,1
47298,3,2,11001,2,11,2,2,2,9,4,1,1,1,13,5
47472,3,2,11001,2,11,1,1,3,9,1,1,2,1,6,5
47472,3,2,11001,2,11,1,1,3,9,1,1,2,2,13,3
47472,3,2,11001,2,11,1,1,3,9,1,1,2,2,9,5
47472,3,2,11001,2,11,1,1,3,9,1,1,2,2,4,5
47472,3,2,11001,2,11,1,1,3,9,1,1,2,2,26,3
47472,3,2,11001,2,11,1,1,3,9,1,1,2,2,53,1
47669,3,2,11001,2,11,1,1,3,9,5,1,1,1,56,1
47669,3,2,11001,2,11,1,1,3,9,5,1,1,2,58,2
47860,3,1,11001,1,11,2,2,4,9,4,1,2,1,18,7
47860,3,1,11001,1,11,2,2,4,9,4,1,2,2,19,1
53567,3,2,11001,2,11,2,2,4,9,5,1,2,1,19,5
53567,3,2,11001,2,11,2,2,4,9,5,1,2,1,7,5
53567,3,2,11001,2,11,2,2,4,9,5,1,2,2,37,3
53567,3,2,11001,2,11,2,2,4,9,5,1,2,2,34,3
53567,3,2,11001,2,11,2,2,4,9,5,1,2,1,38,4
53567,3,2,11001,2,11,2,2,4,9,5,1,2,1,0,5
53567,3,2,11001,2,11,2,2,4,9,5,1,2,2,4,5
53567,3,2,11001,2,11,2,2,4,9,5,1,2,2,34,3
53567,3,2,11001,2,11,2,2,4,9,5,1,2,2,69,1
53567,3,2,11001,2,11,2,2,4,9,5,1,2,1,8,5
53567,3,2,11001,2,11,2,2,4,9,5,1,2,1,17,5
53819,3,2,11001,2,11,1,1,5,9,7,1,1,1,53,1
53840,3,2,11001,3,11,1,1,4,9,7,1,1,1,55,1
