"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1431,3,2,5001,6,5,1,5,5,9,7,1,1,1,57,1
1431,3,2,5001,6,5,1,5,5,9,7,1,1,2,78,6
1431,3,2,5001,6,5,1,5,5,9,7,1,1,1,56,8
1455,3,2,5001,1,5,1,1,4,9,3,1,1,1,5,3
1455,3,2,5001,1,5,1,1,4,9,3,1,1,1,23,1
1455,3,2,5001,1,5,1,1,4,9,3,1,1,2,23,2
1825,9,1,5001,2,5,2,7,4,9,4,1,1,1,31,3
1825,9,1,5001,2,5,2,7,4,9,4,1,1,2,50,2
1825,9,1,5001,2,5,2,7,4,9,4,1,1,1,25,3
1825,9,1,5001,2,5,2,7,4,9,4,1,1,1,53,1
1825,9,1,5001,2,5,2,7,4,9,4,1,1,2,33,3
1829,3,2,5001,6,5,1,1,5,9,8,1,1,1,56,1
1829,3,2,5001,6,5,1,1,5,9,8,1,1,2,62,2
2474,3,2,5266,3,5,1,2,3,9,7,1,1,1,41,1
2522,3,2,5266,3,5,1,1,4,9,6,1,1,1,27,4
2522,3,2,5266,3,5,1,1,4,9,6,1,1,1,35,4
2522,3,2,5266,3,5,1,1,4,9,6,1,1,2,77,1
3243,3,2,5001,4,5,1,2,4,9,4,1,1,1,62,1
3758,3,2,5001,4,5,1,1,4,9,3,1,1,2,23,3
3758,3,2,5001,4,5,1,1,4,9,3,1,1,2,54,2
3758,3,2,5001,4,5,1,1,4,9,3,1,1,1,28,3
3758,3,2,5001,4,5,1,1,4,9,3,1,1,1,58,1
4921,9,9,5001,2,5,1,2,4,1,6,1,1,1,27,5
4921,9,9,5001,2,5,1,2,4,1,6,1,1,2,65,1
4984,1,1,5001,2,5,1,1,5,9,4,1,1,1,10,5
4984,1,1,5001,2,5,1,1,5,9,4,1,1,1,31,3
4984,1,1,5001,2,5,1,1,5,9,4,1,1,2,31,3
4984,1,1,5001,2,5,1,1,5,9,4,1,1,2,59,1
4993,3,1,5001,2,5,1,1,3,9,4,1,1,1,53,1
5094,3,2,5001,2,5,1,1,4,9,3,1,2,2,68,1
5094,3,2,5001,2,5,1,1,4,9,3,1,2,1,10,5
5094,3,2,5001,2,5,1,1,4,9,3,1,2,2,38,3
5094,3,2,5001,2,5,1,1,4,9,3,1,2,1,41,3
5310,3,2,5001,2,5,1,4,2,9,4,1,2,2,53,1
5310,3,2,5001,2,5,1,4,2,9,4,1,2,1,71,2
5310,3,2,5001,2,5,1,4,2,9,4,1,2,1,1,5
5310,3,2,5001,2,5,1,4,2,9,4,1,2,2,18,4
5442,3,1,5001,5,5,2,8,3,9,6,2,1,1,30,1
5466,3,2,5001,3,5,1,1,4,9,4,1,1,1,55,3
5466,3,2,5001,3,5,1,1,4,9,4,1,1,2,60,3
5466,3,2,5001,3,5,1,1,4,9,4,1,1,2,64,3
5466,3,2,5001,3,5,1,1,4,9,4,1,1,1,63,3
5466,3,2,5001,3,5,1,1,4,9,4,1,1,1,49,3
5466,3,2,5001,3,5,1,1,4,9,4,1,1,2,82,1
5473,3,1,5212,2,5,1,1,3,9,4,1,1,1,40,3
5473,3,1,5212,2,5,1,1,3,9,4,1,1,1,45,3
5473,3,1,5212,2,5,1,1,3,9,4,1,1,2,70,1
5473,3,1,5212,2,5,1,1,3,9,4,1,1,1,46,3
5473,3,1,5212,2,5,1,1,3,9,4,1,1,1,47,3
5967,3,2,5837,1,5,1,1,5,5,3,1,1,1,47,1
5967,3,2,5837,1,5,1,1,5,5,3,1,1,2,8,3
5967,3,2,5837,1,5,1,1,5,5,3,1,1,2,35,2
5967,3,2,5837,1,5,1,1,5,5,3,1,1,1,0,3
6040,3,2,5837,1,5,1,1,4,5,3,1,1,1,21,5
6040,3,2,5837,1,5,1,1,4,5,3,1,1,1,39,3
6040,3,2,5837,1,5,1,1,4,5,3,1,1,2,76,1
6224,3,2,5001,2,5,1,1,5,9,4,1,1,2,31,2
6224,3,2,5001,2,5,1,1,5,9,4,1,1,1,14,3
6224,3,2,5001,2,5,1,1,5,9,4,1,1,1,24,10
6224,3,2,5001,2,5,1,1,5,9,4,1,1,1,49,1
7162,3,2,5380,3,5,1,1,4,9,5,1,1,1,49,1
7162,3,2,5380,3,5,1,1,4,9,5,1,1,2,12,3
7162,3,2,5380,3,5,1,1,4,9,5,1,1,2,19,3
7162,3,2,5380,3,5,1,1,4,9,5,1,1,2,29,2
7560,3,2,5001,4,5,2,3,5,9,7,1,1,1,26,3
7560,3,2,5001,4,5,2,3,5,9,7,1,1,2,60,2
7560,3,2,5001,4,5,2,3,5,9,7,1,1,1,28,3
7560,3,2,5001,4,5,2,3,5,9,7,1,1,1,64,1
7572,1,1,5001,3,5,1,1,3,5,4,1,1,1,23,1
7572,1,1,5001,3,5,1,1,3,5,4,1,1,2,3,3
