"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
2081,3,2,5001,2,5,1,1,4,9,6,2,2,2,20,1
2081,3,2,5001,2,5,1,1,4,9,6,2,2,2,59,6
5442,3,2,5001,5,5,2,8,3,9,6,2,1,1,30,1
6224,3,2,5001,2,5,1,1,5,9,4,1,1,2,31,2
6224,3,2,5001,2,5,1,1,5,9,4,1,1,1,49,1
6224,3,2,5001,2,5,1,1,5,9,4,1,1,1,14,3
6224,3,2,5001,2,5,1,1,5,9,4,1,1,1,24,10
7560,3,2,5001,4,5,2,3,5,9,7,1,1,1,28,3
7560,3,2,5001,4,5,2,3,5,9,7,1,1,2,60,2
7560,3,2,5001,4,5,2,3,5,9,7,1,1,1,64,1
7560,3,2,5001,4,5,2,3,5,9,7,1,1,1,26,3
7572,1,1,5001,3,5,1,1,3,5,4,1,1,2,19,2
7572,1,1,5001,3,5,1,1,3,5,4,1,1,2,3,3
7572,1,1,5001,3,5,1,1,3,5,4,1,1,1,23,1
7877,9,2,5001,2,5,2,2,5,9,4,1,1,1,22,3
7877,9,2,5001,2,5,2,2,5,9,4,1,1,2,43,1
8517,3,2,5266,3,5,1,1,5,9,7,1,1,1,26,10
8517,3,2,5266,3,5,1,1,5,9,7,1,1,1,32,1
8517,3,2,5266,3,5,1,1,5,9,7,1,1,1,20,10
8517,3,2,5266,3,5,1,1,5,9,7,1,1,1,32,10
8517,3,2,5266,3,5,1,1,5,9,7,1,1,2,28,2
8517,3,2,5266,3,5,1,1,5,9,7,1,1,1,27,10
8517,3,2,5266,3,5,1,1,5,9,7,1,1,2,25,10
8917,3,2,5001,2,5,2,2,3,9,5,1,1,1,23,3
8917,3,2,5001,2,5,2,2,3,9,5,1,1,1,52,1
9623,3,2,5001,5,5,1,1,4,9,6,1,1,1,27,1
11487,3,2,5001,3,5,1,1,5,9,6,1,2,1,26,10
11487,3,2,5001,3,5,1,1,5,9,6,1,2,2,29,1
11487,3,2,5001,3,5,1,1,5,9,6,1,2,1,18,10
12709,3,1,5579,1,5,1,2,4,9,6,2,2,2,22,1
12944,3,2,5001,4,5,1,1,4,9,7,1,1,1,24,3
12944,3,2,5001,4,5,1,1,4,9,7,1,1,1,28,3
12944,3,2,5001,4,5,1,1,4,9,7,1,1,2,63,1
13286,3,2,5266,2,5,1,7,3,9,5,1,1,2,48,1
13286,3,2,5266,2,5,1,7,3,9,5,1,1,1,21,3
13977,3,2,5266,2,5,1,4,3,9,5,1,2,1,1,3
13977,3,2,5266,2,5,1,4,3,9,5,1,2,2,25,1
13977,3,2,5266,2,5,1,4,3,9,5,1,2,1,26,2
15037,3,2,5001,2,5,1,1,4,9,5,1,1,2,16,3
15037,3,2,5001,2,5,1,1,4,9,5,1,1,2,38,2
15037,3,2,5001,2,5,1,1,4,9,5,1,1,1,37,1
15037,3,2,5001,2,5,1,1,4,9,5,1,1,1,2,3
15069,3,1,5001,3,5,1,1,5,9,3,1,1,1,24,3
15069,3,1,5001,3,5,1,1,5,9,3,1,1,2,40,1
15087,3,2,5001,4,5,1,1,5,9,7,1,2,2,40,1
15180,3,2,5001,2,5,2,4,4,9,4,1,2,1,3,3
15180,3,2,5001,2,5,2,4,4,9,4,1,2,1,19,3
15180,3,2,5001,2,5,2,4,4,9,4,1,2,2,28,3
15180,3,2,5001,2,5,2,4,4,9,4,1,2,2,10,3
15180,3,2,5001,2,5,2,4,4,9,4,1,2,2,48,1
16532,3,1,5001,3,5,1,4,4,9,5,1,1,1,31,1
16532,3,1,5001,3,5,1,4,4,9,5,1,1,2,26,2
16603,3,2,5001,3,5,1,1,3,9,5,1,1,1,35,1
16603,3,2,5001,3,5,1,1,3,9,5,1,1,2,24,2
17197,3,2,5001,3,5,1,3,4,9,7,1,1,2,49,1
17197,3,2,5001,3,5,1,3,4,9,7,1,1,1,17,3
17197,3,2,5001,3,5,1,3,4,9,7,1,1,1,23,3
19770,3,2,5001,3,5,1,1,5,9,6,1,2,2,36,1
20171,3,2,5001,2,5,1,1,3,9,5,1,2,2,38,1
21805,3,2,5045,4,5,2,4,4,9,7,1,2,2,32,2
21805,3,2,5045,4,5,2,4,4,9,7,1,2,1,42,1
21805,3,2,5045,4,5,2,4,4,9,7,1,2,2,6,3
22758,3,2,5001,2,5,1,1,5,9,3,1,1,1,66,7
22758,3,2,5001,2,5,1,1,5,9,3,1,1,1,63,1
22758,3,2,5001,2,5,1,1,5,9,3,1,1,2,67,7
22758,3,2,5001,2,5,1,1,5,9,3,1,1,1,59,7
22790,3,1,5001,3,5,1,4,5,9,6,1,2,2,53,1
22790,3,1,5001,3,5,1,4,5,9,6,1,2,2,25,8
22790,3,1,5001,3,5,1,4,5,9,6,1,2,2,7,8
22932,3,2,5001,2,5,1,1,5,9,5,1,1,1,24,3
22932,3,2,5001,2,5,1,1,5,9,5,1,1,2,36,1
22932,3,2,5001,2,5,1,1,5,9,5,1,1,1,28,3
22932,3,2,5001,2,5,1,1,5,9,5,1,1,1,20,3
22932,3,2,5001,2,5,1,1,5,9,5,1,1,1,42,2
23229,3,2,5001,3,5,1,1,4,9,6,1,1,1,37,1
23229,3,2,5001,3,5,1,1,4,9,6,1,1,2,42,2
