"DIRECTORIO","O_01","O_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
12451,3,2,11001,4,11,2,4,4,9,7,1,1,1,65,3
12451,3,2,11001,4,11,2,4,4,9,7,1,1,2,90,1
26250,3,1,11001,2,11,1,1,3,9,5,1,1,1,40,1
26250,3,1,11001,2,11,1,1,3,9,5,1,1,2,33,2
26250,3,1,11001,2,11,1,1,3,9,5,1,1,2,20,3
28161,3,2,11001,3,11,1,1,5,9,6,1,1,2,24,2
28161,3,2,11001,3,11,1,1,5,9,6,1,1,1,28,1
38155,3,2,11001,6,11,1,6,4,9,4,1,1,1,65,1
46715,3,2,11001,4,11,1,1,5,9,8,1,1,2,41,2
46715,3,2,11001,4,11,1,1,5,9,8,1,1,1,9,3
46715,3,2,11001,4,11,1,1,5,9,8,1,1,1,47,1
