"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1431,3,2,5001,6,5,1,5,5,9,7,1,1,2,78,6
1431,3,2,5001,6,5,1,5,5,9,7,1,1,1,56,8
1431,3,2,5001,6,5,1,5,5,9,7,1,1,1,57,1
1446,3,2,5001,2,5,1,1,4,9,3,1,2,2,56,1
1446,3,2,5001,2,5,1,1,4,9,3,1,2,1,20,5
1446,3,2,5001,2,5,1,1,4,9,3,1,2,2,38,3
1446,3,2,5001,2,5,1,1,4,9,3,1,2,2,15,5
1446,3,2,5001,2,5,1,1,4,9,3,1,2,2,22,3
1455,1,1,5001,1,5,1,1,4,9,3,1,1,1,5,3
1455,1,1,5001,1,5,1,1,4,9,3,1,1,1,23,1
1455,1,1,5001,1,5,1,1,4,9,3,1,1,2,23,2
1814,3,2,5001,6,5,1,1,5,9,8,1,2,2,31,1
1814,3,2,5001,6,5,1,1,5,9,8,1,2,2,67,6
1814,3,2,5001,6,5,1,1,5,9,8,1,2,1,78,6
1815,3,2,5266,2,5,1,1,5,9,3,1,1,1,64,1
1815,3,2,5266,2,5,1,1,5,9,3,1,1,2,58,2
1825,3,1,5001,2,5,2,7,4,9,4,1,1,1,31,3
1825,3,1,5001,2,5,2,7,4,9,4,1,1,1,53,1
1825,3,1,5001,2,5,2,7,4,9,4,1,1,1,25,3
1825,3,1,5001,2,5,2,7,4,9,4,1,1,2,33,3
1825,3,1,5001,2,5,2,7,4,9,4,1,1,2,50,2
1829,3,2,5001,6,5,1,1,5,9,8,1,1,2,62,2
1829,3,2,5001,6,5,1,1,5,9,8,1,1,1,56,1
1832,3,2,5001,2,5,1,1,4,9,3,1,1,1,51,1
1839,3,2,5266,2,5,1,1,3,9,7,1,2,2,47,2
1839,3,2,5266,2,5,1,1,3,9,7,1,2,1,50,1
1839,3,2,5266,2,5,1,1,3,9,7,1,2,2,14,3
1839,3,2,5266,2,5,1,1,3,9,7,1,2,2,24,3
1890,3,2,5001,2,5,1,1,5,1,5,1,1,1,39,1
1955,3,2,5266,2,5,1,1,4,9,5,1,1,1,58,7
1955,3,2,5266,2,5,1,1,4,9,5,1,1,1,36,8
1955,3,2,5266,2,5,1,1,4,9,5,1,1,2,62,1
1955,3,2,5266,2,5,1,1,4,9,5,1,1,2,36,8
2081,1,1,5001,2,5,1,1,4,9,6,2,2,2,59,6
2081,1,1,5001,2,5,1,1,4,9,6,2,2,2,20,1
2151,3,2,5001,2,5,2,1,4,9,4,1,1,1,5,3
2151,3,2,5001,2,5,2,1,4,9,4,1,1,2,27,2
2151,3,2,5001,2,5,2,1,4,9,4,1,1,1,25,1
2151,3,2,5001,2,5,2,1,4,9,4,1,1,1,4,3
2348,3,2,5001,2,5,1,2,5,9,5,1,1,1,56,1
2353,3,2,5001,2,5,1,1,4,9,5,1,1,1,35,1
