"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
18,81001,1,1,3,2,1,1,1,NA,0,81,1,4,NA,NA,NA,1,3,3,1,1,4,4,5,4,4,4,4,4,3,3,3,4,3,4,1,1,1,1,2,NA,2,1,2,1,2,5,3,305,1,2,2,1,2,1,73,1,3,3,NA,NA,1,1,1,NA
18,81001,1,1,3,2,1,1,1,NA,0,81,1,4,NA,NA,NA,1,3,3,1,1,4,4,5,4,4,4,4,4,3,3,3,4,3,4,1,1,1,1,2,NA,2,1,2,1,2,5,3,305,1,2,2,1,2,2,64,2,3,3,1,1,2,1,2,1
22,81001,1,1,2,6,1,1,1,NA,0,81,1,1,6,1,72,1,3,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,6,1,6,9,6,0,6,604,1,1,6,1,6,2,27,3,2,1,NA,NA,2,1,2,NA
22,81001,1,1,2,6,1,1,1,NA,0,81,1,1,6,1,72,1,3,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,6,1,6,9,6,0,6,604,1,1,6,1,6,2,5,5,2,1,NA,NA,4,1,4,NA
22,81001,1,1,2,6,1,1,1,NA,0,81,1,1,6,1,72,1,3,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,6,1,6,9,6,0,6,604,1,1,6,1,6,2,59,1,2,2,NA,NA,1,1,1,NA
22,81001,1,1,2,6,1,1,1,NA,0,81,1,1,6,1,72,1,3,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,6,1,6,9,6,0,6,604,1,1,6,1,6,2,1,5,2,1,NA,NA,5,1,5,NA
22,81001,1,1,2,6,1,1,1,NA,0,81,1,1,6,1,72,1,3,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,6,1,6,9,6,0,6,604,1,1,6,1,6,1,8,5,2,1,NA,NA,3,1,3,NA
22,81001,1,1,2,6,1,1,1,NA,0,81,1,1,6,1,72,1,3,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,6,1,6,9,6,0,6,604,1,1,6,1,6,1,24,3,2,1,1,1,6,1,6,1
23,81001,1,1,1,4,1,1,1,NA,0,81,2,4,NA,NA,NA,1,1,2,2,1,4,3,3,2,4,3,4,4,4,3,4,4,3,4,1,1,1,1,1,1,3,1,3,9,6,0,5,511,1,2,3,1,3,2,18,3,1,1,1,1,3,1,3,1
23,81001,1,1,1,4,1,1,1,NA,0,81,2,4,NA,NA,NA,1,1,2,2,1,4,3,3,2,4,3,4,4,4,3,4,4,3,4,1,1,1,1,1,1,3,1,3,9,6,0,5,511,1,2,3,1,3,1,59,1,3,3,NA,NA,1,1,1,NA
23,81001,1,1,1,4,1,1,1,NA,0,81,2,4,NA,NA,NA,1,1,2,2,1,4,3,3,2,4,3,4,4,4,3,4,4,3,4,1,1,1,1,1,1,3,1,3,9,6,0,5,511,1,2,3,1,3,1,7,10,2,2,NA,NA,4,1,4,NA
23,81001,1,1,1,4,1,1,1,NA,0,81,2,4,NA,NA,NA,1,1,2,2,1,4,3,3,2,4,3,4,4,4,3,4,4,3,4,1,1,1,1,1,1,3,1,3,9,6,0,5,511,1,2,3,1,3,2,57,2,3,3,NA,NA,2,1,2,NA
28,81001,1,1,1,4,1,1,1,NA,0,81,1,1,12,3,42,1,3,4,1,2,4,4,3,3,4,2,3,4,3,3,4,3,3,4,1,1,2,NA,1,1,1,1,1,9,6,3,4,407,1,2,1,1,1,2,9,8,2,1,NA,NA,4,1,4,NA
28,81001,1,1,1,4,1,1,1,NA,0,81,1,1,12,3,42,1,3,4,1,2,4,4,3,3,4,2,3,4,3,3,4,3,3,4,1,1,2,NA,1,1,1,1,1,9,6,3,4,407,1,2,1,1,1,2,41,8,2,2,NA,NA,3,1,3,NA
28,81001,1,1,1,4,1,1,1,NA,0,81,1,1,12,3,42,1,3,4,1,2,4,4,3,3,4,2,3,4,3,3,4,3,3,4,1,1,2,NA,1,1,1,1,1,9,6,3,4,407,1,2,1,1,1,2,53,1,2,2,1,1,1,1,1,1
28,81001,1,1,1,4,1,1,1,NA,0,81,1,1,12,3,42,1,3,4,1,2,4,4,3,3,4,2,3,4,3,3,4,3,3,4,1,1,2,NA,1,1,1,1,1,9,6,3,4,407,1,2,1,1,1,2,31,3,2,1,NA,NA,2,1,2,NA
31,81001,1,1,1,11,1,1,1,NA,0,81,1,1,8,4,40,1,3,4,1,1,4,3,2,3,4,4,2,4,4,2,4,3,4,4,1,2,1,1,1,1,4,1,4,9,3,3,3,305,1,1,4,1,4,1,58,8,3,3,1,1,4,1,4,1
31,81001,1,1,1,11,1,1,1,NA,0,81,1,1,8,4,40,1,3,4,1,1,4,3,2,3,4,4,2,4,4,2,4,3,4,4,1,2,1,1,1,1,4,1,4,9,3,3,3,305,1,1,4,1,4,1,13,8,2,1,NA,NA,10,1,10,NA
31,81001,1,1,1,11,1,1,1,NA,0,81,1,1,8,4,40,1,3,4,1,1,4,3,2,3,4,4,2,4,4,2,4,3,4,4,1,2,1,1,1,1,4,1,4,9,3,3,3,305,1,1,4,1,4,1,26,8,3,3,NA,NA,11,1,11,NA
31,81001,1,1,1,11,1,1,1,NA,0,81,1,1,8,4,40,1,3,4,1,1,4,3,2,3,4,4,2,4,4,2,4,3,4,4,1,2,1,1,1,1,4,1,4,9,3,3,3,305,1,1,4,1,4,2,55,7,3,3,NA,NA,3,1,3,NA
31,81001,1,1,1,11,1,1,1,NA,0,81,1,1,8,4,40,1,3,4,1,1,4,3,2,3,4,4,2,4,4,2,4,3,4,4,1,2,1,1,1,1,4,1,4,9,3,3,3,305,1,1,4,1,4,2,76,1,3,3,NA,NA,1,1,1,NA
31,81001,1,1,1,11,1,1,1,NA,0,81,1,1,8,4,40,1,3,4,1,1,4,3,2,3,4,4,2,4,4,2,4,3,4,4,1,2,1,1,1,1,4,1,4,9,3,3,3,305,1,1,4,1,4,2,28,8,3,3,NA,NA,9,1,9,NA
31,81001,1,1,1,11,1,1,1,NA,0,81,1,1,8,4,40,1,3,4,1,1,4,3,2,3,4,4,2,4,4,2,4,3,4,4,1,2,1,1,1,1,4,1,4,9,3,3,3,305,1,1,4,1,4,2,17,8,1,1,NA,NA,7,1,7,NA
