"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
544,3,1,81001,2,81,1,1,4,9,3,1,1,1,32,1
6287,3,2,81001,1,81,1,1,5,9,7,1,1,1,45,1
6287,3,2,81001,1,81,1,1,5,9,7,1,1,1,10,3
7201,3,2,81001,3,81,1,1,3,5,4,1,1,1,64,1
7201,3,2,81001,3,81,1,1,3,5,4,1,1,1,25,3
13522,2,1,81001,1,81,2,4,3,9,4,NA,NA,2,15,3
13522,2,1,81001,1,81,2,4,3,9,4,NA,NA,2,45,1
13522,2,1,81001,1,81,2,4,3,9,4,NA,NA,1,22,3
32376,3,2,81001,2,81,2,8,5,9,6,1,1,2,4,3
32376,3,2,81001,2,81,2,8,5,9,6,1,1,1,49,1
36041,3,2,81001,1,81,2,8,4,9,5,1,1,1,23,3
36041,3,2,81001,1,81,2,8,4,9,5,1,1,1,19,3
36041,3,2,81001,1,81,2,8,4,9,5,1,1,1,18,3
36041,3,2,81001,1,81,2,8,4,9,5,1,1,2,38,1
