"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
2975,3,2,81001,3,81,1,1,2,9,3,1,1,2,30,2
2975,3,2,81001,3,81,1,1,2,9,3,1,1,1,1,3
2975,3,2,81001,3,81,1,1,2,9,3,1,1,1,33,1
2975,3,2,81001,3,81,1,1,2,9,3,1,1,1,8,3
3112,3,2,81001,1,81,1,1,4,5,3,1,1,2,7,10
3112,3,2,81001,1,81,1,1,4,5,3,1,1,1,65,1
3112,3,2,81001,1,81,1,1,4,5,3,1,1,2,5,10
3112,3,2,81001,1,81,1,1,4,5,3,1,1,2,56,3
5609,3,2,81001,2,81,1,1,4,9,7,1,1,1,50,1
5609,3,2,81001,2,81,1,1,4,9,7,1,1,2,80,6
5690,3,1,81001,1,81,1,1,3,9,5,1,1,2,11,3
5690,3,1,81001,1,81,1,1,3,9,5,1,1,2,29,2
5690,3,1,81001,1,81,1,1,3,9,5,1,1,1,0,3
5690,3,1,81001,1,81,1,1,3,9,5,1,1,1,3,3
5690,3,1,81001,1,81,1,1,3,9,5,1,1,2,8,3
5690,3,1,81001,1,81,1,1,3,9,5,1,1,1,35,1
5791,3,2,81001,1,81,1,1,4,5,8,1,1,1,35,1
5791,3,2,81001,1,81,1,1,4,5,8,1,1,2,35,2
5791,3,2,81001,1,81,1,1,4,5,8,1,1,1,7,3
5791,3,2,81001,1,81,1,1,4,5,8,1,1,1,0,3
6287,3,2,81001,1,81,1,1,5,9,7,1,1,1,10,3
6287,3,2,81001,1,81,1,1,5,9,7,1,1,1,45,1
7201,3,2,81001,3,81,1,1,3,5,4,1,1,1,25,3
7201,3,2,81001,3,81,1,1,3,5,4,1,1,1,64,1
7715,3,2,81001,1,81,1,1,3,9,3,1,1,1,64,1
10307,3,2,81001,1,81,1,3,4,5,6,1,1,1,22,3
10307,3,2,81001,1,81,1,3,4,5,6,1,1,1,14,3
10307,3,2,81001,1,81,1,3,4,5,6,1,1,2,47,1
13522,2,1,81001,1,81,2,4,3,9,4,NA,NA,1,22,3
13522,2,1,81001,1,81,2,4,3,9,4,NA,NA,2,15,3
13522,2,1,81001,1,81,2,4,3,9,4,NA,NA,2,45,1
13547,3,2,81001,2,81,1,1,2,9,1,1,1,1,48,2
13547,3,2,81001,2,81,1,1,2,9,1,1,1,2,42,1
15059,3,1,81001,2,81,1,1,4,5,5,1,1,2,20,10
15059,3,1,81001,2,81,1,1,4,5,5,1,1,2,9,3
15059,3,1,81001,2,81,1,1,4,5,5,1,1,1,20,8
15059,3,1,81001,2,81,1,1,4,5,5,1,1,2,51,1
15059,3,1,81001,2,81,1,1,4,5,5,1,1,1,25,3
