"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
269,8001,1,1,4,4,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,1,58,1,2,2,NA,NA,1,1,1,NA
269,8001,1,1,4,4,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,2,20,3,1,1,NA,NA,4,1,4,NA
269,8001,1,1,4,4,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,1,26,3,1,1,NA,NA,3,1,3,NA
269,8001,1,1,4,4,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,2,53,2,2,2,1,1,2,1,2,1
293,8001,1,1,4,5,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,2,17,3,1,1,NA,NA,3,1,3,NA
293,8001,1,1,4,5,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,2,11,3,1,1,NA,NA,4,1,4,NA
293,8001,1,1,4,5,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,2,40,2,3,2,1,1,2,1,2,1
293,8001,1,1,4,5,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,1,4,3,1,1,NA,NA,5,1,5,NA
293,8001,1,1,4,5,1,1,1,NA,0,8,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,2,NA,2,1,2,9,3,3,7,705,1,2,2,1,2,1,40,1,2,2,NA,NA,1,1,1,NA
307,8001,1,1,4,6,1,1,1,NA,0,8,2,3,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,6,0,7,704,1,2,5,1,5,1,86,2,3,3,NA,NA,2,1,2,NA
307,8001,1,1,4,6,1,1,1,NA,0,8,2,3,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,6,0,7,704,1,2,5,1,5,2,18,5,3,1,NA,NA,6,1,6,NA
307,8001,1,1,4,6,1,1,1,NA,0,8,2,3,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,6,0,7,704,1,2,5,1,5,2,23,5,3,1,1,1,5,1,5,1
307,8001,1,1,4,6,1,1,1,NA,0,8,2,3,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,6,0,7,704,1,2,5,1,5,2,90,1,3,3,NA,NA,1,1,1,NA
307,8001,1,1,4,6,1,1,1,NA,0,8,2,3,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,6,0,7,704,1,2,5,1,5,2,56,3,1,1,NA,NA,3,1,3,NA
307,8001,1,1,4,6,1,1,1,NA,0,8,2,3,NA,NA,NA,1,1,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,6,0,7,704,1,2,5,1,5,2,25,5,3,1,NA,NA,4,1,4,NA
322,8001,1,1,4,3,1,1,1,NA,0,8,2,4,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,9,6,0,7,705,1,1,3,1,3,1,40,5,2,2,1,1,3,1,3,1
322,8001,1,1,4,3,1,1,1,NA,0,8,2,4,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,9,6,0,7,705,1,1,3,1,3,2,80,1,3,3,NA,NA,1,1,1,NA
322,8001,1,1,4,3,1,1,1,NA,0,8,2,4,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,9,6,0,7,705,1,1,3,1,3,2,50,5,3,2,NA,NA,2,1,2,NA
333,8001,1,1,4,9,1,1,1,NA,0,8,2,3,NA,NA,NA,1,2,4,2,1,4,3,3,2,2,2,2,2,2,3,3,4,4,4,1,9,1,9,2,NA,3,1,3,9,6,0,4,406,NA,NA,3,1,3,1,17,8,1,1,NA,NA,8,1,8,NA
333,8001,1,1,4,9,1,1,1,NA,0,8,2,3,NA,NA,NA,1,2,4,2,1,4,3,3,2,2,2,2,2,2,3,3,4,4,4,1,9,1,9,2,NA,3,1,3,9,6,0,4,406,NA,NA,3,1,3,1,50,8,2,2,NA,NA,7,1,7,NA
333,8001,1,1,4,9,1,1,1,NA,0,8,2,3,NA,NA,NA,1,2,4,2,1,4,3,3,2,2,2,2,2,2,3,3,4,4,4,1,9,1,9,2,NA,3,1,3,9,6,0,4,406,NA,NA,3,1,3,2,9,8,1,1,NA,NA,9,1,9,NA
333,8001,1,1,4,9,1,1,1,NA,0,8,2,3,NA,NA,NA,1,2,4,2,1,4,3,3,2,2,2,2,2,2,3,3,4,4,4,1,9,1,9,2,NA,3,1,3,9,6,0,4,406,NA,NA,3,1,3,1,44,2,2,2,NA,NA,2,1,2,NA
333,8001,1,1,4,9,1,1,1,NA,0,8,2,3,NA,NA,NA,1,2,4,2,1,4,3,3,2,2,2,2,2,2,3,3,4,4,4,1,9,1,9,2,NA,3,1,3,9,6,0,4,406,NA,NA,3,1,3,1,24,7,2,2,NA,NA,5,1,5,NA
