"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1371,1,1,8758,1,8,1,1,3,5,6,1,1,2,19,3
1371,1,1,8758,1,8,1,1,3,5,6,1,1,1,17,3
1371,1,1,8758,1,8,1,1,3,5,6,1,1,1,53,1
1371,1,1,8758,1,8,1,1,3,5,6,1,1,1,24,3
1371,1,1,8758,1,8,1,1,3,5,6,1,1,2,48,2
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,3,5
5562,3,2,8001,2,8,2,1,4,9,4,1,1,2,20,4
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,0,5
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,22,3
5562,3,2,8001,2,8,2,1,4,9,4,1,1,2,2,5
5562,3,2,8001,2,8,2,1,4,9,4,1,1,2,40,1
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,33,2
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,21,3
6296,3,2,8001,1,8,2,4,3,9,4,1,2,2,47,2
6296,3,2,8001,1,8,2,4,3,9,4,1,2,1,57,1
6296,3,2,8001,1,8,2,4,3,9,4,1,2,2,23,3
6296,3,2,8001,1,8,2,4,3,9,4,1,2,1,3,5
6296,3,2,8001,1,8,2,4,3,9,4,1,2,1,23,4
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,10,8
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,3,3
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,27,7
7026,3,2,8758,2,8,1,1,3,9,6,1,1,1,28,1
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,26,2
11142,3,2,8758,2,8,1,1,3,9,6,1,2,2,32,1
11142,3,2,8758,2,8,1,1,3,9,6,1,2,2,56,8
14665,3,2,8433,1,8,1,1,3,9,3,1,2,1,60,1
14665,3,2,8433,1,8,1,1,3,9,3,1,2,2,58,2
14691,3,2,8433,1,8,1,1,4,9,4,1,1,1,31,1
14691,3,2,8433,1,8,1,1,4,9,4,1,1,2,5,3
14691,3,2,8433,1,8,1,1,4,9,4,1,1,2,32,2
15388,3,2,8001,3,8,2,4,4,9,6,1,1,2,84,1
15388,3,2,8001,3,8,2,4,4,9,6,1,1,1,25,8
15424,9,2,8758,2,8,1,1,4,9,5,1,1,2,4,3
15424,9,2,8758,2,8,1,1,4,9,5,1,1,2,31,2
15424,9,2,8758,2,8,1,1,4,9,5,1,1,1,34,1
15424,9,2,8758,2,8,1,1,4,9,5,1,1,2,11,3
15424,9,2,8758,2,8,1,1,4,9,5,1,1,1,13,3
15560,3,2,8758,2,8,1,1,4,9,7,1,1,2,78,2
15560,3,2,8758,2,8,1,1,4,9,7,1,1,1,79,1
15560,3,2,8758,2,8,1,1,4,9,7,1,1,1,59,4
15560,3,2,8758,2,8,1,1,4,9,7,1,1,2,50,3
16536,3,2,8001,1,8,1,1,3,9,4,1,1,2,14,3
16536,3,2,8001,1,8,1,1,3,9,4,1,1,1,40,1
16536,3,2,8001,1,8,1,1,3,9,4,1,1,2,39,2
16536,3,2,8001,1,8,1,1,3,9,4,1,1,1,17,3
16536,3,2,8001,1,8,1,1,3,9,4,1,1,2,16,3
16536,3,2,8001,1,8,1,1,3,9,4,1,1,1,21,3
20072,3,1,8001,1,8,2,2,4,9,5,1,1,1,18,3
20072,3,1,8001,1,8,2,2,4,9,5,1,1,2,2,5
20072,3,1,8001,1,8,2,2,4,9,5,1,1,2,2,5
20072,3,1,8001,1,8,2,2,4,9,5,1,1,2,27,4
20072,3,1,8001,1,8,2,2,4,9,5,1,1,1,26,3
20072,3,1,8001,1,8,2,2,4,9,5,1,1,2,50,1
21715,3,2,8001,3,8,2,1,3,9,7,1,1,1,59,1
30396,3,2,8638,2,8,1,1,4,9,7,1,1,2,65,2
30396,3,2,8638,2,8,1,1,4,9,7,1,1,1,39,3
30396,3,2,8638,2,8,1,1,4,9,7,1,1,2,1,8
30396,3,2,8638,2,8,1,1,4,9,7,1,1,1,25,10
30396,3,2,8638,2,8,1,1,4,9,7,1,1,2,44,3
30396,3,2,8638,2,8,1,1,4,9,7,1,1,2,6,5
