"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
5738,3,2,8001,1,8,1,1,4,5,5,1,1,2,46,6
5738,3,2,8001,1,8,1,1,4,5,5,1,1,2,10,3
5738,3,2,8001,1,8,1,1,4,5,5,1,1,1,9,3
5738,3,2,8001,1,8,1,1,4,5,5,1,1,1,27,1
5738,3,2,8001,1,8,1,1,4,5,5,1,1,2,29,2
5738,3,2,8001,1,8,1,1,4,5,5,1,1,2,1,3
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,27,7
7026,3,2,8758,2,8,1,1,3,9,6,1,1,1,28,1
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,3,3
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,10,8
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,26,2
