"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,1,16,3
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,1,44,2
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,1,15,3
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,1,24,7
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,2,40,7
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,1,17,8
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,2,39,1
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,1,50,8
333,2,1,8001,4,8,2,3,4,9,4,NA,NA,2,9,8
617,3,1,8758,2,8,2,3,5,9,5,1,1,1,18,3
617,3,1,8758,2,8,2,3,5,9,5,1,1,2,56,1
972,3,2,8001,3,8,2,3,4,9,7,1,1,1,75,1
972,3,2,8001,3,8,2,3,4,9,7,1,1,2,70,2
972,3,2,8001,3,8,2,3,4,9,7,1,1,1,25,5
1188,3,2,8001,3,8,1,1,4,9,6,1,1,1,42,1
1188,3,2,8001,3,8,1,1,4,9,6,1,1,2,37,2
1188,3,2,8001,3,8,1,1,4,9,6,1,1,1,11,3
1188,3,2,8001,3,8,1,1,4,9,6,1,1,1,21,3
1333,3,2,8758,1,8,1,1,4,9,5,1,1,2,23,2
1333,3,2,8758,1,8,1,1,4,9,5,1,1,1,48,8
1333,3,2,8758,1,8,1,1,4,9,5,1,1,1,31,1
1333,3,2,8758,1,8,1,1,4,9,5,1,1,2,3,3
1333,3,2,8758,1,8,1,1,4,9,5,1,1,2,4,3
1371,3,1,8758,1,8,1,1,3,5,6,1,1,2,19,3
1371,3,1,8758,1,8,1,1,3,5,6,1,1,1,53,1
1371,3,1,8758,1,8,1,1,3,5,6,1,1,1,24,3
1371,3,1,8758,1,8,1,1,3,5,6,1,1,1,17,3
1371,3,1,8758,1,8,1,1,3,5,6,1,1,2,48,2
1999,3,2,8001,1,8,2,3,3,9,6,2,2,2,19,3
1999,3,2,8001,1,8,2,3,3,9,6,2,2,1,58,1
1999,3,2,8001,1,8,2,3,3,9,6,2,2,2,29,3
1999,3,2,8001,1,8,2,3,3,9,6,2,2,1,29,4
1999,3,2,8001,1,8,2,3,3,9,6,2,2,2,6,5
1999,3,2,8001,1,8,2,3,3,9,6,2,2,2,62,2
3614,3,1,8001,1,8,1,1,4,9,3,1,1,2,71,1
3614,3,1,8001,1,8,1,1,4,9,3,1,1,2,27,4
3614,3,1,8001,1,8,1,1,4,9,3,1,1,2,5,5
3614,3,1,8001,1,8,1,1,4,9,3,1,1,2,7,5
3614,3,1,8001,1,8,1,1,4,9,3,1,1,1,35,3
4011,3,1,8001,1,8,1,1,4,9,5,1,1,1,30,3
4011,3,1,8001,1,8,1,1,4,9,5,1,1,2,67,1
4011,3,1,8001,1,8,1,1,4,9,5,1,1,1,31,3
5041,2,1,8001,3,8,2,2,4,9,7,1,1,1,54,1
5041,2,1,8001,3,8,2,2,4,9,7,1,1,2,54,2
5041,2,1,8001,3,8,2,2,4,9,7,1,1,1,25,3
5416,3,2,8001,2,8,1,1,3,1,6,1,1,2,38,2
5416,3,2,8001,2,8,1,1,3,1,6,1,1,1,42,1
5416,3,2,8001,2,8,1,1,3,1,6,1,1,1,17,3
5416,3,2,8001,2,8,1,1,3,1,6,1,1,2,10,3
5562,3,2,8001,2,8,2,1,4,9,4,1,1,2,20,4
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,21,3
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,33,2
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,3,5
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,22,3
5562,3,2,8001,2,8,2,1,4,9,4,1,1,2,40,1
5562,3,2,8001,2,8,2,1,4,9,4,1,1,2,2,5
5562,3,2,8001,2,8,2,1,4,9,4,1,1,1,0,5
5738,3,1,8001,1,8,1,1,4,5,5,1,1,1,27,1
5738,3,1,8001,1,8,1,1,4,5,5,1,1,1,9,3
5738,3,1,8001,1,8,1,1,4,5,5,1,1,2,10,3
5738,3,1,8001,1,8,1,1,4,5,5,1,1,2,1,3
5738,3,1,8001,1,8,1,1,4,5,5,1,1,2,29,2
5738,3,1,8001,1,8,1,1,4,5,5,1,1,2,46,6
6071,3,2,8001,1,8,1,1,4,5,3,1,1,2,11,3
6071,3,2,8001,1,8,1,1,4,5,3,1,1,2,13,3
6071,3,2,8001,1,8,1,1,4,5,3,1,1,1,42,2
6071,3,2,8001,1,8,1,1,4,5,3,1,1,2,32,1
6193,3,2,8001,1,8,2,4,5,9,1,1,1,1,61,3
6193,3,2,8001,1,8,2,4,5,9,1,1,1,2,77,1
6296,3,2,8001,1,8,2,4,3,9,4,1,2,1,57,1
6296,3,2,8001,1,8,2,4,3,9,4,1,2,2,23,3
6296,3,2,8001,1,8,2,4,3,9,4,1,2,2,47,2
6296,3,2,8001,1,8,2,4,3,9,4,1,2,1,3,5
6296,3,2,8001,1,8,2,4,3,9,4,1,2,1,23,4
6713,9,2,8758,2,8,1,1,4,9,5,1,1,2,15,5
6713,9,2,8758,2,8,1,1,4,9,5,1,1,1,37,3
6713,9,2,8758,2,8,1,1,4,9,5,1,1,2,44,3
6713,9,2,8758,2,8,1,1,4,9,5,1,1,1,80,1
6713,9,2,8758,2,8,1,1,4,9,5,1,1,1,19,5
6944,3,2,8001,1,8,1,1,4,9,4,1,1,1,52,1
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,27,7
7026,3,2,8758,2,8,1,1,3,9,6,1,1,1,28,1
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,26,2
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,10,8
7026,3,2,8758,2,8,1,1,3,9,6,1,1,2,3,3
7411,3,2,8758,2,8,1,1,3,9,6,1,2,2,27,2
7411,3,2,8758,2,8,1,1,3,9,6,1,2,1,34,1
7411,3,2,8758,2,8,1,1,3,9,6,1,2,2,5,3
8223,3,2,8001,1,8,1,1,4,9,4,1,1,2,6,3
8223,3,2,8001,1,8,1,1,4,9,4,1,1,2,35,2
8223,3,2,8001,1,8,1,1,4,9,4,1,1,2,8,3
8223,3,2,8001,1,8,1,1,4,9,4,1,1,2,10,3
8223,3,2,8001,1,8,1,1,4,9,4,1,1,1,45,1
8223,3,2,8001,1,8,1,1,4,9,4,1,1,2,15,3
8223,3,2,8001,1,8,1,1,4,9,4,1,1,1,12,3
8627,3,2,8001,3,8,1,1,4,9,5,1,1,2,75,6
8627,3,2,8001,3,8,1,1,4,9,5,1,1,2,0,3
8627,3,2,8001,3,8,1,1,4,9,5,1,1,2,27,2
8627,3,2,8001,3,8,1,1,4,9,5,1,1,1,4,3
8627,3,2,8001,3,8,1,1,4,9,5,1,1,1,34,1
9003,3,2,8001,1,8,1,1,4,9,5,1,1,1,31,2
9003,3,2,8001,1,8,1,1,4,9,5,1,1,2,3,3
9003,3,2,8001,1,8,1,1,4,9,5,1,1,2,34,1
9370,3,2,8001,3,8,2,4,4,5,5,1,1,1,29,3
9370,3,2,8001,3,8,2,4,4,5,5,1,1,1,62,1
9830,3,2,8001,3,8,1,1,3,9,5,1,2,2,54,3
9830,3,2,8001,3,8,1,1,3,9,5,1,2,1,85,1
9830,3,2,8001,3,8,1,1,3,9,5,1,2,1,62,3
9830,3,2,8001,3,8,1,1,3,9,5,1,2,1,10,5
9830,3,2,8001,3,8,1,1,3,9,5,1,2,1,17,5
9830,3,2,8001,3,8,1,1,3,9,5,1,2,2,49,3
9830,3,2,8001,3,8,1,1,3,9,5,1,2,2,30,5
10590,3,2,8433,2,8,2,3,4,9,7,1,2,2,23,3
10590,3,2,8433,2,8,2,3,4,9,7,1,2,1,51,1
10590,3,2,8433,2,8,2,3,4,9,7,1,2,2,51,2
10590,3,2,8433,2,8,2,3,4,9,7,1,2,2,17,3
10696,3,2,8433,1,8,2,4,3,9,4,1,2,2,5,5
10696,3,2,8433,1,8,2,4,3,9,4,1,2,1,56,1
10696,3,2,8433,1,8,2,4,3,9,4,1,2,1,24,3
10696,3,2,8433,1,8,2,4,3,9,4,1,2,2,18,4
10696,3,2,8433,1,8,2,4,3,9,4,1,2,2,28,3
13257,3,2,8001,1,8,1,1,3,9,5,1,1,1,22,8
13257,3,2,8001,1,8,1,1,3,9,5,1,1,2,24,3
13257,3,2,8001,1,8,1,1,3,9,5,1,1,2,26,3
13257,3,2,8001,1,8,1,1,3,9,5,1,1,2,55,1
14008,3,1,8001,1,8,1,1,4,9,5,1,1,1,30,3
14008,3,1,8001,1,8,1,1,4,9,5,1,1,2,50,1
14008,3,1,8001,1,8,1,1,4,9,5,1,1,1,25,3
14008,3,1,8001,1,8,1,1,4,9,5,1,1,2,4,5
15388,3,1,8001,3,8,2,4,4,9,6,1,1,2,84,1
15388,3,1,8001,3,8,2,4,4,9,6,1,1,1,25,8
15560,3,2,8758,2,8,1,1,4,9,7,1,1,1,59,4
15560,3,2,8758,2,8,1,1,4,9,7,1,1,2,78,2
15560,3,2,8758,2,8,1,1,4,9,7,1,1,1,79,1
15560,3,2,8758,2,8,1,1,4,9,7,1,1,2,50,3
15643,3,2,8758,2,8,2,3,3,9,7,1,2,2,44,2
15643,3,2,8758,2,8,2,3,3,9,7,1,2,1,21,8
15643,3,2,8758,2,8,2,3,3,9,7,1,2,1,18,3
15643,3,2,8758,2,8,2,3,3,9,7,1,2,2,19,3
15643,3,2,8758,2,8,2,3,3,9,7,1,2,1,48,1
15898,3,2,8001,1,8,1,4,4,9,6,1,2,1,35,2
15898,3,2,8001,1,8,1,4,4,9,6,1,2,2,27,1
15898,3,2,8001,1,8,1,4,4,9,6,1,2,1,10,3
16536,3,1,8001,1,8,1,1,3,9,4,1,1,1,17,3
16536,3,1,8001,1,8,1,1,3,9,4,1,1,2,16,3
16536,3,1,8001,1,8,1,1,3,9,4,1,1,2,39,2
16536,3,1,8001,1,8,1,1,3,9,4,1,1,2,14,3
16536,3,1,8001,1,8,1,1,3,9,4,1,1,1,40,1
16536,3,1,8001,1,8,1,1,3,9,4,1,1,1,21,3
16564,3,2,8001,4,8,1,1,3,9,5,1,1,2,51,2
16564,3,2,8001,4,8,1,1,3,9,5,1,1,1,20,3
16564,3,2,8001,4,8,1,1,3,9,5,1,1,1,58,1
16618,3,2,8001,2,8,1,1,4,9,3,1,1,2,72,2
16618,3,2,8001,2,8,1,1,4,9,3,1,1,1,59,1
16709,3,2,8001,1,8,1,1,3,5,5,1,1,2,18,3
16709,3,2,8001,1,8,1,1,3,5,5,1,1,1,9,3
16709,3,2,8001,1,8,1,1,3,5,5,1,1,1,40,2
16709,3,2,8001,1,8,1,1,3,5,5,1,1,2,16,3
16709,3,2,8001,1,8,1,1,3,5,5,1,1,2,38,1
17816,3,2,8001,4,8,2,3,4,9,7,1,1,1,27,1
18610,3,2,8001,3,8,1,1,4,9,6,1,1,1,27,3
18610,3,2,8001,3,8,1,1,4,9,6,1,1,1,10,5
18610,3,2,8001,3,8,1,1,4,9,6,1,1,1,32,3
18610,3,2,8001,3,8,1,1,4,9,6,1,1,2,50,2
18610,3,2,8001,3,8,1,1,4,9,6,1,1,1,53,1
18610,3,2,8001,3,8,1,1,4,9,6,1,1,1,31,3
18610,3,2,8001,3,8,1,1,4,9,6,1,1,1,7,5
18887,3,2,8001,1,8,1,8,2,9,3,1,1,2,74,2
18887,3,2,8001,1,8,1,8,2,9,3,1,1,1,75,1
18887,3,2,8001,1,8,1,8,2,9,3,1,1,1,53,3
18887,3,2,8001,1,8,1,8,2,9,3,1,1,1,44,3
20072,3,2,8001,1,8,2,2,4,9,5,1,1,2,2,5
20072,3,2,8001,1,8,2,2,4,9,5,1,1,1,26,3
20072,3,2,8001,1,8,2,2,4,9,5,1,1,2,2,5
20072,3,2,8001,1,8,2,2,4,9,5,1,1,2,27,4
20072,3,2,8001,1,8,2,2,4,9,5,1,1,1,18,3
20072,3,2,8001,1,8,2,2,4,9,5,1,1,2,50,1
20195,3,2,8001,1,8,1,1,4,9,6,1,2,2,40,1
20195,3,2,8001,1,8,1,1,4,9,6,1,2,2,13,3
20195,3,2,8001,1,8,1,1,4,9,6,1,2,2,17,3
20458,3,2,8001,1,8,2,8,3,9,6,3,2,2,32,8
20458,3,2,8001,1,8,2,8,3,9,6,3,2,2,36,1
20458,3,2,8001,1,8,2,8,3,9,6,3,2,2,3,3
20458,3,2,8001,1,8,2,8,3,9,6,3,2,1,15,3
20789,3,1,8758,2,8,2,3,4,9,7,1,1,1,20,3
20789,3,1,8758,2,8,2,3,4,9,7,1,1,2,45,2
20789,3,1,8758,2,8,2,3,4,9,7,1,1,1,22,3
20789,3,1,8758,2,8,2,3,4,9,7,1,1,1,47,1
21515,3,2,8758,1,8,1,4,3,9,6,1,2,2,62,6
21515,3,2,8758,1,8,1,4,3,9,6,1,2,2,33,2
21515,3,2,8758,1,8,1,4,3,9,6,1,2,2,9,3
21515,3,2,8758,1,8,1,4,3,9,6,1,2,1,40,1
21515,3,2,8758,1,8,1,4,3,9,6,1,2,1,12,3
21673,3,2,8758,1,8,1,4,4,9,5,1,2,2,0,3
21673,3,2,8758,1,8,1,4,4,9,5,1,2,2,22,1
21673,3,2,8758,1,8,1,4,4,9,5,1,2,1,4,3
21673,3,2,8758,1,8,1,4,4,9,5,1,2,1,1,3
21715,3,2,8001,3,8,2,1,3,9,7,1,1,1,59,1
23084,3,1,8001,4,8,1,1,4,9,6,1,2,2,26,1
23084,3,1,8001,4,8,1,1,4,9,6,1,2,2,18,10
23084,3,1,8001,4,8,1,1,4,9,6,1,2,1,30,10
23084,3,1,8001,4,8,1,1,4,9,6,1,2,1,25,10
23084,3,1,8001,4,8,1,1,4,9,6,1,2,1,29,2
23317,3,2,8001,1,8,1,1,4,9,5,1,1,1,20,1
23317,3,2,8001,1,8,1,1,4,9,5,1,1,1,2,3
23317,3,2,8001,1,8,1,1,4,9,5,1,1,2,19,2
24452,2,1,8638,1,8,2,4,3,9,5,1,2,1,29,1
24452,2,1,8638,1,8,2,4,3,9,5,1,2,2,9,3
24452,2,1,8638,1,8,2,4,3,9,5,1,2,2,27,2
24452,2,1,8638,1,8,2,4,3,9,5,1,2,2,4,3
24900,3,1,8001,1,8,1,1,5,9,5,1,1,2,20,2
24900,3,1,8001,1,8,1,1,5,9,5,1,1,1,28,1
24900,3,1,8001,1,8,1,1,5,9,5,1,1,2,2,3
24970,3,1,8001,1,8,1,1,4,9,5,1,1,1,10,3
24970,3,1,8001,1,8,1,1,4,9,5,1,1,1,27,1
24970,3,1,8001,1,8,1,1,4,9,5,1,1,2,26,2
24970,3,1,8001,1,8,1,1,4,9,5,1,1,2,5,3
32085,3,2,8758,2,8,2,3,4,9,7,1,1,1,19,3
32085,3,2,8758,2,8,2,3,4,9,7,1,1,1,18,3
32085,3,2,8758,2,8,2,3,4,9,7,1,1,2,47,1
33150,2,1,8758,2,8,2,2,3,9,5,1,1,1,36,3
33150,2,1,8758,2,8,2,2,3,9,5,1,1,2,58,1
33150,2,1,8758,2,8,2,2,3,9,5,1,1,2,39,3
33150,2,1,8758,2,8,2,2,3,9,5,1,1,1,29,3
33411,3,2,8001,3,8,2,5,3,9,6,1,1,2,63,2
33411,3,2,8001,3,8,2,5,3,9,6,1,1,1,69,1
33411,3,2,8001,3,8,2,5,3,9,6,1,1,1,34,3
34146,3,1,8001,2,8,1,1,4,9,4,1,1,1,85,6
34146,3,1,8001,2,8,1,1,4,9,4,1,1,1,46,7
34146,3,1,8001,2,8,1,1,4,9,4,1,1,2,49,1
36376,3,2,8001,2,8,1,4,3,9,4,1,2,1,66,2
36376,3,2,8001,2,8,1,4,3,9,4,1,2,2,9,5
36376,3,2,8001,2,8,1,4,3,9,4,1,2,2,58,7
36376,3,2,8001,2,8,1,4,3,9,4,1,2,1,6,5
36376,3,2,8001,2,8,1,4,3,9,4,1,2,1,13,5
36376,3,2,8001,2,8,1,4,3,9,4,1,2,1,66,7
36376,3,2,8001,2,8,1,4,3,9,4,1,2,2,30,3
36376,3,2,8001,2,8,1,4,3,9,4,1,2,2,61,1
37057,3,2,8758,1,8,2,2,4,9,3,1,1,2,97,6
37057,3,2,8758,1,8,2,2,4,9,3,1,1,1,74,8
37057,3,2,8758,1,8,2,2,4,9,3,1,1,1,60,1
37057,3,2,8758,1,8,2,2,4,9,3,1,1,1,59,7
37057,3,2,8758,1,8,2,2,4,9,3,1,1,2,57,7
37057,3,2,8758,1,8,2,2,4,9,3,1,1,1,52,7
37161,3,2,8758,1,8,1,1,3,9,2,1,1,1,59,1
37161,3,2,8758,1,8,1,1,3,9,2,1,1,2,32,4
37161,3,2,8758,1,8,1,1,3,9,2,1,1,1,35,3
37161,3,2,8758,1,8,1,1,3,9,2,1,1,2,51,2
37161,3,2,8758,1,8,1,1,3,9,2,1,1,1,33,3
37239,3,2,8758,1,8,2,4,3,9,4,1,2,1,34,4
37239,3,2,8758,1,8,2,4,3,9,4,1,2,2,68,2
37239,3,2,8758,1,8,2,4,3,9,4,1,2,2,36,3
37239,3,2,8758,1,8,2,4,3,9,4,1,2,2,5,5
37239,3,2,8758,1,8,2,4,3,9,4,1,2,1,11,5
37239,3,2,8758,1,8,2,4,3,9,4,1,2,1,68,1
37239,3,2,8758,1,8,2,4,3,9,4,1,2,2,3,5
37382,3,1,8758,1,8,1,1,3,9,4,1,1,1,66,1
37382,3,1,8758,1,8,1,1,3,9,4,1,1,1,45,3
37382,3,1,8758,1,8,1,1,3,9,4,1,1,2,66,2
37382,3,1,8758,1,8,1,1,3,9,4,1,1,2,15,5
37382,3,1,8758,1,8,1,1,3,9,4,1,1,1,37,3
38928,3,2,8001,1,8,1,1,4,9,7,1,1,2,41,2
38928,3,2,8001,1,8,1,1,4,9,7,1,1,1,34,1
38970,3,2,8001,1,8,1,1,4,9,3,1,2,1,45,1
38970,3,2,8001,1,8,1,1,4,9,3,1,2,2,44,2
39509,3,1,8001,1,8,1,1,4,9,3,1,1,1,39,3
39509,3,1,8001,1,8,1,1,4,9,3,1,1,2,70,1
39610,3,1,8001,1,8,2,2,3,9,6,1,1,1,25,3
39610,3,1,8001,1,8,2,2,3,9,6,1,1,1,41,4
39610,3,1,8001,1,8,2,2,3,9,6,1,1,1,23,5
39610,3,1,8001,1,8,2,2,3,9,6,1,1,2,6,5
39610,3,1,8001,1,8,2,2,3,9,6,1,1,2,39,3
39610,3,1,8001,1,8,2,2,3,9,6,1,1,2,19,5
39610,3,1,8001,1,8,2,2,3,9,6,1,1,1,15,5
39610,3,1,8001,1,8,2,2,3,9,6,1,1,1,53,1
39741,1,1,8758,1,8,2,4,3,9,5,1,2,2,9,5
39741,1,1,8758,1,8,2,4,3,9,5,1,2,2,7,5
39741,1,1,8758,1,8,2,4,3,9,5,1,2,1,0,5
39741,1,1,8758,1,8,2,4,3,9,5,1,2,1,27,4
39741,1,1,8758,1,8,2,4,3,9,5,1,2,2,24,3
39741,1,1,8758,1,8,2,4,3,9,5,1,2,2,25,4
