"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC","grupo"
"08001",1,1,4,4,269,1,1,1,NA,0,"08"
"08001",1,1,4,5,293,1,1,1,NA,0,"08"
"08001",1,1,4,6,307,1,1,1,NA,0,"08"
"08001",1,1,4,3,322,1,1,1,NA,0,"08"
"08001",1,1,4,9,333,1,1,1,NA,0,"08"
"08758",2,1,1,2,421,1,1,1,NA,0,"08"
"08758",2,1,2,3,441,1,1,1,NA,0,"08"
"08758",2,1,1,2,466,1,1,1,NA,0,"08"
"08758",1,1,2,5,486,1,1,1,NA,0,"08"
"08758",1,1,2,7,507,1,1,1,NA,0,"08"
"08001",2,1,4,3,517,1,1,1,NA,0,"08"
"08758",2,1,2,6,541,1,1,1,NA,0,"08"
"08001",2,1,3,5,554,1,1,1,NA,0,"08"
"08758",2,1,2,8,565,1,1,1,NA,0,"08"
"08758",2,1,2,5,570,1,1,1,NA,0,"08"
"08001",1,1,4,5,576,1,1,1,NA,0,"08"
"08001",2,1,4,3,595,1,1,1,NA,0,"08"
"08758",2,1,3,7,601,1,1,1,NA,0,"08"
"08758",2,1,2,4,611,1,1,1,NA,0,"08"
"08758",2,1,2,2,617,1,1,1,NA,0,"08"
"08758",2,1,2,3,630,1,1,1,NA,0,"08"
"08758",1,1,1,3,633,1,1,1,NA,0,"08"
"08758",1,1,1,3,642,1,1,1,NA,0,"08"
"08758",1,1,2,6,644,1,1,1,NA,0,"08"
"08758",1,1,1,3,650,1,1,1,NA,0,"08"
"08758",1,1,2,4,882,1,1,1,NA,0,"08"
"08001",1,1,3,4,891,1,1,1,NA,0,"08"
"08001",1,1,3,2,904,1,1,1,NA,0,"08"
"08758",2,1,2,4,915,1,1,1,NA,0,"08"
"08001",1,1,3,2,917,1,1,1,NA,0,"08"
"08001",1,1,3,4,918,1,1,1,NA,0,"08"
"08001",1,1,3,4,930,1,1,1,NA,0,"08"
"08001",1,1,3,7,938,1,1,1,NA,0,"08"
"08758",1,1,2,5,947,1,1,1,NA,0,"08"
