"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
3443,11001,2,1,9,4,1,1,1,NA,0,11,1,2,NA,NA,NA,1,1,4,2,1,4,4,5,5,5,2,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,2,2,5,513,1,2,2,1,2,2,23,2,2,2,1,1,2,1,2,1
3443,11001,2,1,9,4,1,1,1,NA,0,11,1,2,NA,NA,NA,1,1,4,2,1,4,4,5,5,5,2,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,2,2,5,513,1,2,2,1,2,1,6,8,2,2,NA,NA,4,1,4,NA
3443,11001,2,1,9,4,1,1,1,NA,0,11,1,2,NA,NA,NA,1,1,4,2,1,4,4,5,5,5,2,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,2,2,5,513,1,2,2,1,2,2,9,8,2,2,NA,NA,3,1,3,NA
3443,11001,2,1,9,4,1,1,1,NA,0,11,1,2,NA,NA,NA,1,1,4,2,1,4,4,5,5,5,2,4,4,4,4,4,4,4,4,1,2,1,1,2,NA,2,1,2,9,2,2,5,513,1,2,2,1,2,1,32,1,2,2,NA,NA,1,1,1,NA
3444,11001,1,1,3,4,1,1,1,NA,0,11,1,1,4,1,45,1,1,5,2,2,3,4,5,5,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,3,1,7,710,1,1,1,1,1,2,62,6,3,2,NA,NA,4,1,4,NA
3444,11001,1,1,3,4,1,1,1,NA,0,11,1,1,4,1,45,1,1,5,2,2,3,4,5,5,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,3,1,7,710,1,1,1,1,1,2,38,2,2,1,NA,NA,2,1,2,NA
3444,11001,1,1,3,4,1,1,1,NA,0,11,1,1,4,1,45,1,1,5,2,2,3,4,5,5,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,3,1,7,710,1,1,1,1,1,2,15,3,1,1,NA,NA,3,1,3,NA
3444,11001,1,1,3,4,1,1,1,NA,0,11,1,1,4,1,45,1,1,5,2,2,3,4,5,5,4,3,3,3,4,4,4,4,4,4,2,NA,1,1,2,NA,1,1,1,9,3,1,7,710,1,1,1,1,1,1,43,1,3,2,1,1,1,1,1,1
3462,11001,3,2,NA,2,1,1,1,NA,0,11,1,4,NA,NA,NA,1,1,5,2,2,4,4,1,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,6,3,305,2,2,2,1,2,1,68,1,3,3,NA,NA,1,1,1,NA
3462,11001,3,2,NA,2,1,1,1,NA,0,11,1,4,NA,NA,NA,1,1,5,2,2,4,4,1,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,3,6,3,305,2,2,2,1,2,2,64,2,3,3,1,1,2,1,2,1
3469,11001,1,1,3,4,1,1,1,NA,0,11,1,1,12,2,30,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,0,8,801,1,1,4,1,4,1,61,3,1,1,1,1,4,1,4,1
3469,11001,1,1,3,4,1,1,1,NA,0,11,1,1,12,2,30,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,0,8,801,1,1,4,1,4,1,95,1,3,3,NA,NA,1,1,1,NA
3469,11001,1,1,3,4,1,1,1,NA,0,11,1,1,12,2,30,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,0,8,801,1,1,4,1,4,2,59,3,1,1,NA,NA,3,1,3,NA
3469,11001,1,1,3,4,1,1,1,NA,0,11,1,1,12,2,30,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,4,1,4,9,6,0,8,801,1,1,4,1,4,2,90,2,3,3,NA,NA,2,1,2,NA
3477,11001,2,1,2,3,1,1,1,NA,0,11,2,8,NA,NA,NA,2,NA,4,2,1,4,4,3,4,4,4,3,4,3,2,4,4,2,4,2,NA,2,NA,2,NA,2,1,2,9,6,0,3,305,NA,NA,2,1,2,2,13,3,2,1,1,1,2,1,2,1
3477,11001,2,1,2,3,1,1,1,NA,0,11,2,8,NA,NA,NA,2,NA,4,2,1,4,4,3,4,4,4,3,4,3,2,4,4,2,4,2,NA,2,NA,2,NA,2,1,2,9,6,0,3,305,NA,NA,2,1,2,2,38,1,2,2,NA,NA,1,1,1,NA
3477,11001,2,1,2,3,1,1,1,NA,0,11,2,8,NA,NA,NA,2,NA,4,2,1,4,4,3,4,4,4,3,4,3,2,4,4,2,4,2,NA,2,NA,2,NA,2,1,2,9,6,0,3,305,NA,NA,2,1,2,2,5,3,2,1,NA,NA,3,1,3,NA
3491,11001,1,1,2,3,1,1,1,NA,0,11,1,1,12,1,56,1,1,3,1,1,4,3,4,2,4,4,3,4,2,3,4,3,3,4,1,1,1,1,1,1,2,1,2,1,6,1,5,513,1,2,2,1,2,2,53,1,2,2,NA,NA,1,1,1,NA
3491,11001,1,1,2,3,1,1,1,NA,0,11,1,1,12,1,56,1,1,3,1,1,4,3,4,2,4,4,3,4,2,3,4,3,3,4,1,1,1,1,1,1,2,1,2,1,6,1,5,513,1,2,2,1,2,2,28,3,2,1,1,1,2,1,2,1
3491,11001,1,1,2,3,1,1,1,NA,0,11,1,1,12,1,56,1,1,3,1,1,4,3,4,2,4,4,3,4,2,3,4,3,3,4,1,1,1,1,1,1,2,1,2,1,6,1,5,513,1,2,2,1,2,2,5,3,2,1,NA,NA,3,1,3,NA
3515,11001,2,1,2,1,1,1,1,NA,0,11,1,1,12,1,18,1,1,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,1,3,305,1,2,1,1,1,2,63,1,3,3,1,1,1,1,1,1
3555,11001,2,1,2,2,1,1,1,NA,0,11,1,1,1,1,48,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,1,40,1,2,2,1,1,1,1,1,1
3555,11001,2,1,2,2,1,1,1,NA,0,11,1,1,1,1,48,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,2,3,5,511,1,1,1,1,1,2,27,2,2,2,NA,NA,2,1,2,NA
3563,11001,1,1,9,2,1,1,1,NA,0,11,1,2,NA,NA,NA,1,1,3,1,1,3,4,4,2,4,5,2,4,5,5,5,4,4,4,1,1,1,1,1,1,2,1,2,9,4,3,5,511,1,1,2,1,2,1,43,3,2,1,1,1,2,1,2,1
3563,11001,1,1,9,2,1,1,1,NA,0,11,1,2,NA,NA,NA,1,1,3,1,1,3,4,4,2,4,5,2,4,5,5,5,4,4,4,1,1,1,1,1,1,2,1,2,9,4,3,5,511,1,1,2,1,2,2,67,1,3,3,NA,NA,1,1,1,NA
3582,11001,2,2,NA,1,1,1,1,NA,0,11,1,1,6,1,32,1,1,4,2,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,6,1,3,305,1,2,1,1,1,2,47,1,3,2,1,1,1,1,1,1
3607,11001,1,1,9,3,1,1,1,NA,0,11,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,1,2,1,2,9,2,2,3,305,1,2,2,1,2,1,54,1,2,2,NA,NA,1,1,1,NA
3607,11001,1,1,9,3,1,1,1,NA,0,11,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,1,2,1,2,9,2,2,3,305,1,2,2,1,2,1,65,7,2,2,NA,NA,3,1,3,NA
3607,11001,1,1,9,3,1,1,1,NA,0,11,2,4,NA,NA,NA,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,1,2,1,2,9,2,2,3,305,1,2,2,1,2,2,59,2,2,2,1,1,2,1,2,1
3610,11001,2,1,2,4,1,1,1,NA,0,11,2,3,NA,NA,NA,1,2,4,1,1,4,4,5,5,5,2,2,3,4,4,4,4,4,4,2,NA,2,NA,1,1,4,1,4,9,6,0,4,409,NA,NA,4,1,4,2,52,2,3,3,NA,NA,2,1,2,NA
3610,11001,2,1,2,4,1,1,1,NA,0,11,2,3,NA,NA,NA,1,2,4,1,1,4,4,5,5,5,2,2,3,4,4,4,4,4,4,2,NA,2,NA,1,1,4,1,4,9,6,0,4,409,NA,NA,4,1,4,1,54,1,3,3,NA,NA,1,1,1,NA
3610,11001,2,1,2,4,1,1,1,NA,0,11,2,3,NA,NA,NA,1,2,4,1,1,4,4,5,5,5,2,2,3,4,4,4,4,4,4,2,NA,2,NA,1,1,4,1,4,9,6,0,4,409,NA,NA,4,1,4,1,24,3,1,1,NA,NA,3,1,3,NA
3610,11001,2,1,2,4,1,1,1,NA,0,11,2,3,NA,NA,NA,1,2,4,1,1,4,4,5,5,5,2,2,3,4,4,4,4,4,4,2,NA,2,NA,1,1,4,1,4,9,6,0,4,409,NA,NA,4,1,4,2,15,3,1,1,1,1,4,1,4,1
3639,11001,2,1,2,5,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,1,1,1,1,1,1,3,1,3,9,5,2,4,409,1,1,3,1,3,2,59,1,2,2,NA,NA,1,1,1,NA
3639,11001,2,1,2,5,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,1,1,1,1,1,1,3,1,3,9,5,2,4,409,1,1,3,1,3,1,42,3,2,1,NA,NA,2,1,2,NA
3639,11001,2,1,2,5,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,1,1,1,1,1,1,3,1,3,9,5,2,4,409,1,1,3,1,3,2,35,3,2,1,1,1,3,1,3,1
3639,11001,2,1,2,5,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,1,1,1,1,1,1,3,1,3,9,5,2,4,409,1,1,3,1,3,1,6,5,2,2,NA,NA,5,1,5,NA
3639,11001,2,1,2,5,1,1,1,NA,0,11,1,1,12,1,30,2,NA,4,1,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,1,1,1,1,1,1,3,1,3,9,5,2,4,409,1,1,3,1,3,2,7,5,2,2,NA,NA,4,1,4,NA
3647,11001,2,1,2,4,1,1,1,NA,0,11,1,3,NA,NA,NA,1,1,4,2,2,4,4,4,3,4,3,3,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,9,6,0,5,511,1,1,1,1,1,2,65,6,2,2,NA,NA,2,1,2,NA
3647,11001,2,1,2,4,1,1,1,NA,0,11,1,3,NA,NA,NA,1,1,4,2,2,4,4,4,3,4,3,3,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,9,6,0,5,511,1,1,1,1,1,1,31,1,3,1,1,1,1,1,1,1
3647,11001,2,1,2,4,1,1,1,NA,0,11,1,3,NA,NA,NA,1,1,4,2,2,4,4,4,3,4,3,3,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,9,6,0,5,511,1,1,1,1,1,2,36,7,3,2,NA,NA,3,1,3,NA
3647,11001,2,1,2,4,1,1,1,NA,0,11,1,3,NA,NA,NA,1,1,4,2,2,4,4,4,3,4,3,3,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,9,6,0,5,511,1,1,1,1,1,2,16,8,2,1,NA,NA,4,1,4,NA
3661,11001,1,1,4,4,1,1,1,NA,0,11,1,1,12,1,40,1,1,5,2,2,4,4,4,3,4,2,1,2,2,3,4,3,2,4,2,NA,2,NA,2,NA,4,1,4,9,5,0,8,806,1,1,4,1,4,1,70,1,3,3,NA,NA,1,1,1,NA
3661,11001,1,1,4,4,1,1,1,NA,0,11,1,1,12,1,40,1,1,5,2,2,4,4,4,3,4,2,1,2,2,3,4,3,2,4,2,NA,2,NA,2,NA,4,1,4,9,5,0,8,806,1,1,4,1,4,2,66,2,3,3,NA,NA,2,1,2,NA
3661,11001,1,1,4,4,1,1,1,NA,0,11,1,1,12,1,40,1,1,5,2,2,4,4,4,3,4,2,1,2,2,3,4,3,2,4,2,NA,2,NA,2,NA,4,1,4,9,5,0,8,806,1,1,4,1,4,1,42,3,1,1,NA,NA,3,1,3,NA
3661,11001,1,1,4,4,1,1,1,NA,0,11,1,1,12,1,40,1,1,5,2,2,4,4,4,3,4,2,1,2,2,3,4,3,2,4,2,NA,2,NA,2,NA,4,1,4,9,5,0,8,806,1,1,4,1,4,1,41,3,1,1,1,1,4,1,4,1
3665,11001,2,1,2,4,1,1,1,NA,0,11,1,1,3,1,52,1,9,5,1,1,4,4,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,1,3,9,6,0,7,704,1,1,3,1,3,1,20,3,2,1,1,1,3,1,3,1
3665,11001,2,1,2,4,1,1,1,NA,0,11,1,1,3,1,52,1,9,5,1,1,4,4,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,1,3,9,6,0,7,704,1,1,3,1,3,2,36,1,2,2,NA,NA,1,1,1,NA
3665,11001,2,1,2,4,1,1,1,NA,0,11,1,1,3,1,52,1,9,5,1,1,4,4,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,1,3,9,6,0,7,704,1,1,3,1,3,1,11,3,2,1,NA,NA,4,1,4,NA
3665,11001,2,1,2,4,1,1,1,NA,0,11,1,1,3,1,52,1,9,5,1,1,4,4,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,1,3,9,6,0,7,704,1,1,3,1,3,2,66,6,2,2,NA,NA,2,1,2,NA
3681,11001,2,1,2,3,1,1,1,NA,0,11,1,1,12,1,48,1,1,4,2,2,4,4,3,3,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,2,1,4,409,1,1,2,1,2,1,11,3,1,1,NA,NA,3,1,3,NA
3681,11001,2,1,2,3,1,1,1,NA,0,11,1,1,12,1,48,1,1,4,2,2,4,4,3,3,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,2,1,4,409,1,1,2,1,2,2,41,1,2,2,NA,NA,1,1,1,NA
3681,11001,2,1,2,3,1,1,1,NA,0,11,1,1,12,1,48,1,1,4,2,2,4,4,3,3,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,9,2,1,4,409,1,1,2,1,2,1,38,2,2,2,1,1,2,1,2,1
3692,11001,2,1,3,5,1,1,1,NA,0,11,1,1,8,5,48,1,3,3,2,2,4,2,4,3,5,4,3,4,4,4,4,4,4,4,2,NA,1,2,1,2,2,1,2,9,6,0,5,511,1,1,2,1,2,1,5,5,2,1,NA,NA,5,1,5,NA
3692,11001,2,1,3,5,1,1,1,NA,0,11,1,1,8,5,48,1,3,3,2,2,4,2,4,3,5,4,3,4,4,4,4,4,4,4,2,NA,1,2,1,2,2,1,2,9,6,0,5,511,1,1,2,1,2,1,26,3,2,1,1,1,2,1,2,1
3692,11001,2,1,3,5,1,1,1,NA,0,11,1,1,8,5,48,1,3,3,2,2,4,2,4,3,5,4,3,4,4,4,4,4,4,4,2,NA,1,2,1,2,2,1,2,9,6,0,5,511,1,1,2,1,2,2,22,3,2,1,NA,NA,3,1,3,NA
3692,11001,2,1,3,5,1,1,1,NA,0,11,1,1,8,5,48,1,3,3,2,2,4,2,4,3,5,4,3,4,4,4,4,4,4,4,2,NA,1,2,1,2,2,1,2,9,6,0,5,511,1,1,2,1,2,2,6,5,2,1,NA,NA,4,1,4,NA
3692,11001,2,1,3,5,1,1,1,NA,0,11,1,1,8,5,48,1,3,3,2,2,4,2,4,3,5,4,3,4,4,4,4,4,4,4,2,NA,1,2,1,2,2,1,2,9,6,0,5,511,1,1,2,1,2,2,52,1,2,2,NA,NA,1,1,1,NA
3718,11001,2,1,3,3,1,1,1,NA,0,11,1,1,6,4,56,1,1,4,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,1,1,7,705,1,1,1,1,1,1,0,3,1,1,NA,NA,3,1,3,NA
3718,11001,2,1,3,3,1,1,1,NA,0,11,1,1,6,4,56,1,1,4,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,1,1,7,705,1,1,1,1,1,2,30,2,2,2,NA,NA,2,1,2,NA
3718,11001,2,1,3,3,1,1,1,NA,0,11,1,1,6,4,56,1,1,4,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,9,1,1,7,705,1,1,1,1,1,1,35,1,2,2,1,1,1,1,1,1
3723,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,3,40,2,NA,4,2,2,2,1,1,4,1,2,1,1,1,4,4,4,4,4,1,2,2,NA,2,NA,1,1,1,9,5,3,5,510,1,1,1,1,1,2,17,3,2,1,NA,NA,3,1,3,NA
3723,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,3,40,2,NA,4,2,2,2,1,1,4,1,2,1,1,1,4,4,4,4,4,1,2,2,NA,2,NA,1,1,1,9,5,3,5,510,1,1,1,1,1,2,42,1,2,2,1,1,1,1,1,1
3723,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,3,40,2,NA,4,2,2,2,1,1,4,1,2,1,1,1,4,4,4,4,4,1,2,2,NA,2,NA,1,1,1,9,5,3,5,510,1,1,1,1,1,2,7,3,2,1,NA,NA,4,1,4,NA
3723,11001,2,1,3,4,1,1,1,NA,0,11,1,1,12,3,40,2,NA,4,2,2,2,1,1,4,1,2,1,1,1,4,4,4,4,4,1,2,2,NA,2,NA,1,1,1,9,5,3,5,510,1,1,1,1,1,1,19,3,2,1,NA,NA,2,1,2,NA
3757,11001,2,1,2,8,1,1,1,NA,0,11,1,1,1,5,1,1,1,5,2,2,2,3,4,3,4,3,3,4,3,2,4,3,3,4,1,2,1,1,1,1,4,1,4,9,6,0,5,511,1,2,4,1,4,1,13,3,1,1,NA,NA,5,1,5,NA
3757,11001,2,1,2,8,1,1,1,NA,0,11,1,1,1,5,1,1,1,5,2,2,2,3,4,3,4,3,3,4,3,2,4,3,3,4,1,2,1,1,1,1,4,1,4,9,6,0,5,511,1,2,4,1,4,1,3,5,2,1,NA,NA,7,1,7,NA
3757,11001,2,1,2,8,1,1,1,NA,0,11,1,1,1,5,1,1,1,5,2,2,2,3,4,3,4,3,3,4,3,2,4,3,3,4,1,2,1,1,1,1,4,1,4,9,6,0,5,511,1,2,4,1,4,2,22,3,1,1,NA,NA,3,1,3,NA
