"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
5931,3,2,11001,3,11,1,1,5,9,6,3,1,1,31,1
6726,3,1,11001,3,11,1,1,4,9,7,1,1,2,64,2
6726,3,1,11001,3,11,1,1,4,9,7,1,1,1,38,3
6726,3,1,11001,3,11,1,1,4,9,7,1,1,1,64,1
7710,3,1,11001,3,11,2,3,3,9,5,1,2,2,61,6
7710,3,1,11001,3,11,2,3,3,9,5,1,2,2,21,7
7710,3,1,11001,3,11,2,3,3,9,5,1,2,1,3,8
7710,3,1,11001,3,11,2,3,3,9,5,1,2,1,42,1
7737,3,2,11001,2,11,1,1,5,5,5,1,1,2,5,5
7737,3,2,11001,2,11,1,1,5,5,5,1,1,1,27,3
7737,3,2,11001,2,11,1,1,5,5,5,1,1,1,5,5
7737,3,2,11001,2,11,1,1,5,5,5,1,1,2,57,1
7737,3,2,11001,2,11,1,1,5,5,5,1,1,1,23,3
7773,3,2,11001,2,11,1,1,4,9,5,1,1,1,29,1
11358,3,2,11001,2,11,2,4,3,9,4,1,2,1,13,3
11358,3,2,11001,2,11,2,4,3,9,4,1,2,1,24,3
11358,3,2,11001,2,11,2,4,3,9,4,1,2,2,19,3
11358,3,2,11001,2,11,2,4,3,9,4,1,2,2,48,2
11358,3,2,11001,2,11,2,4,3,9,4,1,2,1,66,1
11358,3,2,11001,2,11,2,4,3,9,4,1,2,2,20,3
11706,3,2,11001,2,11,1,1,4,9,6,1,1,1,25,3
11706,3,2,11001,2,11,1,1,4,9,6,1,1,1,22,3
11706,3,2,11001,2,11,1,1,4,9,6,1,1,1,32,3
11706,3,2,11001,2,11,1,1,4,9,6,1,1,2,19,3
11706,3,2,11001,2,11,1,1,4,9,6,1,1,1,24,3
11706,3,2,11001,2,11,1,1,4,9,6,1,1,2,53,1
11785,1,1,11001,2,11,1,1,4,9,5,1,1,1,20,3
11785,1,1,11001,2,11,1,1,4,9,5,1,1,1,1,5
11785,1,1,11001,2,11,1,1,4,9,5,1,1,2,49,2
11785,1,1,11001,2,11,1,1,4,9,5,1,1,1,54,1
11785,1,1,11001,2,11,1,1,4,9,5,1,1,2,23,4
11785,1,1,11001,2,11,1,1,4,9,5,1,1,1,25,3
12138,3,1,11001,2,11,1,2,3,9,4,1,1,1,33,1
12138,3,1,11001,2,11,1,2,3,9,4,1,1,2,23,2
12461,3,2,11001,4,11,2,3,5,9,6,1,2,2,40,1
12461,3,2,11001,4,11,2,3,5,9,6,1,2,2,10,8
12461,3,2,11001,4,11,2,3,5,9,6,1,2,2,79,6
12461,3,2,11001,4,11,2,3,5,9,6,1,2,1,40,2
12461,3,2,11001,4,11,2,3,5,9,6,1,2,2,23,3
12493,3,2,11001,3,11,1,1,4,9,6,1,2,2,36,2
12493,3,2,11001,3,11,1,1,4,9,6,1,2,1,35,1
13081,3,2,11001,2,11,2,4,4,9,5,1,1,1,65,1
13081,3,2,11001,2,11,2,4,4,9,5,1,1,1,25,3
13142,2,1,11001,2,11,1,1,4,9,4,1,2,2,33,1
13730,3,2,11001,2,11,1,1,3,9,5,1,1,1,56,1
14007,3,1,11001,3,11,1,1,4,9,5,1,1,2,27,2
14007,3,1,11001,3,11,1,1,4,9,5,1,1,1,28,1
14007,3,1,11001,3,11,1,1,4,9,5,1,1,2,5,3
14007,3,1,11001,3,11,1,1,4,9,5,1,1,1,2,3
