"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
29,13001,1,1,2,4,1,1,1,NA,0,13,1,1,4,1,50,1,1,4,1,1,4,4,4,3,3,3,3,4,3,3,4,3,3,4,1,1,1,1,2,NA,1,1,1,5,2,1,6,606,1,1,1,1,1,2,59,2,1,1,NA,NA,2,1,2,NA
29,13001,1,1,2,4,1,1,1,NA,0,13,1,1,4,1,50,1,1,4,1,1,4,4,4,3,3,3,3,4,3,3,4,3,3,4,1,1,1,1,2,NA,1,1,1,5,2,1,6,606,1,1,1,1,1,1,63,1,1,1,1,1,1,1,1,1
29,13001,1,1,2,4,1,1,1,NA,0,13,1,1,4,1,50,1,1,4,1,1,4,4,4,3,3,3,3,4,3,3,4,3,3,4,1,1,1,1,2,NA,1,1,1,5,2,1,6,606,1,1,1,1,1,2,6,5,2,1,NA,NA,4,1,4,NA
29,13001,1,1,2,4,1,1,1,NA,0,13,1,1,4,1,50,1,1,4,1,1,4,4,4,3,3,3,3,4,3,3,4,3,3,4,1,1,1,1,2,NA,1,1,1,5,2,1,6,606,1,1,1,1,1,2,39,3,1,1,NA,NA,3,1,3,NA
40,13001,1,1,2,4,1,1,1,NA,0,13,2,2,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,2,2,NA,1,1,1,9,3,2,3,305,1,2,1,1,1,1,24,3,1,1,NA,NA,4,1,4,NA
40,13001,1,1,2,4,1,1,1,NA,0,13,2,2,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,2,2,NA,1,1,1,9,3,2,3,305,1,2,1,1,1,2,26,3,1,1,NA,NA,3,1,3,NA
40,13001,1,1,2,4,1,1,1,NA,0,13,2,2,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,2,2,NA,1,1,1,9,3,2,3,305,1,2,1,1,1,1,54,2,2,2,NA,NA,2,1,2,NA
40,13001,1,1,2,4,1,1,1,NA,0,13,2,2,NA,NA,NA,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,2,2,NA,1,1,1,9,3,2,3,305,1,2,1,1,1,2,55,1,2,2,1,1,1,1,1,1
46,13001,1,1,2,7,1,1,1,NA,0,13,2,4,NA,NA,NA,1,1,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,1,2,NA,2,1,2,9,5,0,5,511,1,2,2,1,2,2,20,5,2,1,NA,NA,6,1,6,NA
46,13001,1,1,2,7,1,1,1,NA,0,13,2,4,NA,NA,NA,1,1,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,1,1,2,NA,2,1,2,9,5,0,5,511,1,2,2,1,2,1,48,3,2,1,NA,NA,4,1,4,NA
