"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
4787,3,2,13001,2,13,1,1,4,9,3,1,1,2,58,1
4787,3,2,13001,2,13,1,1,4,9,3,1,1,1,43,3
4787,3,2,13001,2,13,1,1,4,9,3,1,1,1,38,3
4787,3,2,13001,2,13,1,1,4,9,3,1,1,2,71,7
6614,3,1,13001,1,13,2,2,3,5,5,1,1,2,60,1
6614,3,1,13001,1,13,2,2,3,5,5,1,1,1,62,2
6614,3,1,13001,1,13,2,2,3,5,5,1,1,1,34,3
11129,3,2,13001,2,13,1,1,4,9,3,1,1,1,62,1
11129,3,2,13001,2,13,1,1,4,9,3,1,1,2,62,2
35635,3,2,13001,2,13,1,1,4,9,5,1,1,1,52,1
