"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
4787,3,2,13001,2,13,1,1,4,9,3,1,1,2,58,1
4787,3,2,13001,2,13,1,1,4,9,3,1,1,1,38,3
4787,3,2,13001,2,13,1,1,4,9,3,1,1,1,43,3
4787,3,2,13001,2,13,1,1,4,9,3,1,1,2,71,7
6620,3,2,13001,1,13,1,1,2,5,5,1,1,2,64,1
6620,3,2,13001,1,13,1,1,2,5,5,1,1,1,63,2
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,5,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,18,7
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,28,1
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,1,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,6,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,15,7
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,12,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,35,2
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,49,6
11115,3,2,13001,1,13,2,2,4,9,4,1,1,1,60,1
11115,3,2,13001,1,13,2,2,4,9,4,1,1,2,57,2
11121,3,2,13001,1,13,1,8,4,5,4,1,1,2,4,8
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,23,8
11121,3,2,13001,1,13,1,8,4,5,4,1,1,2,45,2
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,50,1
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,32,3
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,19,8
11121,3,2,13001,1,13,1,8,4,5,4,1,1,2,25,4
19265,3,2,13001,1,13,1,1,4,5,3,1,1,2,46,2
19265,3,2,13001,1,13,1,1,4,5,3,1,1,1,6,5
19265,3,2,13001,1,13,1,1,4,5,3,1,1,1,23,3
19265,3,2,13001,1,13,1,1,4,5,3,1,1,2,29,4
19265,3,2,13001,1,13,1,1,4,5,3,1,1,1,28,3
19265,3,2,13001,1,13,1,1,4,5,3,1,1,1,49,1
19265,3,2,13001,1,13,1,1,4,5,3,1,1,2,7,5
21451,3,2,13836,1,13,2,4,4,9,3,1,2,2,45,1
21451,3,2,13836,1,13,2,4,4,9,3,1,2,1,27,3
21451,3,2,13836,1,13,2,4,4,9,3,1,2,1,16,3
21451,3,2,13836,1,13,2,4,4,9,3,1,2,2,12,3
21451,3,2,13836,1,13,2,4,4,9,3,1,2,1,21,3
35635,3,2,13001,2,13,1,1,4,9,5,1,1,1,52,1
47439,3,1,13001,1,13,1,7,1,9,2,1,4,1,56,1
