"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
401,9,2,13001,2,13,2,4,4,9,5,1,1,2,58,1
401,9,2,13001,2,13,2,4,4,9,5,1,1,2,26,3
401,9,2,13001,2,13,2,4,4,9,5,1,1,1,21,3
1747,3,2,13001,2,13,2,4,3,9,4,1,2,2,37,2
1747,3,2,13001,2,13,2,4,3,9,4,1,2,1,47,1
1747,3,2,13001,2,13,2,4,3,9,4,1,2,2,16,3
1747,3,2,13001,2,13,2,4,3,9,4,1,2,1,21,3
1747,3,2,13001,2,13,2,4,3,9,4,1,2,1,19,3
1747,3,2,13001,2,13,2,4,3,9,4,1,2,2,20,8
1747,3,2,13001,2,13,2,4,3,9,4,1,2,2,77,6
3001,3,2,13001,2,13,2,2,4,9,3,1,1,2,33,7
3001,3,2,13001,2,13,2,2,4,9,3,1,1,1,25,3
3001,3,2,13001,2,13,2,2,4,9,3,1,1,1,10,8
3001,3,2,13001,2,13,2,2,4,9,3,1,1,2,41,1
3001,3,2,13001,2,13,2,2,4,9,3,1,1,1,36,7
3001,3,2,13001,2,13,2,2,4,9,3,1,1,1,23,3
3001,3,2,13001,2,13,2,2,4,9,3,1,1,1,21,3
3001,3,2,13001,2,13,2,2,4,9,3,1,1,1,33,2
3951,3,2,13001,2,13,1,1,4,5,6,1,2,1,28,3
3951,3,2,13001,2,13,1,1,4,5,6,1,2,2,12,8
3951,3,2,13001,2,13,1,1,4,5,6,1,2,2,32,8
3951,3,2,13001,2,13,1,1,4,5,6,1,2,1,40,3
3951,3,2,13001,2,13,1,1,4,5,6,1,2,2,6,8
3951,3,2,13001,2,13,1,1,4,5,6,1,2,1,64,1
3951,3,2,13001,2,13,1,1,4,5,6,1,2,2,56,2
4787,3,2,13001,2,13,1,1,4,9,3,1,1,1,38,3
4787,3,2,13001,2,13,1,1,4,9,3,1,1,2,71,7
4787,3,2,13001,2,13,1,1,4,9,3,1,1,2,58,1
4787,3,2,13001,2,13,1,1,4,9,3,1,1,1,43,3
4949,3,2,13001,1,13,2,3,4,5,3,1,2,2,45,2
4949,3,2,13001,1,13,2,3,4,5,3,1,2,1,44,1
4949,3,2,13001,1,13,2,3,4,5,3,1,2,1,15,3
4949,3,2,13001,1,13,2,3,4,5,3,1,2,2,13,3
4949,3,2,13001,1,13,2,3,4,5,3,1,2,2,3,5
4949,3,2,13001,1,13,2,3,4,5,3,1,2,2,22,3
5002,3,2,13001,2,13,1,1,3,5,4,1,1,2,54,1
5002,3,2,13001,2,13,1,1,3,5,4,1,1,1,24,3
5002,3,2,13001,2,13,1,1,3,5,4,1,1,2,14,3
5002,3,2,13001,2,13,1,1,3,5,4,1,1,1,22,3
5139,3,2,13001,1,13,1,1,4,5,1,1,1,1,62,1
6351,2,2,13001,1,13,1,1,4,9,3,1,1,1,7,5
6351,2,2,13001,1,13,1,1,4,9,3,1,1,1,20,5
6351,2,2,13001,1,13,1,1,4,9,3,1,1,1,30,8
6351,2,2,13001,1,13,1,1,4,9,3,1,1,2,72,1
6351,2,2,13001,1,13,1,1,4,9,3,1,1,1,83,2
6454,3,2,13001,1,13,1,4,4,9,5,1,2,2,25,3
6454,3,2,13001,1,13,1,4,4,9,5,1,2,1,46,1
6454,3,2,13001,1,13,1,4,4,9,5,1,2,2,42,2
6620,3,2,13001,1,13,1,1,2,5,5,1,1,1,63,2
6620,3,2,13001,1,13,1,1,2,5,5,1,1,2,64,1
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,5,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,35,2
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,1,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,18,7
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,28,1
6622,1,1,13001,1,13,1,1,4,9,5,1,1,1,15,7
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,6,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,12,3
6622,1,1,13001,1,13,1,1,4,9,5,1,1,2,49,6
7740,1,1,13001,1,13,2,4,4,9,4,1,1,1,33,3
7740,1,1,13001,1,13,2,4,4,9,4,1,1,2,76,1
8466,3,2,13430,1,13,1,1,3,9,5,1,1,1,40,1
8535,3,2,13430,1,13,1,1,3,9,4,1,1,2,7,3
8535,3,2,13430,1,13,1,1,3,9,4,1,1,1,37,1
8535,3,2,13430,1,13,1,1,3,9,4,1,1,1,18,3
8535,3,2,13430,1,13,1,1,3,9,4,1,1,1,13,3
8535,3,2,13430,1,13,1,1,3,9,4,1,1,1,15,3
8535,3,2,13430,1,13,1,1,3,9,4,1,1,2,38,2
8535,3,2,13430,1,13,1,1,3,9,4,1,1,2,11,3
9940,3,2,13001,1,13,1,1,5,5,4,1,1,1,26,1
11115,3,2,13001,1,13,2,2,4,9,4,1,1,1,60,1
11115,3,2,13001,1,13,2,2,4,9,4,1,1,2,57,2
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,19,8
11121,3,2,13001,1,13,1,8,4,5,4,1,1,2,25,4
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,32,3
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,50,1
11121,3,2,13001,1,13,1,8,4,5,4,1,1,2,4,8
11121,3,2,13001,1,13,1,8,4,5,4,1,1,2,45,2
11121,3,2,13001,1,13,1,8,4,5,4,1,1,1,23,8
11129,3,1,13001,2,13,1,1,4,9,3,1,1,1,62,1
11129,3,1,13001,2,13,1,1,4,9,3,1,1,2,62,2
11157,3,1,13001,2,13,1,1,5,5,4,1,1,2,54,1
11157,3,1,13001,2,13,1,1,5,5,4,1,1,1,11,5
