"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
318,3,2,15759,2,15,1,1,4,9,5,1,1,2,54,6
318,3,2,15759,2,15,1,1,4,9,5,1,1,1,84,6
318,3,2,15759,2,15,1,1,4,9,5,1,1,1,37,7
318,3,2,15759,2,15,1,1,4,9,5,1,1,2,14,3
318,3,2,15759,2,15,1,1,4,9,5,1,1,2,29,1
318,3,2,15759,2,15,1,1,4,9,5,1,1,1,4,3
2433,3,2,15001,2,15,1,1,3,9,5,1,1,1,57,1
2433,3,2,15001,2,15,1,1,3,9,5,1,1,1,31,3
2433,3,2,15001,2,15,1,1,3,9,5,1,1,2,56,2
4174,3,2,15759,2,15,2,7,4,9,5,1,1,1,53,2
4174,3,2,15759,2,15,2,7,4,9,5,1,1,1,24,3
4174,3,2,15759,2,15,2,7,4,9,5,1,1,2,44,1
4438,3,2,15001,2,15,1,1,3,9,5,1,1,2,45,2
4438,3,2,15001,2,15,1,1,3,9,5,1,1,2,9,3
4438,3,2,15001,2,15,1,1,3,9,5,1,1,1,55,1
4438,3,2,15001,2,15,1,1,3,9,5,1,1,1,12,3
8889,3,1,15001,2,15,1,1,5,9,6,1,1,1,32,1
8925,3,2,15001,2,15,1,1,4,9,4,1,1,2,6,3
8925,3,2,15001,2,15,1,1,4,9,4,1,1,2,12,3
8925,3,2,15001,2,15,1,1,4,9,4,1,1,2,33,2
8925,3,2,15001,2,15,1,1,4,9,4,1,1,1,1,3
8925,3,2,15001,2,15,1,1,4,9,4,1,1,1,5,3
8925,3,2,15001,2,15,1,1,4,9,4,1,1,1,34,1
8925,3,2,15001,2,15,1,1,4,9,4,1,1,2,11,3
8962,3,2,15001,3,15,1,1,4,9,5,1,1,1,58,1
12215,2,1,15001,3,15,2,3,3,9,7,3,1,1,18,1
12995,3,2,15001,3,15,2,3,4,9,7,1,1,1,24,3
12995,3,2,15001,3,15,2,3,4,9,7,1,1,2,54,1
14348,3,2,15001,3,15,1,3,5,9,7,1,1,1,27,10
14348,3,2,15001,3,15,1,3,5,9,7,1,1,1,22,7
14348,3,2,15001,3,15,1,3,5,9,7,1,1,1,26,1
14402,3,2,15001,2,15,2,3,4,9,7,1,1,1,23,3
14402,3,2,15001,2,15,2,3,4,9,7,1,1,1,22,3
14402,3,2,15001,2,15,2,3,4,9,7,1,1,1,36,1
14402,3,2,15001,2,15,2,3,4,9,7,1,1,2,43,2
24224,3,2,15001,3,15,1,1,4,9,8,1,1,1,31,1
24268,3,2,15001,3,15,1,1,4,9,8,1,2,1,1,3
24268,3,2,15001,3,15,1,1,4,9,8,1,2,1,27,1
24268,3,2,15001,3,15,1,1,4,9,8,1,2,2,31,2
24326,3,2,15001,3,15,1,1,4,9,7,1,1,1,65,1
29153,3,2,15001,3,15,1,1,5,9,7,1,1,1,27,1
34200,3,2,15238,2,15,1,1,4,9,3,1,1,2,21,1
34200,3,2,15238,2,15,1,1,4,9,3,1,1,1,5,3
34200,3,2,15238,2,15,1,1,4,9,3,1,1,1,43,2
