"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
3528,3,2,15759,2,15,1,4,1,9,6,3,2,1,57,1
3528,3,2,15759,2,15,1,4,1,9,6,3,2,2,32,3
3528,3,2,15759,2,15,1,4,1,9,6,3,2,2,60,2
3528,3,2,15759,2,15,1,4,1,9,6,3,2,2,4,5
3528,3,2,15759,2,15,1,4,1,9,6,3,2,1,14,5
4457,3,2,15001,1,15,1,1,4,9,7,1,2,2,18,7
4457,3,2,15001,1,15,1,1,4,9,7,1,2,1,1,3
4457,3,2,15001,1,15,1,1,4,9,7,1,2,1,4,3
4457,3,2,15001,1,15,1,1,4,9,7,1,2,1,0,8
4457,3,2,15001,1,15,1,1,4,9,7,1,2,1,3,8
4457,3,2,15001,1,15,1,1,4,9,7,1,2,2,28,1
4457,3,2,15001,1,15,1,1,4,9,7,1,2,2,26,7
12889,3,2,15001,3,15,1,1,4,9,6,1,1,2,38,1
12889,3,2,15001,3,15,1,1,4,9,6,1,1,2,16,3
12889,3,2,15001,3,15,1,1,4,9,6,1,1,1,17,3
12889,3,2,15001,3,15,1,1,4,9,6,1,1,1,20,3
14348,3,2,15001,3,15,1,3,5,9,7,1,1,1,26,1
14348,3,2,15001,3,15,1,3,5,9,7,1,1,1,22,7
14348,3,2,15001,3,15,1,3,5,9,7,1,1,1,27,10
29254,3,2,15001,4,15,1,1,3,9,8,1,2,2,24,1
57989,3,2,15001,3,15,1,1,3,9,6,1,1,1,30,1
