"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
154,3,2,15001,4,15,1,1,4,9,8,1,2,2,42,1
154,3,2,15001,4,15,1,1,4,9,8,1,2,2,7,3
160,2,1,15001,3,15,2,3,4,9,7,1,1,1,20,1
267,3,2,15001,4,15,1,1,3,9,8,1,2,2,52,1
305,3,1,15001,3,15,2,3,4,9,7,1,1,1,21,1
318,3,2,15759,2,15,1,1,4,9,5,1,1,1,84,6
318,3,2,15759,2,15,1,1,4,9,5,1,1,1,4,3
318,3,2,15759,2,15,1,1,4,9,5,1,1,2,14,3
318,3,2,15759,2,15,1,1,4,9,5,1,1,2,29,1
318,3,2,15759,2,15,1,1,4,9,5,1,1,1,37,7
318,3,2,15759,2,15,1,1,4,9,5,1,1,2,54,6
867,3,2,15001,2,15,1,1,3,9,3,1,1,1,36,3
867,3,2,15001,2,15,1,1,3,9,3,1,1,2,58,1
2433,3,2,15001,2,15,1,1,3,9,5,1,1,1,31,3
2433,3,2,15001,2,15,1,1,3,9,5,1,1,1,57,1
2433,3,2,15001,2,15,1,1,3,9,5,1,1,2,56,2
3501,3,2,15759,3,15,1,1,3,9,5,1,1,1,46,1
3501,3,2,15759,3,15,1,1,3,9,5,1,1,2,68,6
3501,3,2,15759,3,15,1,1,3,9,5,1,1,2,21,3
3528,3,1,15759,2,15,1,4,1,9,6,3,2,1,57,1
3528,3,1,15759,2,15,1,4,1,9,6,3,2,2,4,5
3528,3,1,15759,2,15,1,4,1,9,6,3,2,1,14,5
3528,3,1,15759,2,15,1,4,1,9,6,3,2,2,32,3
3528,3,1,15759,2,15,1,4,1,9,6,3,2,2,60,2
3730,3,1,15759,2,15,2,3,4,9,6,1,1,1,23,1
4174,3,1,15759,2,15,2,7,4,9,5,1,1,1,53,2
4174,3,1,15759,2,15,2,7,4,9,5,1,1,1,24,3
4174,3,1,15759,2,15,2,7,4,9,5,1,1,2,44,1
4421,3,2,15001,1,15,1,1,4,9,7,1,1,1,22,2
4421,3,2,15001,1,15,1,1,4,9,7,1,1,1,20,8
4421,3,2,15001,1,15,1,1,4,9,7,1,1,2,21,8
