"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
17894,17174,2,1,3,2,1,1,1,NA,0,17,1,1,12,1,40,1,1,4,2,2,3,3,3,3,4,3,3,4,4,4,4,4,4,4,1,2,2,NA,2,NA,2,1,2,9,2,0,5,511,1,1,2,1,2,2,36,1,2,2,NA,NA,1,1,1,NA
17894,17174,2,1,3,2,1,1,1,NA,0,17,1,1,12,1,40,1,1,4,2,2,3,3,3,3,4,3,3,4,4,4,4,4,4,4,1,2,2,NA,2,NA,2,1,2,9,2,0,5,511,1,1,2,1,2,1,40,2,2,2,1,1,2,1,2,1
18002,17174,2,1,4,1,1,1,1,NA,0,17,1,1,12,4,60,1,1,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,NA,2,NA,2,NA,1,1,1,9,6,0,3,305,1,1,1,1,1,1,19,1,2,2,1,1,1,1,1,1
18217,17174,2,1,3,5,1,1,1,NA,0,17,2,3,NA,NA,NA,2,NA,5,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,5,1,7,705,1,2,1,1,1,1,5,3,2,1,NA,NA,2,1,2,NA
18217,17174,2,1,3,5,1,1,1,NA,0,17,2,3,NA,NA,NA,2,NA,5,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,5,1,7,705,1,2,1,1,1,2,23,1,2,2,1,1,1,1,1,1
18217,17174,2,1,3,5,1,1,1,NA,0,17,2,3,NA,NA,NA,2,NA,5,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,5,1,7,705,1,2,1,1,1,2,3,8,2,1,NA,NA,4,1,4,NA
18217,17174,2,1,3,5,1,1,1,NA,0,17,2,3,NA,NA,NA,2,NA,5,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,5,1,7,705,1,2,1,1,1,2,1,8,2,1,NA,NA,5,1,5,NA
18217,17174,2,1,3,5,1,1,1,NA,0,17,2,3,NA,NA,NA,2,NA,5,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,5,1,7,705,1,2,1,1,1,2,21,7,2,2,NA,NA,3,1,3,NA
18227,17873,2,1,3,4,1,1,1,NA,0,17,1,1,7,1,12,1,1,1,2,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,5,511,NA,NA,3,1,3,1,7,3,1,1,NA,NA,4,1,4,NA
18227,17873,2,1,3,4,1,1,1,NA,0,17,1,1,7,1,12,1,1,1,2,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,5,511,NA,NA,3,1,3,1,42,1,3,2,NA,NA,1,1,1,NA
18227,17873,2,1,3,4,1,1,1,NA,0,17,1,1,7,1,12,1,1,1,2,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,5,511,NA,NA,3,1,3,1,17,3,1,1,1,1,3,1,3,1
18227,17873,2,1,3,4,1,1,1,NA,0,17,1,1,7,1,12,1,1,1,2,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,6,0,5,511,NA,NA,3,1,3,2,41,2,2,2,NA,NA,2,1,2,NA
18275,17873,1,1,3,2,1,1,1,NA,0,17,1,1,12,4,40,1,1,4,2,2,4,4,3,3,4,2,3,4,4,3,4,3,3,4,1,1,1,1,2,NA,2,1,2,9,6,0,6,603,1,1,2,1,2,1,35,7,2,2,1,1,2,1,2,1
18275,17873,1,1,3,2,1,1,1,NA,0,17,1,1,12,4,40,1,1,4,2,2,4,4,3,3,4,2,3,4,4,3,4,3,3,4,1,1,1,1,2,NA,2,1,2,9,6,0,6,603,1,1,2,1,2,1,39,1,2,2,NA,NA,1,1,1,NA
