"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
18423,3,2,17174,4,17,1,6,4,9,3,1,1,2,63,2
18423,3,2,17174,4,17,1,6,4,9,3,1,1,1,64,1
21881,3,2,17174,1,17,2,5,3,9,3,1,1,1,78,10
21881,3,2,17174,1,17,2,5,3,9,3,1,1,1,55,3
21881,3,2,17174,1,17,2,5,3,9,3,1,1,2,71,1
22334,3,2,17001,4,17,1,1,4,9,3,1,2,2,58,1
30076,3,2,17001,2,17,1,1,4,9,4,1,1,2,40,2
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,35,7
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,16,3
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,52,1
30571,3,2,17001,3,17,1,1,4,9,6,1,1,2,42,2
30571,3,2,17001,3,17,1,1,4,9,6,1,1,1,23,3
30571,3,2,17001,3,17,1,1,4,9,6,1,1,1,18,3
30571,3,2,17001,3,17,1,1,4,9,6,1,1,1,52,1
32102,3,2,17001,3,17,1,1,4,9,5,1,1,2,39,2
32102,3,2,17001,3,17,1,1,4,9,5,1,1,1,28,1
32102,3,2,17001,3,17,1,1,4,9,5,1,1,1,57,6
32102,3,2,17001,3,17,1,1,4,9,5,1,1,2,3,3
39880,3,2,17001,3,17,2,2,2,9,3,1,1,1,47,3
39880,3,2,17001,3,17,2,2,2,9,3,1,1,2,66,1
39880,3,2,17001,3,17,2,2,2,9,3,1,1,1,34,3
49746,3,2,17001,3,17,1,1,5,9,5,1,2,2,53,1
49780,3,1,17001,1,17,2,4,3,9,3,1,2,2,56,1
53497,3,2,17001,2,17,2,4,4,9,5,3,2,1,0,5
53497,3,2,17001,2,17,2,4,4,9,5,3,2,1,27,3
53497,3,2,17001,2,17,2,4,4,9,5,3,2,2,6,5
53497,3,2,17001,2,17,2,4,4,9,5,3,2,2,43,1
