"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,24,5
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,66,1
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,30,3
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,36,3
19021,3,2,17001,4,17,1,2,4,9,7,2,1,2,45,3
19021,3,2,17001,4,17,1,2,4,9,7,2,1,2,66,2
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,56,8
19021,3,2,17001,4,17,1,2,4,9,7,2,1,2,12,5
19021,3,2,17001,4,17,1,2,4,9,7,2,1,1,40,3
19913,3,2,17001,3,17,1,6,5,5,8,1,2,1,24,3
19913,3,2,17001,3,17,1,6,5,5,8,1,2,2,63,2
19913,3,2,17001,3,17,1,6,5,5,8,1,2,1,70,1
22108,3,2,17001,5,17,1,1,5,9,7,1,1,1,24,3
22108,3,2,17001,5,17,1,1,5,9,7,1,1,2,60,1
22308,2,1,17001,3,17,1,1,5,9,5,1,2,2,21,3
22308,2,1,17001,3,17,1,1,5,9,5,1,2,2,42,1
22308,2,1,17001,3,17,1,1,5,9,5,1,2,2,4,5
22308,2,1,17001,3,17,1,1,5,9,5,1,2,1,5,3
23380,3,2,17873,3,17,2,4,3,9,4,1,2,1,9,8
23380,3,2,17873,3,17,2,4,3,9,4,1,2,2,57,1
23380,3,2,17873,3,17,2,4,3,9,4,1,2,1,25,8
24210,3,2,17001,3,17,2,3,3,9,7,2,2,2,18,3
24210,3,2,17001,3,17,2,3,3,9,7,2,2,2,48,2
24210,3,2,17001,3,17,2,3,3,9,7,2,2,1,58,1
26707,3,1,17001,4,17,1,1,4,9,5,1,1,1,34,1
26816,3,2,17001,3,17,2,3,3,9,6,1,2,1,16,5
26816,3,2,17001,3,17,2,3,3,9,6,1,2,1,79,1
26816,3,2,17001,3,17,2,3,3,9,6,1,2,2,4,5
26816,3,2,17001,3,17,2,3,3,9,6,1,2,2,42,3
26816,3,2,17001,3,17,2,3,3,9,6,1,2,2,70,2
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,16,3
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,52,1
30076,3,2,17001,2,17,1,1,4,9,4,1,1,1,35,7
30076,3,2,17001,2,17,1,1,4,9,4,1,1,2,40,2
31205,3,2,17001,1,17,1,1,5,9,7,1,1,1,27,1
31205,3,2,17001,1,17,1,1,5,9,7,1,1,2,25,2
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,11,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,2,19,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,2,7,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,75,1
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,27,5
31298,3,1,17001,3,17,2,2,3,9,7,1,1,1,51,3
31298,3,1,17001,3,17,2,2,3,9,7,1,1,2,70,2
32013,3,2,17001,1,17,1,2,4,9,5,1,1,2,13,5
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,28,3
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,30,3
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,19,3
32013,3,2,17001,1,17,1,2,4,9,5,1,1,1,38,4
32013,3,2,17001,1,17,1,2,4,9,5,1,1,2,39,3
32013,3,2,17001,1,17,1,2,4,9,5,1,1,2,61,1
32102,3,2,17001,3,17,1,1,4,9,5,1,1,2,3,3
32102,3,2,17001,3,17,1,1,4,9,5,1,1,2,39,2
32102,3,2,17001,3,17,1,1,4,9,5,1,1,1,28,1
32102,3,2,17001,3,17,1,1,4,9,5,1,1,1,57,6
34682,3,2,17001,2,17,1,1,4,9,4,1,1,1,25,1
35035,3,2,17001,3,17,2,3,4,9,7,1,1,1,25,3
35035,3,2,17001,3,17,2,3,4,9,7,1,1,2,61,1
36530,3,2,17001,2,17,2,3,3,9,5,NA,NA,2,52,1
36530,3,2,17001,2,17,2,3,3,9,5,NA,NA,2,17,3
36530,3,2,17001,2,17,2,3,3,9,5,NA,NA,1,29,3
38563,3,1,17001,3,17,1,1,3,9,5,1,1,1,51,1
38563,3,1,17001,3,17,1,1,3,9,5,1,1,1,24,3
38563,3,1,17001,3,17,1,1,3,9,5,1,1,2,45,2
39826,3,2,17001,2,17,1,1,4,9,5,1,1,2,34,5
39826,3,2,17001,2,17,1,1,4,9,5,1,1,1,48,3
39826,3,2,17001,2,17,1,1,4,9,5,1,1,2,87,1
39880,3,2,17001,3,17,2,2,2,9,3,1,1,2,66,1
39880,3,2,17001,3,17,2,2,2,9,3,1,1,1,47,3
39880,3,2,17001,3,17,2,2,2,9,3,1,1,1,34,3
41781,3,2,17001,4,17,1,1,4,9,5,1,1,2,2,3
41781,3,2,17001,4,17,1,1,4,9,5,1,1,1,25,1
41781,3,2,17001,4,17,1,1,4,9,5,1,1,2,23,2
43438,3,1,17174,3,17,1,1,4,9,4,2,1,1,26,1
43438,3,1,17174,3,17,1,1,4,9,4,2,1,2,76,6
45030,3,1,17001,2,17,1,1,4,9,4,1,1,1,49,1
45978,3,1,17001,3,17,2,3,4,9,7,1,1,1,66,1
45978,3,1,17001,3,17,2,3,4,9,7,1,1,2,68,2
45978,3,1,17001,3,17,2,3,4,9,7,1,1,1,22,8
47185,2,1,17001,1,17,1,1,5,9,7,1,1,1,42,10
47185,2,1,17001,1,17,1,1,5,9,7,1,1,1,36,10
47185,2,1,17001,1,17,1,1,5,9,7,1,1,2,52,1
47270,3,2,17001,5,17,1,6,5,5,7,1,2,1,62,7
47270,3,2,17001,5,17,1,6,5,5,7,1,2,2,64,7
47270,3,2,17001,5,17,1,6,5,5,7,1,2,2,68,1
49484,3,2,17001,4,17,1,1,5,1,7,1,2,2,32,1
49484,3,2,17001,4,17,1,1,5,1,7,1,2,1,34,2
49484,3,2,17001,4,17,1,1,5,1,7,1,2,2,7,3
49983,3,2,17001,1,17,1,1,4,9,5,1,1,1,31,5
49983,3,2,17001,1,17,1,1,4,9,5,1,1,2,41,3
49983,3,2,17001,1,17,1,1,4,9,5,1,1,2,73,1
49983,3,2,17001,1,17,1,1,4,9,5,1,1,1,19,5
49983,3,2,17001,1,17,1,1,4,9,5,1,1,2,47,3
49983,3,2,17001,1,17,1,1,4,9,5,1,1,1,90,7
49983,3,2,17001,1,17,1,1,4,9,5,1,1,2,27,5
49983,3,2,17001,1,17,1,1,4,9,5,1,1,1,12,5
51195,3,2,17001,2,17,1,1,4,9,5,1,1,1,84,2
51195,3,2,17001,2,17,1,1,4,9,5,1,1,2,50,3
51195,3,2,17001,2,17,1,1,4,9,5,1,1,1,43,4
51195,3,2,17001,2,17,1,1,4,9,5,1,1,2,73,1
51195,3,2,17001,2,17,1,1,4,9,5,1,1,1,30,5
51502,3,2,17001,4,17,1,1,3,9,4,1,1,1,45,3
51502,3,2,17001,4,17,1,1,3,9,4,1,1,2,70,1
51749,3,2,17001,2,17,2,4,3,9,3,1,2,2,22,3
51749,3,2,17001,2,17,2,4,3,9,3,1,2,1,7,5
51749,3,2,17001,2,17,2,4,3,9,3,1,2,1,1,5
51749,3,2,17001,2,17,2,4,3,9,3,1,2,2,52,1
