"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
18607,9,2,17873,3,17,1,1,4,9,6,2,3,1,47,3
18607,9,2,17873,3,17,1,1,4,9,6,2,3,1,80,1
18607,9,2,17873,3,17,1,1,4,9,6,2,3,2,70,2
36103,3,1,17001,1,17,2,3,4,9,7,1,1,1,20,3
36103,3,1,17001,1,17,2,3,4,9,7,1,1,2,59,1
36530,3,2,17001,2,17,2,3,3,9,5,NA,NA,2,17,3
36530,3,2,17001,2,17,2,3,3,9,5,NA,NA,1,29,3
36530,3,2,17001,2,17,2,3,3,9,5,NA,NA,2,52,1
38535,3,2,17001,2,17,1,1,4,9,6,1,1,2,2,3
38535,3,2,17001,2,17,1,1,4,9,6,1,1,1,26,7
38535,3,2,17001,2,17,1,1,4,9,6,1,1,1,24,1
38535,3,2,17001,2,17,1,1,4,9,6,1,1,2,22,2
42924,3,2,17174,3,17,2,3,5,9,4,1,1,1,18,3
42924,3,2,17174,3,17,2,3,5,9,4,1,1,1,19,3
42924,3,2,17174,3,17,2,3,5,9,4,1,1,1,2,5
42924,3,2,17174,3,17,2,3,5,9,4,1,1,1,8,5
42924,3,2,17174,3,17,2,3,5,9,4,1,1,2,42,1
43438,3,2,17174,3,17,1,1,4,9,4,2,1,2,76,6
43438,3,2,17174,3,17,1,1,4,9,4,2,1,1,26,1
45978,3,1,17001,3,17,2,3,4,9,7,1,1,1,66,1
45978,3,1,17001,3,17,2,3,4,9,7,1,1,2,68,2
45978,3,1,17001,3,17,2,3,4,9,7,1,1,1,22,8
50659,3,2,17001,2,17,2,3,4,9,6,2,1,1,76,1
50659,3,2,17001,2,17,2,3,4,9,6,2,1,2,50,3
50659,3,2,17001,2,17,2,3,4,9,6,2,1,2,81,2
50659,3,2,17001,2,17,2,3,4,9,6,2,1,1,26,5
51749,3,2,17001,2,17,2,4,3,9,3,1,2,1,1,5
51749,3,2,17001,2,17,2,4,3,9,3,1,2,2,52,1
51749,3,2,17001,2,17,2,4,3,9,3,1,2,2,22,3
51749,3,2,17001,2,17,2,4,3,9,3,1,2,1,7,5
53497,3,2,17001,2,17,2,4,4,9,5,3,2,2,43,1
53497,3,2,17001,2,17,2,4,4,9,5,3,2,1,24,3
53497,3,2,17001,2,17,2,4,4,9,5,3,2,2,26,3
53497,3,2,17001,2,17,2,4,4,9,5,3,2,1,22,4
53497,3,2,17001,2,17,2,4,4,9,5,3,2,2,22,3
53497,3,2,17001,2,17,2,4,4,9,5,3,2,1,27,3
53497,3,2,17001,2,17,2,4,4,9,5,3,2,2,6,5
53497,3,2,17001,2,17,2,4,4,9,5,3,2,2,64,6
53497,3,2,17001,2,17,2,4,4,9,5,3,2,1,0,5
53885,3,1,17001,2,17,1,1,5,9,7,2,1,1,25,2
53885,3,1,17001,2,17,1,1,5,9,7,2,1,2,44,1
54549,3,2,17001,4,17,1,1,4,9,6,1,1,1,29,1
54764,3,1,17001,5,17,1,1,4,9,7,1,1,1,28,1
54764,3,1,17001,5,17,1,1,4,9,7,1,1,2,26,2
55127,3,2,17001,2,17,2,3,4,9,5,NA,NA,1,17,5
55127,3,2,17001,2,17,2,3,4,9,5,NA,NA,1,36,3
55127,3,2,17001,2,17,2,3,4,9,5,NA,NA,2,43,3
55127,3,2,17001,2,17,2,3,4,9,5,NA,NA,2,73,1
55700,3,2,17001,6,17,1,1,4,9,7,1,2,2,29,1
55974,3,2,17001,3,17,2,3,3,9,5,2,2,2,41,2
55974,3,2,17001,3,17,2,3,3,9,5,2,2,1,21,3
55974,3,2,17001,3,17,2,3,3,9,5,2,2,1,48,1
55974,3,2,17001,3,17,2,3,3,9,5,2,2,1,11,3
55991,3,2,17001,3,17,2,3,4,9,7,1,1,1,21,8
55991,3,2,17001,3,17,2,3,4,9,7,1,1,1,20,1
56056,3,2,17001,2,17,1,1,4,9,6,1,1,1,32,1
56124,3,2,17001,2,17,2,3,4,9,7,3,1,1,66,1
56124,3,2,17001,2,17,2,3,4,9,7,3,1,1,24,3
56124,3,2,17001,2,17,2,3,4,9,7,3,1,2,54,2
56221,3,2,17001,3,17,2,2,5,9,6,1,1,1,26,3
56221,3,2,17001,3,17,2,2,5,9,6,1,1,1,72,1
56221,3,2,17001,3,17,2,2,5,9,6,1,1,2,65,2
56320,3,2,17001,6,17,2,3,4,9,6,1,2,2,21,1
56386,3,2,17001,4,17,1,1,5,9,7,4,3,2,24,1
56641,3,2,17001,4,17,1,1,4,9,7,1,1,1,31,1
56641,3,2,17001,4,17,1,1,4,9,7,1,1,2,59,6
57069,3,1,17001,2,17,1,1,4,9,4,1,1,1,24,3
57069,3,1,17001,2,17,1,1,4,9,4,1,1,2,43,1
57069,3,1,17001,2,17,1,1,4,9,4,1,1,1,46,2
57069,3,1,17001,2,17,1,1,4,9,4,1,1,1,76,6
57517,3,2,17001,3,17,1,6,5,9,5,1,1,1,65,1
57628,3,1,17001,3,17,1,1,4,9,4,2,1,2,54,1
57628,3,1,17001,3,17,1,1,4,9,4,2,1,2,51,7
57628,3,1,17001,3,17,1,1,4,9,4,2,1,1,57,7
57628,3,1,17001,3,17,1,1,4,9,4,2,1,2,49,7
57628,3,1,17001,3,17,1,1,4,9,4,2,1,1,48,7
57628,3,1,17001,3,17,1,1,4,9,4,2,1,1,19,3
57628,3,1,17001,3,17,1,1,4,9,4,2,1,1,25,8
57628,3,1,17001,3,17,1,1,4,9,4,2,1,2,47,7
57628,3,1,17001,3,17,1,1,4,9,4,2,1,1,14,8
57628,3,1,17001,3,17,1,1,4,9,4,2,1,2,51,7
57628,3,1,17001,3,17,1,1,4,9,4,2,1,2,22,8
57666,2,1,17001,3,17,1,3,4,9,7,1,1,1,25,1
57870,3,2,17001,3,17,1,1,4,9,8,1,1,1,40,1
57947,3,2,17001,3,17,2,3,4,9,6,1,1,2,53,1
57947,3,2,17001,3,17,2,3,4,9,6,1,1,1,19,5
57947,3,2,17001,3,17,2,3,4,9,6,1,1,2,21,3
57947,3,2,17001,3,17,2,3,4,9,6,1,1,2,29,3
58009,3,2,17001,2,17,1,1,5,9,4,1,1,1,17,3
58009,3,2,17001,2,17,1,1,5,9,4,1,1,2,52,1
58009,3,2,17001,2,17,1,1,5,9,4,1,1,1,13,3
58009,3,2,17001,2,17,1,1,5,9,4,1,1,1,27,3
58177,3,2,17001,4,17,2,2,5,9,7,1,1,1,25,3
58177,3,2,17001,4,17,2,2,5,9,7,1,1,1,75,1
58177,3,2,17001,4,17,2,2,5,9,7,1,1,2,68,2
58274,3,2,17001,6,17,1,3,5,2,8,3,1,1,54,1
58274,3,2,17001,6,17,1,3,5,2,8,3,1,1,37,10
58354,3,2,17001,3,17,1,1,4,9,6,1,1,1,27,1
58919,3,2,17001,3,17,2,7,2,9,5,1,1,1,41,5
58919,3,2,17001,3,17,2,7,2,9,5,1,1,2,93,1
58919,3,2,17001,3,17,2,7,2,9,5,1,1,1,39,5
58919,3,2,17001,3,17,2,7,2,9,5,1,1,1,68,3
59250,3,2,17001,3,17,1,1,4,9,6,1,1,2,35,2
59250,3,2,17001,3,17,1,1,4,9,6,1,1,2,13,3
59250,3,2,17001,3,17,1,1,4,9,6,1,1,1,42,1
59250,3,2,17001,3,17,1,1,4,9,6,1,1,2,5,3
59316,9,1,17001,4,17,2,3,5,9,5,1,1,1,18,3
59316,9,1,17001,4,17,2,3,5,9,5,1,1,2,11,3
59316,9,1,17001,4,17,2,3,5,9,5,1,1,2,39,2
59316,9,1,17001,4,17,2,3,5,9,5,1,1,1,38,1
59429,2,1,17001,1,17,2,7,5,9,5,1,1,2,50,1
59429,2,1,17001,1,17,2,7,5,9,5,1,1,1,30,3
59429,2,1,17001,1,17,2,7,5,9,5,1,1,1,19,3
59508,3,2,17001,3,17,1,1,4,9,8,1,1,1,27,1
59508,3,2,17001,3,17,1,1,4,9,8,1,1,2,91,8
59508,3,2,17001,3,17,1,1,4,9,8,1,1,2,56,6
59570,3,2,17001,2,17,2,3,4,9,7,1,1,1,70,1
59570,3,2,17001,2,17,2,3,4,9,7,1,1,1,21,5
59570,3,2,17001,2,17,2,3,4,9,7,1,1,2,72,2
59577,3,2,17001,5,17,2,1,5,9,7,1,1,2,45,3
59577,3,2,17001,5,17,2,1,5,9,7,1,1,1,10,5
59577,3,2,17001,5,17,2,1,5,9,7,1,1,2,66,1
59577,3,2,17001,5,17,2,1,5,9,7,1,1,1,31,3
59586,3,2,17001,3,17,1,1,4,9,5,1,1,1,23,1
59629,3,2,17001,1,17,1,8,4,9,5,1,1,1,13,3
59629,3,2,17001,1,17,1,8,4,9,5,1,1,2,54,1
59629,3,2,17001,1,17,1,8,4,9,5,1,1,1,7,5
59629,3,2,17001,1,17,1,8,4,9,5,1,1,1,29,3
59694,3,2,17001,3,17,2,1,4,9,5,1,1,2,85,1
59694,3,2,17001,3,17,2,1,4,9,5,1,1,1,28,5
59835,3,2,17001,4,17,1,1,3,9,8,1,1,2,32,2
59835,3,2,17001,4,17,1,1,3,9,8,1,1,1,3,3
59835,3,2,17001,4,17,1,1,3,9,8,1,1,1,39,1
