"DIRECTORIO","O_01","O_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
58919,3,2,17001,3,17,2,7,2,9,5,1,1,2,93,1
58919,3,2,17001,3,17,2,7,2,9,5,1,1,1,68,3
58919,3,2,17001,3,17,2,7,2,9,5,1,1,1,41,5
58919,3,2,17001,3,17,2,7,2,9,5,1,1,1,39,5
59142,3,2,17001,6,17,1,1,4,9,4,1,1,1,59,1
59142,3,2,17001,6,17,1,1,4,9,4,1,1,2,57,2
59142,3,2,17001,6,17,1,1,4,9,4,1,1,2,16,3
59649,3,2,17001,2,17,1,1,4,9,5,1,1,2,26,2
59649,3,2,17001,2,17,1,1,4,9,5,1,1,1,9,3
59649,3,2,17001,2,17,1,1,4,9,5,1,1,2,8,3
59649,3,2,17001,2,17,1,1,4,9,5,1,1,2,3,3
59649,3,2,17001,2,17,1,1,4,9,5,1,1,1,28,8
59649,3,2,17001,2,17,1,1,4,9,5,1,1,1,26,1
