"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1123,3,1,18001,2,18,1,1,3,9,5,1,1,1,17,3
1123,3,1,18001,2,18,1,1,3,9,5,1,1,1,43,1
1123,3,1,18001,2,18,1,1,3,9,5,1,1,2,45,2
1123,3,1,18001,2,18,1,1,3,9,5,1,1,2,11,3
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,6,5
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,1,15,5
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,53,1
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,1,34,4
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,1,17,8
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,17,5
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,30,3
8219,3,2,18001,2,18,1,1,5,9,5,1,1,2,20,3
8219,3,2,18001,2,18,1,1,5,9,5,1,1,1,23,3
8219,3,2,18001,2,18,1,1,5,9,5,1,1,2,43,2
8219,3,2,18001,2,18,1,1,5,9,5,1,1,1,44,1
8219,3,2,18001,2,18,1,1,5,9,5,1,1,1,26,3
15216,3,2,18001,2,18,1,1,4,9,3,1,1,2,52,2
15216,3,2,18001,2,18,1,1,4,9,3,1,1,1,53,1
18668,3,2,18001,2,18,1,1,4,9,4,1,1,1,24,1
25463,3,2,18753,1,18,1,1,3,9,3,1,1,1,29,3
25463,3,2,18753,1,18,1,1,3,9,3,1,1,1,24,3
25463,3,2,18753,1,18,1,1,3,9,3,1,1,1,61,1
32295,3,2,18753,2,18,1,2,3,9,5,1,1,1,36,1
39122,3,1,18753,2,18,1,1,3,9,3,2,3,1,42,1
40057,3,2,18001,3,18,2,3,4,9,5,1,2,2,19,3
40057,3,2,18001,3,18,2,3,4,9,5,1,2,2,2,5
40057,3,2,18001,3,18,2,3,4,9,5,1,2,1,45,1
40057,3,2,18001,3,18,2,3,4,9,5,1,2,2,42,2
