"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1736,3,2,18001,2,18,1,3,3,9,7,1,1,1,19,1
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,53,1
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,6,5
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,1,15,5
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,1,17,8
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,1,34,4
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,17,5
1742,3,1,18001,1,18,2,3,4,9,5,NA,NA,2,30,3
9124,3,2,18001,2,18,1,7,3,9,3,1,2,2,60,1
9124,3,2,18001,2,18,1,7,3,9,3,1,2,2,23,3
10744,3,2,18001,1,18,2,4,4,9,5,1,2,2,30,1
10744,3,2,18001,1,18,2,4,4,9,5,1,2,1,26,7
10744,3,2,18001,1,18,2,4,4,9,5,1,2,2,22,8
11299,3,2,18001,1,18,1,4,3,9,5,1,2,1,35,1
11299,3,2,18001,1,18,1,4,3,9,5,1,2,1,13,3
11299,3,2,18001,1,18,1,4,3,9,5,1,2,2,16,3
11299,3,2,18001,1,18,1,4,3,9,5,1,2,2,33,2
15507,3,2,18001,2,18,1,1,4,9,4,1,1,1,48,1
15507,3,2,18001,2,18,1,1,4,9,4,1,1,2,47,2
15507,3,2,18001,2,18,1,1,4,9,4,1,1,1,24,3
16127,3,2,18001,2,18,1,4,5,9,3,1,2,1,30,2
16127,3,2,18001,2,18,1,4,5,9,3,1,2,2,33,1
16127,3,2,18001,2,18,1,4,5,9,3,1,2,1,17,3
16127,3,2,18001,2,18,1,4,5,9,3,1,2,1,56,6
17251,3,2,18001,3,18,2,3,4,9,7,1,1,1,23,1
18668,3,2,18001,2,18,1,1,4,9,4,1,1,1,24,1
25463,3,2,18753,1,18,1,1,3,9,3,1,1,1,24,3
25463,3,2,18753,1,18,1,1,3,9,3,1,1,1,29,3
25463,3,2,18753,1,18,1,1,3,9,3,1,1,1,61,1
32295,3,2,18753,2,18,1,2,3,9,5,1,1,1,36,1
36038,3,2,18001,1,18,1,1,3,9,4,1,2,1,7,10
36038,3,2,18001,1,18,1,1,3,9,4,1,2,2,0,10
36038,3,2,18001,1,18,1,1,3,9,4,1,2,2,6,3
36038,3,2,18001,1,18,1,1,3,9,4,1,2,1,27,8
36038,3,2,18001,1,18,1,1,3,9,4,1,2,2,26,10
36038,3,2,18001,1,18,1,1,3,9,4,1,2,2,13,3
36038,3,2,18001,1,18,1,1,3,9,4,1,2,2,61,6
36038,3,2,18001,1,18,1,1,3,9,4,1,2,2,32,1
36038,3,2,18001,1,18,1,1,3,9,4,1,2,1,35,2
36038,3,2,18001,1,18,1,1,3,9,4,1,2,2,11,3
39069,3,1,18753,2,18,2,3,5,9,7,1,1,2,52,2
39069,3,1,18753,2,18,2,3,5,9,7,1,1,1,52,1
39069,3,1,18753,2,18,2,3,5,9,7,1,1,1,11,3
39069,3,1,18753,2,18,2,3,5,9,7,1,1,1,20,3
39122,3,1,18753,2,18,1,1,3,9,3,2,3,1,42,1
40057,3,1,18001,3,18,2,3,4,9,5,1,2,2,42,2
40057,3,1,18001,3,18,2,3,4,9,5,1,2,2,19,3
40057,3,1,18001,3,18,2,3,4,9,5,1,2,1,45,1
40057,3,1,18001,3,18,2,3,4,9,5,1,2,2,2,5
40436,3,2,18001,1,18,1,1,4,9,5,1,1,1,38,1
40615,3,2,18753,1,18,1,1,4,9,5,1,1,1,19,1
44649,3,2,18001,1,18,1,1,3,9,1,1,2,2,5,5
44649,3,2,18001,1,18,1,1,3,9,1,1,2,2,57,1
44649,3,2,18001,1,18,1,1,3,9,1,1,2,2,22,3
