"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
2425,3,2,85001,2,85,1,2,2,9,6,1,2,2,23,8
2425,3,2,85001,2,85,1,2,2,9,6,1,2,1,25,7
2425,3,2,85001,2,85,1,2,2,9,6,1,2,2,6,8
2425,3,2,85001,2,85,1,2,2,9,6,1,2,2,27,1
20812,3,1,85001,1,85,2,4,4,9,4,1,1,2,40,1
20812,3,1,85001,1,85,2,4,4,9,4,1,1,1,18,3
20812,3,1,85001,1,85,2,4,4,9,4,1,1,1,16,3
28370,3,2,85001,3,85,1,1,5,9,5,1,1,2,16,9
28370,3,2,85001,3,85,1,1,5,9,5,1,1,1,51,8
28370,3,2,85001,3,85,1,1,5,9,5,1,1,2,74,1
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,85,6
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,17,3
42659,3,2,85440,2,85,1,1,3,9,7,1,1,2,58,1
42659,3,2,85440,2,85,1,1,3,9,7,1,1,2,21,3
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,27,4
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,3,5
