"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
2425,3,1,85001,2,85,1,2,2,9,6,1,2,2,27,1
2425,3,1,85001,2,85,1,2,2,9,6,1,2,2,6,8
2425,3,1,85001,2,85,1,2,2,9,6,1,2,2,23,8
2425,3,1,85001,2,85,1,2,2,9,6,1,2,1,25,7
9364,3,2,85001,1,85,1,1,4,9,6,1,1,1,26,8
9364,3,2,85001,1,85,1,1,4,9,6,1,1,1,19,3
9364,3,2,85001,1,85,1,1,4,9,6,1,1,1,27,3
9364,3,2,85001,1,85,1,1,4,9,6,1,1,2,53,1
13144,3,2,85001,2,85,1,1,4,9,6,1,2,2,18,1
17995,3,2,85001,3,85,1,1,4,9,4,1,1,1,32,1
20812,3,1,85001,1,85,2,4,4,9,4,1,1,1,16,3
20812,3,1,85001,1,85,2,4,4,9,4,1,1,2,40,1
20812,3,1,85001,1,85,2,4,4,9,4,1,1,1,18,3
23845,3,2,85001,3,85,1,1,4,9,7,1,1,1,22,1
26142,3,2,85001,2,85,2,2,5,9,7,1,1,2,26,1
26142,3,2,85001,2,85,2,2,5,9,7,1,1,1,2,3
27876,3,2,85001,2,85,1,2,3,9,4,1,1,1,46,1
27893,3,2,85001,2,85,1,1,3,9,5,1,1,1,38,1
28254,3,2,85001,3,85,1,1,4,9,7,1,1,1,32,1
28370,3,2,85001,3,85,1,1,5,9,5,1,1,2,16,9
28370,3,2,85001,3,85,1,1,5,9,5,1,1,2,74,1
28370,3,2,85001,3,85,1,1,5,9,5,1,1,1,51,8
28714,3,2,85001,3,85,1,1,5,9,8,1,1,1,57,1
28714,3,2,85001,3,85,1,1,5,9,8,1,1,2,36,2
29051,3,2,85001,3,85,1,1,4,9,8,1,1,1,30,1
29051,3,2,85001,3,85,1,1,4,9,8,1,1,2,6,3
29051,3,2,85001,3,85,1,1,4,9,8,1,1,2,31,2
29051,3,2,85001,3,85,1,1,4,9,8,1,1,2,10,3
39935,3,2,85010,2,85,1,1,4,9,7,1,1,2,22,3
39935,3,2,85010,2,85,1,1,4,9,7,1,1,1,7,3
39935,3,2,85010,2,85,1,1,4,9,7,1,1,1,38,1
39935,3,2,85010,2,85,1,1,4,9,7,1,1,2,42,2
41801,3,2,85010,2,85,1,1,4,9,7,1,2,2,36,1
41801,3,2,85010,2,85,1,1,4,9,7,1,2,2,9,3
41801,3,2,85010,2,85,1,1,4,9,7,1,2,1,12,3
41801,3,2,85010,2,85,1,1,4,9,7,1,2,1,16,3
42617,3,2,85001,3,85,1,1,3,9,6,1,1,1,53,1
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,27,4
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,85,6
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,3,5
42659,3,2,85440,2,85,1,1,3,9,7,1,1,1,17,3
42659,3,2,85440,2,85,1,1,3,9,7,1,1,2,58,1
42659,3,2,85440,2,85,1,1,3,9,7,1,1,2,21,3
47258,3,2,85001,3,85,1,1,5,9,7,1,1,1,23,1
47258,3,2,85001,3,85,1,1,5,9,7,1,1,1,23,8
