"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
99,3,2,85001,2,85,1,1,4,9,5,1,2,2,30,1
99,3,2,85001,2,85,1,1,4,9,5,1,2,1,6,3
99,3,2,85001,2,85,1,1,4,9,5,1,2,2,39,8
99,3,2,85001,2,85,1,1,4,9,5,1,2,1,12,3
99,3,2,85001,2,85,1,1,4,9,5,1,2,1,1,3
144,3,2,85001,2,85,1,1,4,9,4,1,1,2,56,2
144,3,2,85001,2,85,1,1,4,9,4,1,1,1,62,1
181,3,2,85001,2,85,1,6,4,9,6,1,1,2,45,2
181,3,2,85001,2,85,1,6,4,9,6,1,1,1,13,3
181,3,2,85001,2,85,1,6,4,9,6,1,1,1,42,1
2404,3,2,85001,2,85,2,1,5,9,5,1,1,2,56,2
2404,3,2,85001,2,85,2,1,5,9,5,1,1,1,22,3
2404,3,2,85001,2,85,2,1,5,9,5,1,1,1,55,1
2425,3,1,85001,2,85,1,2,2,9,6,1,2,2,27,1
2425,3,1,85001,2,85,1,2,2,9,6,1,2,2,6,8
2425,3,1,85001,2,85,1,2,2,9,6,1,2,2,23,8
2425,3,1,85001,2,85,1,2,2,9,6,1,2,1,25,7
7286,3,1,85001,1,85,1,1,5,9,8,2,1,1,28,1
8572,3,2,85001,1,85,2,4,3,9,4,1,2,2,24,2
8572,3,2,85001,1,85,2,4,3,9,4,1,2,1,33,1
8572,3,2,85001,1,85,2,4,3,9,4,1,2,2,0,3
8903,3,1,85001,1,85,2,4,3,9,4,NA,NA,2,45,1
8903,3,1,85001,1,85,2,4,3,9,4,NA,NA,2,21,3
8903,3,1,85001,1,85,2,4,3,9,4,NA,NA,2,4,5
8903,3,1,85001,1,85,2,4,3,9,4,NA,NA,2,15,3
8903,3,1,85001,1,85,2,4,3,9,4,NA,NA,2,27,3
8903,3,1,85001,1,85,2,4,3,9,4,NA,NA,2,2,3
9364,3,2,85001,1,85,1,1,4,9,6,1,1,1,26,8
9364,3,2,85001,1,85,1,1,4,9,6,1,1,2,53,1
9364,3,2,85001,1,85,1,1,4,9,6,1,1,1,19,3
9364,3,2,85001,1,85,1,1,4,9,6,1,1,1,27,3
9662,3,2,85001,2,85,1,1,4,9,6,1,1,1,29,1
9662,3,2,85001,2,85,1,1,4,9,6,1,1,1,9,3
10120,3,2,85001,2,85,1,1,4,9,5,1,1,2,24,2
10120,3,2,85001,2,85,1,1,4,9,5,1,1,1,3,3
10120,3,2,85001,2,85,1,1,4,9,5,1,1,1,26,1
10825,3,2,85001,2,85,1,1,4,9,5,1,1,1,20,3
10825,3,2,85001,2,85,1,1,4,9,5,1,1,2,70,6
10825,3,2,85001,2,85,1,1,4,9,5,1,1,2,40,1
10979,3,2,85001,1,85,2,4,4,9,5,1,2,1,24,1
10979,3,2,85001,1,85,2,4,4,9,5,1,2,2,19,2
11133,3,2,85001,1,85,1,4,4,9,5,1,2,1,26,3
11133,3,2,85001,1,85,1,4,4,9,5,1,2,1,7,5
11133,3,2,85001,1,85,1,4,4,9,5,1,2,1,49,1
11133,3,2,85001,1,85,1,4,4,9,5,1,2,2,24,3
11199,3,2,85001,2,85,1,1,4,9,6,1,1,1,27,1
11199,3,2,85001,2,85,1,1,4,9,6,1,1,2,3,3
11213,3,2,85001,1,85,1,1,3,9,5,1,2,1,40,2
11213,3,2,85001,1,85,1,1,3,9,5,1,2,2,17,3
11213,3,2,85001,1,85,1,1,3,9,5,1,2,2,10,3
11213,3,2,85001,1,85,1,1,3,9,5,1,2,1,15,3
11213,3,2,85001,1,85,1,1,3,9,5,1,2,2,40,1
11915,3,2,85001,1,85,1,1,4,9,7,1,1,1,37,1
11915,3,2,85001,1,85,1,1,4,9,7,1,1,1,19,7
12181,3,2,85001,1,85,1,1,4,9,5,1,1,2,20,3
12181,3,2,85001,1,85,1,1,4,9,5,1,1,1,10,3
12181,3,2,85001,1,85,1,1,4,9,5,1,1,2,40,2
12181,3,2,85001,1,85,1,1,4,9,5,1,1,1,42,1
13144,3,2,85001,2,85,1,1,4,9,6,1,2,2,18,1
13289,3,2,85001,2,85,1,1,4,5,5,1,1,1,10,5
13289,3,2,85001,2,85,1,1,4,5,5,1,1,2,61,1
13289,3,2,85001,2,85,1,1,4,5,5,1,1,2,30,3
13289,3,2,85001,2,85,1,1,4,5,5,1,1,1,37,3
