"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
634,3,2,19001,6,19,1,1,4,9,7,1,1,1,63,1
634,3,2,19001,6,19,1,1,4,9,7,1,1,2,82,6
3786,3,2,19001,1,19,1,1,4,9,6,1,1,2,6,3
3786,3,2,19001,1,19,1,1,4,9,6,1,1,1,26,1
3786,3,2,19001,1,19,1,1,4,9,6,1,1,2,24,2
9682,3,2,19001,3,19,1,1,4,9,5,1,1,2,66,2
9682,3,2,19001,3,19,1,1,4,9,5,1,1,1,40,3
9682,3,2,19001,3,19,1,1,4,9,5,1,1,1,69,1
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,83,1
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,10,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,32,5
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,7,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,53,4
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,23,5
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,8,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,17,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,54,3
20638,3,2,19573,3,19,2,7,5,9,4,1,1,1,63,1
20777,3,2,19001,3,19,1,1,2,1,6,1,1,1,38,1
20777,3,2,19001,3,19,1,1,2,1,6,1,1,2,28,2
20777,3,2,19001,3,19,1,1,2,1,6,1,1,1,7,3
27716,3,2,19001,2,19,1,1,2,9,1,1,1,1,68,7
27716,3,2,19001,2,19,1,1,2,9,1,1,1,1,53,1
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,50,2
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,24,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,16,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,53,7
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,32,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,55,1
30494,3,2,19001,2,19,1,1,4,9,5,1,2,1,11,3
30494,3,2,19001,2,19,1,1,4,9,5,1,2,1,50,1
30494,3,2,19001,2,19,1,1,4,9,5,1,2,2,30,2
35703,3,2,19001,4,19,1,1,4,9,6,2,1,1,48,1
