"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
634,3,2,19001,6,19,1,1,4,9,7,1,1,2,82,6
634,3,2,19001,6,19,1,1,4,9,7,1,1,1,63,1
2119,3,2,19698,2,19,1,1,4,9,5,1,1,2,30,2
2119,3,2,19698,2,19,1,1,4,9,5,1,1,1,6,3
2119,3,2,19698,2,19,1,1,4,9,5,1,1,1,38,1
2119,3,2,19698,2,19,1,1,4,9,5,1,1,2,8,3
3709,3,2,19001,2,19,2,3,4,9,7,1,1,1,71,1
3709,3,2,19001,2,19,2,3,4,9,7,1,1,2,54,2
3709,3,2,19001,2,19,2,3,4,9,7,1,1,1,23,5
3786,3,2,19001,1,19,1,1,4,9,6,1,1,2,24,2
3786,3,2,19001,1,19,1,1,4,9,6,1,1,1,26,1
3786,3,2,19001,1,19,1,1,4,9,6,1,1,2,6,3
8894,3,2,19001,1,19,1,1,4,1,3,1,1,2,44,2
8894,3,2,19001,1,19,1,1,4,1,3,1,1,1,47,1
9446,3,1,19001,3,19,1,1,4,1,7,1,1,1,46,1
9446,3,1,19001,3,19,1,1,4,1,7,1,1,1,24,3
9446,3,1,19001,3,19,1,1,4,1,7,1,1,2,46,2
9682,3,2,19001,3,19,1,1,4,9,5,1,1,1,69,1
9682,3,2,19001,3,19,1,1,4,9,5,1,1,2,66,2
9682,3,2,19001,3,19,1,1,4,9,5,1,1,1,40,3
9959,3,2,19698,2,19,1,1,4,5,4,1,1,2,34,2
9959,3,2,19698,2,19,1,1,4,5,4,1,1,1,40,1
9959,3,2,19698,2,19,1,1,4,5,4,1,1,2,11,3
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,10,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,53,4
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,23,5
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,7,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,54,3
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,8,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,17,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,32,5
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,83,1
13861,3,2,19001,3,19,1,1,4,9,6,1,1,2,33,1
13861,3,2,19001,3,19,1,1,4,9,6,1,1,1,4,3
13861,3,2,19001,3,19,1,1,4,9,6,1,1,1,36,2
14740,3,1,19001,2,19,2,8,4,9,6,1,1,1,48,1
14740,3,1,19001,2,19,2,8,4,9,6,1,1,2,21,3
14740,3,1,19001,2,19,2,8,4,9,6,1,1,2,46,2
14740,3,1,19001,2,19,2,8,4,9,6,1,1,1,19,3
17060,3,2,19001,2,19,1,1,4,9,7,1,1,1,13,3
17060,3,2,19001,2,19,1,1,4,9,7,1,1,2,30,2
17060,3,2,19001,2,19,1,1,4,9,7,1,1,1,8,3
17060,3,2,19001,2,19,1,1,4,9,7,1,1,1,34,1
18128,3,2,19001,3,19,1,1,4,9,6,1,1,2,28,3
18128,3,2,19001,3,19,1,1,4,9,6,1,1,2,8,5
18128,3,2,19001,3,19,1,1,4,9,6,1,1,1,34,3
18128,3,2,19001,3,19,1,1,4,9,6,1,1,2,65,1
18151,3,1,19001,3,19,2,3,4,9,5,1,1,2,6,5
18151,3,1,19001,3,19,2,3,4,9,5,1,1,2,44,3
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,19,5
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,45,3
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,64,1
18151,3,1,19001,3,19,2,3,4,9,5,1,1,2,62,2
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,26,5
19181,3,2,19001,1,19,2,2,4,9,6,1,1,2,38,2
19181,3,2,19001,1,19,2,2,4,9,6,1,1,1,46,1
19181,3,2,19001,1,19,2,2,4,9,6,1,1,1,20,3
19928,3,2,19001,4,19,1,3,3,9,7,3,2,2,20,1
20638,3,2,19573,3,19,2,7,5,9,4,1,1,1,63,1
25635,3,2,19001,2,19,1,1,5,9,5,1,1,1,19,1
27716,3,2,19001,2,19,1,1,2,9,1,1,1,1,68,7
27716,3,2,19001,2,19,1,1,2,9,1,1,1,1,53,1
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,53,7
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,50,2
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,32,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,24,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,16,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,55,1
31853,3,2,19001,4,19,1,1,5,9,7,1,1,1,26,3
31853,3,2,19001,4,19,1,1,5,9,7,1,1,1,65,1
31853,3,2,19001,4,19,1,1,5,9,7,1,1,2,27,3
31853,3,2,19001,4,19,1,1,5,9,7,1,1,2,63,2
32028,3,1,19001,1,19,2,3,4,9,7,1,1,1,28,1
33853,2,1,19001,3,19,2,3,4,9,7,1,1,1,19,1
35718,3,2,19001,4,19,1,1,5,9,6,1,1,1,41,1
35718,3,2,19001,4,19,1,1,5,9,6,1,1,2,37,2
35718,3,2,19001,4,19,1,1,5,9,6,1,1,1,0,3
40705,3,1,19001,2,19,2,3,4,9,5,1,1,1,23,1
40705,3,1,19001,2,19,2,3,4,9,5,1,1,2,55,6
