"DIRECTORIO","O_01","O_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
20638,3,2,19573,3,19,2,7,5,9,4,1,1,1,63,1
20777,3,2,19001,3,19,1,1,2,1,6,1,1,1,7,3
20777,3,2,19001,3,19,1,1,2,1,6,1,1,2,28,2
20777,3,2,19001,3,19,1,1,2,1,6,1,1,1,38,1
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,50,2
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,32,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,53,7
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,55,1
27872,3,2,19001,3,19,1,1,4,9,5,1,1,1,24,3
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,16,3
