"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
634,3,2,19001,6,19,1,1,4,9,7,1,1,2,82,6
634,3,2,19001,6,19,1,1,4,9,7,1,1,1,63,1
1023,3,2,19001,2,19,1,1,4,9,5,1,2,2,1,3
1023,3,2,19001,2,19,1,1,4,9,5,1,2,2,5,3
1023,3,2,19001,2,19,1,1,4,9,5,1,2,2,87,6
1023,3,2,19001,2,19,1,1,4,9,5,1,2,2,13,3
1023,3,2,19001,2,19,1,1,4,9,5,1,2,2,32,1
1023,3,2,19001,2,19,1,1,4,9,5,1,2,1,9,3
1189,3,2,19001,5,19,1,1,5,9,7,1,1,1,38,3
1189,3,2,19001,5,19,1,1,5,9,7,1,1,1,71,1
1189,3,2,19001,5,19,1,1,5,9,7,1,1,2,68,2
1189,3,2,19001,5,19,1,1,5,9,7,1,1,2,48,10
2119,3,2,19698,2,19,1,1,4,9,5,1,1,1,38,1
2119,3,2,19698,2,19,1,1,4,9,5,1,1,2,8,3
2119,3,2,19698,2,19,1,1,4,9,5,1,1,2,30,2
2119,3,2,19698,2,19,1,1,4,9,5,1,1,1,6,3
2697,3,2,19698,2,19,2,4,5,9,6,1,2,2,67,1
2697,3,2,19698,2,19,2,4,5,9,6,1,2,2,2,5
2697,3,2,19698,2,19,2,4,5,9,6,1,2,2,19,5
2697,3,2,19698,2,19,2,4,5,9,6,1,2,2,42,3
2697,3,2,19698,2,19,2,4,5,9,6,1,2,1,1,8
3738,3,1,19001,1,19,1,1,4,9,6,2,2,2,11,3
3738,3,1,19001,1,19,1,1,4,9,6,2,2,2,25,2
3738,3,1,19001,1,19,1,1,4,9,6,2,2,2,26,1
3786,3,2,19001,1,19,1,1,4,9,6,1,1,2,6,3
3786,3,2,19001,1,19,1,1,4,9,6,1,1,1,26,1
3786,3,2,19001,1,19,1,1,4,9,6,1,1,2,24,2
4273,3,2,19001,4,19,1,1,5,9,3,1,1,2,4,3
4273,3,2,19001,4,19,1,1,5,9,3,1,1,2,22,2
4273,3,2,19001,4,19,1,1,5,9,3,1,1,2,2,3
4273,3,2,19001,4,19,1,1,5,9,3,1,1,1,46,1
4465,3,1,19001,2,19,1,1,3,9,5,1,1,2,1,8
4465,3,1,19001,2,19,1,1,3,9,5,1,1,1,18,1
4465,3,1,19001,2,19,1,1,3,9,5,1,1,2,22,7
4716,3,2,19001,1,19,1,1,3,9,3,1,2,2,60,1
8200,3,1,19001,1,19,1,1,4,9,3,1,1,1,22,1
8200,3,1,19001,1,19,1,1,4,9,3,1,1,1,4,3
8200,3,1,19001,1,19,1,1,4,9,3,1,1,2,19,2
8391,3,1,19698,3,19,2,7,3,9,7,1,1,1,41,2
8391,3,1,19698,3,19,2,7,3,9,7,1,1,1,20,3
8391,3,1,19698,3,19,2,7,3,9,7,1,1,2,42,1
8391,3,1,19698,3,19,2,7,3,9,7,1,1,1,24,3
8391,3,1,19698,3,19,2,7,3,9,7,1,1,2,15,3
8894,3,2,19001,1,19,1,1,4,1,3,1,1,2,44,2
8894,3,2,19001,1,19,1,1,4,1,3,1,1,1,47,1
8981,3,2,19001,1,19,2,1,3,9,3,1,1,1,42,3
8981,3,2,19001,1,19,2,1,3,9,3,1,1,2,63,2
8981,3,2,19001,1,19,2,1,3,9,3,1,1,1,36,3
8981,3,2,19001,1,19,2,1,3,9,3,1,1,1,73,1
9323,3,2,19001,1,19,1,2,3,9,3,1,1,1,39,3
9323,3,2,19001,1,19,1,2,3,9,3,1,1,2,66,2
9323,3,2,19001,1,19,1,2,3,9,3,1,1,1,81,1
9446,3,1,19001,3,19,1,1,4,1,7,1,1,1,24,3
9446,3,1,19001,3,19,1,1,4,1,7,1,1,2,46,2
9446,3,1,19001,3,19,1,1,4,1,7,1,1,1,46,1
9682,3,2,19001,3,19,1,1,4,9,5,1,1,1,40,3
9682,3,2,19001,3,19,1,1,4,9,5,1,1,2,66,2
9682,3,2,19001,3,19,1,1,4,9,5,1,1,1,69,1
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,7,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,10,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,54,3
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,83,1
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,53,4
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,8,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,32,5
10344,3,2,19001,3,19,1,1,4,9,6,1,1,1,17,8
10344,3,2,19001,3,19,1,1,4,9,6,1,1,2,23,5
11484,3,2,19001,2,19,1,4,5,1,6,1,2,2,20,2
11484,3,2,19001,2,19,1,4,5,1,6,1,2,1,35,1
11484,3,2,19001,2,19,1,4,5,1,6,1,2,1,4,3
13437,3,2,19001,1,19,1,1,4,1,3,1,1,2,63,2
13437,3,2,19001,1,19,1,1,4,1,3,1,1,1,64,1
13437,3,2,19001,1,19,1,1,4,1,3,1,1,2,22,3
13861,3,2,19001,3,19,1,1,4,9,6,1,1,2,33,1
13861,3,2,19001,3,19,1,1,4,9,6,1,1,1,4,3
13861,3,2,19001,3,19,1,1,4,9,6,1,1,1,36,2
14527,3,1,19001,2,19,2,3,3,1,5,1,1,1,21,3
14527,3,1,19001,2,19,2,3,3,1,5,1,1,2,18,3
14527,3,1,19001,2,19,2,3,3,1,5,1,1,2,37,1
14527,3,1,19001,2,19,2,3,3,1,5,1,1,1,3,8
14527,3,1,19001,2,19,2,3,3,1,5,1,1,2,35,7
14740,3,1,19001,2,19,2,8,4,9,6,1,1,1,19,3
14740,3,1,19001,2,19,2,8,4,9,6,1,1,2,21,3
14740,3,1,19001,2,19,2,8,4,9,6,1,1,2,46,2
14740,3,1,19001,2,19,2,8,4,9,6,1,1,1,48,1
14766,3,2,19001,3,19,1,1,4,9,7,1,1,1,64,7
14766,3,2,19001,3,19,1,1,4,9,7,1,1,1,66,1
14766,3,2,19001,3,19,1,1,4,9,7,1,1,2,94,6
14789,3,2,19001,3,19,2,3,4,9,4,NA,NA,1,15,3
14789,3,2,19001,3,19,2,3,4,9,4,NA,NA,1,45,1
14789,3,2,19001,3,19,2,3,4,9,4,NA,NA,2,45,2
15622,3,2,19001,4,19,1,1,4,9,7,1,1,1,34,1
16057,3,1,19698,2,19,2,3,4,9,7,3,2,2,24,3
16057,3,1,19698,2,19,2,3,4,9,7,3,2,1,22,3
16057,3,1,19698,2,19,2,3,4,9,7,3,2,1,47,2
16057,3,1,19698,2,19,2,3,4,9,7,3,2,1,53,1
16682,3,2,19001,4,19,1,1,4,9,7,1,2,2,26,2
16682,3,2,19001,4,19,1,1,4,9,7,1,2,1,30,1
16814,3,2,19001,3,19,2,4,4,9,4,1,2,1,33,1
16814,3,2,19001,3,19,2,4,4,9,4,1,2,2,11,3
16814,3,2,19001,3,19,2,4,4,9,4,1,2,1,9,3
16814,3,2,19001,3,19,2,4,4,9,4,1,2,2,32,2
17060,3,2,19001,2,19,1,1,4,9,7,1,1,2,30,2
17060,3,2,19001,2,19,1,1,4,9,7,1,1,1,13,3
17060,3,2,19001,2,19,1,1,4,9,7,1,1,1,8,3
17060,3,2,19001,2,19,1,1,4,9,7,1,1,1,34,1
17097,3,2,19001,2,19,2,3,4,9,6,1,2,1,47,1
17097,3,2,19001,2,19,2,3,4,9,6,1,2,2,45,2
18100,3,1,19001,3,19,1,1,5,9,5,1,1,1,29,1
18100,3,1,19001,3,19,1,1,5,9,5,1,1,2,12,3
18100,3,1,19001,3,19,1,1,5,9,5,1,1,2,7,3
18100,3,1,19001,3,19,1,1,5,9,5,1,1,2,29,2
18128,3,1,19001,3,19,1,1,4,9,6,1,1,2,8,5
18128,3,1,19001,3,19,1,1,4,9,6,1,1,2,65,1
18128,3,1,19001,3,19,1,1,4,9,6,1,1,2,28,3
18128,3,1,19001,3,19,1,1,4,9,6,1,1,1,34,3
18151,3,1,19001,3,19,2,3,4,9,5,1,1,2,62,2
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,45,3
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,26,5
18151,3,1,19001,3,19,2,3,4,9,5,1,1,2,44,3
18151,3,1,19001,3,19,2,3,4,9,5,1,1,2,6,5
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,19,5
18151,3,1,19001,3,19,2,3,4,9,5,1,1,1,64,1
18152,3,2,19001,2,19,1,3,5,9,7,1,1,1,26,7
18152,3,2,19001,2,19,1,3,5,9,7,1,1,1,15,3
18152,3,2,19001,2,19,1,3,5,9,7,1,1,1,25,3
18152,3,2,19001,2,19,1,3,5,9,7,1,1,2,43,1
18153,3,2,19001,2,19,1,1,2,5,5,1,1,1,61,2
18153,3,2,19001,2,19,1,1,2,5,5,1,1,1,33,3
18153,3,2,19001,2,19,1,1,2,5,5,1,1,2,64,1
18156,3,2,19001,2,19,1,1,5,5,5,1,1,1,8,3
18156,3,2,19001,2,19,1,1,5,5,5,1,1,1,38,1
18156,3,2,19001,2,19,1,1,5,5,5,1,1,2,27,2
18169,3,2,19001,4,19,1,2,4,9,7,1,1,1,28,3
18169,3,2,19001,4,19,1,2,4,9,7,1,1,1,66,1
18169,3,2,19001,4,19,1,2,4,9,7,1,1,1,26,3
18169,3,2,19001,4,19,1,2,4,9,7,1,1,2,53,2
18169,3,2,19001,4,19,1,2,4,9,7,1,1,2,15,3
18309,3,1,19001,5,19,2,3,5,9,7,1,2,2,75,1
18309,3,1,19001,5,19,2,3,5,9,7,1,2,2,21,5
19181,3,2,19001,1,19,2,2,4,9,6,1,1,1,20,3
19181,3,2,19001,1,19,2,2,4,9,6,1,1,1,46,1
19181,3,2,19001,1,19,2,2,4,9,6,1,1,2,38,2
19651,3,2,19001,2,19,2,3,5,9,7,1,1,2,65,1
19651,3,2,19001,2,19,2,3,5,9,7,1,1,1,20,8
20439,3,2,19001,4,19,1,3,5,9,7,1,1,1,23,1
20439,3,2,19001,4,19,1,3,5,9,7,1,1,2,20,2
20486,3,2,19001,3,19,1,1,4,9,7,1,2,2,45,1
20486,3,2,19001,3,19,1,1,4,9,7,1,2,2,72,8
20486,3,2,19001,3,19,1,1,4,9,7,1,2,1,21,3
20486,3,2,19001,3,19,1,1,4,9,7,1,2,1,83,8
20499,1,1,19001,3,19,2,3,2,5,7,1,1,1,22,1
20560,3,2,19001,3,19,2,3,4,5,5,1,1,2,50,1
20560,3,2,19001,3,19,2,3,4,5,5,1,1,1,23,3
20560,3,2,19001,3,19,2,3,4,5,5,1,1,1,73,2
20638,3,2,19573,3,19,2,7,5,9,4,1,1,1,63,1
20822,3,2,19001,2,19,1,1,3,5,1,1,1,2,33,2
20822,3,2,19001,2,19,1,1,3,5,1,1,1,1,53,1
20822,3,2,19001,2,19,1,1,3,5,1,1,1,1,9,3
20822,3,2,19001,2,19,1,1,3,5,1,1,1,1,84,6
21178,3,1,19001,3,19,1,1,4,9,8,1,1,1,74,1
21178,3,1,19001,3,19,1,1,4,9,8,1,1,2,76,2
21178,3,1,19001,3,19,1,1,4,9,8,1,1,1,42,3
21629,3,2,19001,2,19,2,1,4,9,7,1,1,1,29,3
21629,3,2,19001,2,19,2,1,4,9,7,1,1,1,24,3
21629,3,2,19001,2,19,2,1,4,9,7,1,1,2,50,2
21629,3,2,19001,2,19,2,1,4,9,7,1,1,1,60,1
22357,3,2,19001,5,19,2,3,3,9,7,1,2,1,68,1
22357,3,2,19001,5,19,2,3,3,9,7,1,2,2,22,3
22357,3,2,19001,5,19,2,3,3,9,7,1,2,1,23,3
22357,3,2,19001,5,19,2,3,3,9,7,1,2,2,51,2
24353,3,2,19001,4,19,2,4,3,9,7,1,2,2,9,3
24353,3,2,19001,4,19,2,4,3,9,7,1,2,2,46,1
24353,3,2,19001,4,19,2,4,3,9,7,1,2,1,10,3
25595,3,1,19001,2,19,1,2,3,1,4,1,1,1,52,7
25595,3,1,19001,2,19,1,2,3,1,4,1,1,1,57,1
26759,3,2,19001,2,19,1,1,4,1,7,1,1,2,26,3
26759,3,2,19001,2,19,1,1,4,1,7,1,1,1,23,3
26759,3,2,19001,2,19,1,1,4,1,7,1,1,2,55,1
26759,3,2,19001,2,19,1,1,4,1,7,1,1,1,35,3
27716,3,2,19001,2,19,1,1,2,9,1,1,1,1,53,1
27716,3,2,19001,2,19,1,1,2,9,1,1,1,1,68,7
27872,3,2,19001,3,19,1,1,4,9,5,1,1,2,50,2
