"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
3587,3,1,20001,2,20,2,4,4,9,4,1,1,2,45,2
3587,3,1,20001,2,20,2,4,4,9,4,1,1,2,10,3
3587,3,1,20001,2,20,2,4,4,9,4,1,1,1,47,1
4590,3,2,20001,3,20,1,1,4,5,6,3,2,2,33,10
4590,3,2,20001,3,20,1,1,4,5,6,3,2,2,24,1
4590,3,2,20001,3,20,1,1,4,5,6,3,2,2,28,10
18511,3,2,20001,3,20,1,1,4,9,7,1,1,2,35,2
18511,3,2,20001,3,20,1,1,4,9,7,1,1,1,40,1
18511,3,2,20001,3,20,1,1,4,9,7,1,1,1,18,3
18511,3,2,20001,3,20,1,1,4,9,7,1,1,2,16,3
18511,3,2,20001,3,20,1,1,4,9,7,1,1,1,13,3
18511,3,2,20001,3,20,1,1,4,9,7,1,1,1,61,8
23953,3,2,20013,1,20,1,1,4,9,6,1,1,1,30,1
40524,3,2,20001,3,20,1,1,4,9,8,1,1,1,58,1
48130,3,2,20001,2,20,1,1,4,9,5,1,2,1,25,1
48130,3,2,20001,2,20,1,1,4,9,5,1,2,2,21,2
48130,3,2,20001,2,20,1,1,4,9,5,1,2,1,4,3
48188,3,1,20001,1,20,1,1,3,5,5,1,1,2,46,2
48188,3,1,20001,1,20,1,1,3,5,5,1,1,2,3,5
48188,3,1,20001,1,20,1,1,3,5,5,1,1,1,23,3
48188,3,1,20001,1,20,1,1,3,5,5,1,1,2,21,3
48188,3,1,20001,1,20,1,1,3,5,5,1,1,1,52,1
