"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1859,3,1,20001,2,20,2,7,5,9,5,1,1,2,42,1
1859,3,1,20001,2,20,2,7,5,9,5,1,1,1,18,3
1859,3,1,20001,2,20,2,7,5,9,5,1,1,1,25,3
1859,3,1,20001,2,20,2,7,5,9,5,1,1,1,39,7
1859,3,1,20001,2,20,2,7,5,9,5,1,1,2,23,3
2189,3,1,20001,2,20,1,1,4,9,7,1,1,1,21,8
2189,3,1,20001,2,20,1,1,4,9,7,1,1,2,50,1
2189,3,1,20001,2,20,1,1,4,9,7,1,1,1,25,3
3115,3,2,20001,3,20,1,1,4,9,6,1,2,2,23,1
3115,3,2,20001,3,20,1,1,4,9,6,1,2,1,24,2
3587,3,1,20001,2,20,2,4,4,9,4,1,1,2,45,2
3587,3,1,20001,2,20,2,4,4,9,4,1,1,1,47,1
3587,3,1,20001,2,20,2,4,4,9,4,1,1,2,10,3
4532,2,1,20011,2,20,1,1,5,5,6,1,2,1,15,3
4532,2,1,20011,2,20,1,1,5,5,6,1,2,2,45,2
4532,2,1,20011,2,20,1,1,5,5,6,1,2,1,59,1
4532,2,1,20011,2,20,1,1,5,5,6,1,2,2,25,3
4590,3,2,20001,3,20,1,1,4,5,6,3,2,2,28,10
4590,3,2,20001,3,20,1,1,4,5,6,3,2,2,33,10
4590,3,2,20001,3,20,1,1,4,5,6,3,2,2,24,1
7232,3,1,20001,2,20,1,1,4,9,4,1,1,1,7,3
7232,3,1,20001,2,20,1,1,4,9,4,1,1,1,10,3
7232,3,1,20001,2,20,1,1,4,9,4,1,1,2,31,2
7232,3,1,20001,2,20,1,1,4,9,4,1,1,1,28,1
7232,3,1,20001,2,20,1,1,4,9,4,1,1,2,5,3
10151,3,2,20011,1,20,1,1,4,9,6,1,1,1,0,3
10151,3,2,20011,1,20,1,1,4,9,6,1,1,2,3,3
10151,3,2,20011,1,20,1,1,4,9,6,1,1,2,21,2
10151,3,2,20011,1,20,1,1,4,9,6,1,1,1,25,1
11232,3,2,20011,1,20,1,1,4,9,5,1,1,2,18,3
11232,3,2,20011,1,20,1,1,4,9,5,1,1,2,9,3
11232,3,2,20011,1,20,1,1,4,9,5,1,1,1,17,4
11232,3,2,20011,1,20,1,1,4,9,5,1,1,2,43,2
11232,3,2,20011,1,20,1,1,4,9,5,1,1,1,32,1
13405,3,2,20001,1,20,1,1,4,9,3,1,1,1,56,1
16352,3,2,20011,1,20,1,2,3,9,4,1,1,1,17,5
16352,3,2,20011,1,20,1,2,3,9,4,1,1,2,14,5
16352,3,2,20011,1,20,1,2,3,9,4,1,1,2,25,4
16352,3,2,20011,1,20,1,2,3,9,4,1,1,1,7,5
16352,3,2,20011,1,20,1,2,3,9,4,1,1,1,15,5
16352,3,2,20011,1,20,1,2,3,9,4,1,1,1,71,1
16352,3,2,20011,1,20,1,2,3,9,4,1,1,1,13,5
16352,3,2,20011,1,20,1,2,3,9,4,1,1,1,33,3
16352,3,2,20011,1,20,1,2,3,9,4,1,1,2,5,5
16352,3,2,20011,1,20,1,2,3,9,4,1,1,2,30,3
16821,3,2,20001,3,20,1,1,2,9,7,1,1,1,31,1
18131,3,2,20001,2,20,1,5,3,9,4,1,1,2,62,2
18131,3,2,20001,2,20,1,5,3,9,4,1,1,1,65,1
18131,3,2,20001,2,20,1,5,3,9,4,1,1,2,32,3
18243,3,2,20001,2,20,2,2,4,9,5,1,1,1,60,1
18243,3,2,20001,2,20,2,2,4,9,5,1,1,2,18,3
18708,3,2,20001,1,20,1,1,4,9,7,1,1,2,24,4
18708,3,2,20001,1,20,1,1,4,9,7,1,1,2,52,1
18708,3,2,20001,1,20,1,1,4,9,7,1,1,1,29,3
18708,3,2,20001,1,20,1,1,4,9,7,1,1,1,1,5
23953,3,2,20013,1,20,1,1,4,9,6,1,1,1,30,1
25152,3,2,20013,1,20,1,1,4,9,5,1,1,1,40,1
25284,3,2,20013,1,20,1,1,5,5,4,1,2,2,11,3
25284,3,2,20013,1,20,1,1,5,5,4,1,2,1,7,3
25284,3,2,20013,1,20,1,1,5,5,4,1,2,2,33,1
25284,3,2,20013,1,20,1,1,5,5,4,1,2,1,9,3
26294,3,2,20013,1,20,2,1,5,9,7,1,1,1,78,1
26294,3,2,20013,1,20,2,1,5,9,7,1,1,2,66,2
26294,3,2,20013,1,20,2,1,5,9,7,1,1,1,25,5
26942,3,2,20013,2,20,1,1,4,9,7,1,1,1,31,1
26942,3,2,20013,2,20,1,1,4,9,7,1,1,2,28,2
29449,3,2,20001,2,20,2,3,4,9,7,1,1,1,22,3
29449,3,2,20001,2,20,2,3,4,9,7,1,1,2,71,6
29449,3,2,20001,2,20,2,3,4,9,7,1,1,1,52,1
29449,3,2,20001,2,20,2,3,4,9,7,1,1,2,18,3
29449,3,2,20001,2,20,2,3,4,9,7,1,1,1,21,3
33829,3,2,20001,1,20,1,4,2,9,3,1,2,1,23,5
33829,3,2,20001,1,20,1,4,2,9,3,1,2,2,12,5
33829,3,2,20001,1,20,1,4,2,9,3,1,2,1,40,3
33829,3,2,20001,1,20,1,4,2,9,3,1,2,2,65,1
39010,3,2,20001,3,20,1,1,4,9,7,1,1,2,46,2
39010,3,2,20001,3,20,1,1,4,9,7,1,1,1,24,3
39010,3,2,20001,3,20,1,1,4,9,7,1,1,1,54,1
40524,3,2,20001,3,20,1,1,4,9,8,1,1,1,58,1
43090,3,2,20001,2,20,1,1,5,9,8,1,1,1,36,1
44801,3,2,20001,1,20,1,1,5,9,7,3,1,1,30,1
46486,3,2,20001,1,20,1,1,3,9,4,3,2,2,24,1
48188,3,2,20001,1,20,1,1,3,5,5,1,1,1,23,3
48188,3,2,20001,1,20,1,1,3,5,5,1,1,2,3,5
48188,3,2,20001,1,20,1,1,3,5,5,1,1,2,46,2
48188,3,2,20001,1,20,1,1,3,5,5,1,1,2,21,3
48188,3,2,20001,1,20,1,1,3,5,5,1,1,1,52,1
48197,3,2,20001,1,20,1,1,4,9,5,1,2,2,1,3
48197,3,2,20001,1,20,1,1,4,9,5,1,2,2,19,1
