"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
4013,1,1,27001,1,27,2,7,4,5,3,NA,NA,2,39,1
4013,1,1,27001,1,27,2,7,4,5,3,NA,NA,1,17,3
8189,3,2,27001,2,27,1,1,3,5,4,1,1,1,61,1
20630,1,1,27001,1,27,1,1,4,5,5,1,1,2,29,2
20630,1,1,27001,1,27,1,1,4,5,5,1,1,1,8,3
20630,1,1,27001,1,27,1,1,4,5,5,1,1,1,29,1
20630,1,1,27001,1,27,1,1,4,5,5,1,1,1,5,3
20630,1,1,27001,1,27,1,1,4,5,5,1,1,1,10,3
31585,1,1,27001,1,27,1,2,4,5,4,1,1,2,66,1
31585,1,1,27001,1,27,1,2,4,5,4,1,1,1,31,3
31585,1,1,27001,1,27,1,2,4,5,4,1,1,1,25,7
31723,3,1,27001,1,27,2,4,4,5,4,1,2,1,6,5
31723,3,1,27001,1,27,2,4,4,5,4,1,2,2,23,3
31723,3,1,27001,1,27,2,4,4,5,4,1,2,2,57,1
31723,3,1,27001,1,27,2,4,4,5,4,1,2,1,27,4
