"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
559,2,1,27001,1,27,2,4,3,5,5,1,2,2,50,2
559,2,1,27001,1,27,2,4,3,5,5,1,2,1,57,1
839,3,2,27001,2,27,1,5,2,5,3,1,1,1,59,1
4013,3,2,27001,1,27,2,7,4,5,3,NA,NA,2,39,1
4013,3,2,27001,1,27,2,7,4,5,3,NA,NA,1,17,3
5951,3,1,27001,1,27,1,1,4,5,4,3,2,1,34,1
5951,3,1,27001,1,27,1,1,4,5,4,3,2,2,27,2
6414,3,1,27001,3,27,1,1,4,9,5,1,1,1,30,1
6414,3,1,27001,3,27,1,1,4,9,5,1,1,1,33,10
8189,3,2,27001,2,27,1,1,3,5,4,1,1,1,61,1
14438,3,1,27001,1,27,1,1,3,5,4,1,1,1,32,1
16749,3,2,27001,2,27,2,3,4,5,5,1,2,1,63,1
16749,3,2,27001,2,27,2,3,4,5,5,1,2,2,15,3
16749,3,2,27001,2,27,2,3,4,5,5,1,2,1,55,8
16749,3,2,27001,2,27,2,3,4,5,5,1,2,2,52,2
16749,3,2,27001,2,27,2,3,4,5,5,1,2,1,23,3
22926,3,1,27001,1,27,1,4,4,5,5,1,2,1,27,2
22926,3,1,27001,1,27,1,4,4,5,5,1,2,2,24,1
22926,3,1,27001,1,27,1,4,4,5,5,1,2,1,1,3
26962,3,2,27001,2,27,1,1,4,5,7,1,2,2,29,10
26962,3,2,27001,2,27,1,1,4,5,7,1,2,2,41,1
26962,3,2,27001,2,27,1,1,4,5,7,1,2,2,11,10
27683,3,2,27001,1,27,1,1,4,5,7,1,1,1,36,1
31585,3,2,27001,1,27,1,2,4,5,4,1,1,1,31,3
31585,3,2,27001,1,27,1,2,4,5,4,1,1,1,25,7
31585,3,2,27001,1,27,1,2,4,5,4,1,1,2,66,1
31723,3,1,27001,1,27,2,4,4,5,4,1,2,1,6,5
31723,3,1,27001,1,27,2,4,4,5,4,1,2,2,57,1
31723,3,1,27001,1,27,2,4,4,5,4,1,2,2,23,3
31723,3,1,27001,1,27,2,4,4,5,4,1,2,1,27,4
33434,3,2,27001,1,27,2,4,4,5,5,1,2,1,85,2
33434,3,2,27001,1,27,2,4,4,5,5,1,2,2,56,1
33434,3,2,27001,1,27,2,4,4,5,5,1,2,1,6,5
33434,3,2,27001,1,27,2,4,4,5,5,1,2,1,18,3
33434,3,2,27001,1,27,2,4,4,5,5,1,2,2,23,3
33434,3,2,27001,1,27,2,4,4,5,5,1,2,1,1,5
33434,3,2,27001,1,27,2,4,4,5,5,1,2,1,8,5
33695,3,2,27001,2,27,1,1,4,5,6,1,1,1,49,1
38515,3,1,27001,1,27,1,1,3,5,3,1,1,1,28,1
