"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
8,23001,2,1,3,4,1,1,1,NA,0,23,1,1,12,4,10,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,8,802,1,2,1,1,1,2,6,3,1,1,NA,NA,3,1,3,NA
8,23001,2,1,3,4,1,1,1,NA,0,23,1,1,12,4,10,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,8,802,1,2,1,1,1,2,33,1,2,2,1,1,1,1,1,1
8,23001,2,1,3,4,1,1,1,NA,0,23,1,1,12,4,10,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,8,802,1,2,1,1,1,2,4,3,1,1,NA,NA,4,1,4,NA
8,23001,2,1,3,4,1,1,1,NA,0,23,1,1,12,4,10,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,8,802,1,2,1,1,1,1,35,2,2,2,NA,NA,2,1,2,NA
11,23001,2,1,3,1,1,1,1,NA,0,23,1,1,12,1,40,1,1,3,2,2,4,4,2,2,4,2,2,5,4,3,5,5,5,5,1,2,2,NA,2,NA,1,1,1,9,6,0,7,704,1,2,1,1,1,2,27,1,2,2,1,1,1,1,1,1
13,23001,1,1,2,6,1,1,1,NA,0,23,2,8,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,6,1,6,9,6,0,4,407,1,1,6,1,6,1,75,6,2,2,NA,NA,5,1,5,NA
13,23001,1,1,2,6,1,1,1,NA,0,23,2,8,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,6,1,6,9,6,0,4,407,1,1,6,1,6,2,60,6,2,2,NA,NA,4,1,4,NA
13,23001,1,1,2,6,1,1,1,NA,0,23,2,8,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,6,1,6,9,6,0,4,407,1,1,6,1,6,1,28,7,1,1,1,1,6,1,6,1
13,23001,1,1,2,6,1,1,1,NA,0,23,2,8,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,6,1,6,9,6,0,4,407,1,1,6,1,6,1,31,1,1,1,NA,NA,1,1,1,NA
13,23001,1,1,2,6,1,1,1,NA,0,23,2,8,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,6,1,6,9,6,0,4,407,1,1,6,1,6,1,0,3,2,1,NA,NA,3,1,3,NA
