"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
13344,3,1,23001,NA,23,2,6,2,5,3,1,1,1,32,1
29452,3,2,23466,3,23,1,1,3,9,8,1,1,1,60,1
33076,3,1,23001,1,23,1,1,4,5,3,1,1,2,16,2
33076,3,1,23001,1,23,1,1,4,5,3,1,1,1,23,1
40154,3,2,23807,1,23,1,1,5,9,1,1,1,1,63,1
40154,3,2,23807,1,23,1,1,5,9,1,1,1,2,59,2
40154,3,2,23807,1,23,1,1,5,9,1,1,1,2,19,3
40154,3,2,23807,1,23,1,1,5,9,1,1,1,1,64,7
40154,3,2,23807,1,23,1,1,5,9,1,1,1,1,28,3
45134,3,2,23807,1,23,1,1,4,1,5,1,1,2,40,2
45134,3,2,23807,1,23,1,1,4,1,5,1,1,1,12,3
45134,3,2,23807,1,23,1,1,4,1,5,1,1,2,4,3
45134,3,2,23807,1,23,1,1,4,1,5,1,1,1,39,1
