"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,38,3
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,21,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,19,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,45,3
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,1,8
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,18,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,22,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,68,1
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,14,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,40,3
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,19,5
2121,3,2,23555,1,23,1,1,4,9,5,1,1,1,7,5
2121,3,2,23555,1,23,1,1,4,9,5,1,1,2,9,5
2121,3,2,23555,1,23,1,1,4,9,5,1,1,1,21,3
2121,3,2,23555,1,23,1,1,4,9,5,1,1,2,16,3
2121,3,2,23555,1,23,1,1,4,9,5,1,1,2,56,2
2121,3,2,23555,1,23,1,1,4,9,5,1,1,1,8,5
2121,3,2,23555,1,23,1,1,4,9,5,1,1,2,8,5
2121,3,2,23555,1,23,1,1,4,9,5,1,1,2,24,3
2121,3,2,23555,1,23,1,1,4,9,5,1,1,2,17,4
2121,3,2,23555,1,23,1,1,4,9,5,1,1,2,28,3
2121,3,2,23555,1,23,1,1,4,9,5,1,1,1,82,1
13250,3,1,23001,1,23,1,2,2,9,3,1,2,1,27,2
13250,3,1,23001,1,23,1,2,2,9,3,1,2,1,18,3
13250,3,1,23001,1,23,1,2,2,9,3,1,2,2,38,1
13324,3,2,23162,2,23,1,1,4,5,5,1,1,1,57,1
13324,3,2,23162,2,23,1,1,4,5,5,1,1,2,50,2
13324,3,2,23162,2,23,1,1,4,5,5,1,1,2,20,3
13324,3,2,23162,2,23,1,1,4,5,5,1,1,1,16,3
13344,3,2,23001,NA,23,2,6,2,5,3,1,1,1,32,1
29452,3,2,23466,3,23,1,1,3,9,8,1,1,1,60,1
40154,3,2,23807,1,23,1,1,5,9,1,1,1,1,63,1
40154,3,2,23807,1,23,1,1,5,9,1,1,1,2,59,2
40154,3,2,23807,1,23,1,1,5,9,1,1,1,1,28,3
40154,3,2,23807,1,23,1,1,5,9,1,1,1,2,19,3
40154,3,2,23807,1,23,1,1,5,9,1,1,1,1,64,7
40922,3,2,23807,1,23,1,1,4,9,3,1,1,1,16,3
40922,3,2,23807,1,23,1,1,4,9,3,1,1,2,54,1
40922,3,2,23807,1,23,1,1,4,9,3,1,1,1,63,2
44798,3,1,23001,1,23,1,1,4,5,4,1,1,1,34,1
44798,3,1,23001,1,23,1,1,4,5,4,1,1,1,32,7
