"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
9043,2,1,23001,1,23,1,3,5,9,7,1,1,2,86,8
9043,2,1,23001,1,23,1,3,5,9,7,1,1,1,18,8
9043,2,1,23001,1,23,1,3,5,9,7,1,1,1,19,8
9043,2,1,23001,1,23,1,3,5,9,7,1,1,1,45,1
9043,2,1,23001,1,23,1,3,5,9,7,1,1,2,70,6
9043,2,1,23001,1,23,1,3,5,9,7,1,1,1,19,3
13344,3,2,23001,NA,23,2,6,2,5,3,1,1,1,32,1
25876,3,2,23466,2,23,1,1,4,5,5,1,1,1,20,3
25876,3,2,23466,2,23,1,1,4,5,5,1,1,2,67,2
25876,3,2,23466,2,23,1,1,4,5,5,1,1,1,71,1
