"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,14,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,1,8
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,21,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,45,3
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,40,3
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,19,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,18,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,1,22,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,19,5
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,68,1
38,3,2,23001,2,23,1,1,4,5,4,1,1,2,38,3
1537,3,2,23162,2,23,1,1,3,9,4,1,1,2,1,3
1537,3,2,23162,2,23,1,1,3,9,4,1,1,2,15,2
1537,3,2,23162,2,23,1,1,3,9,4,1,1,1,62,8
1537,3,2,23162,2,23,1,1,3,9,4,1,1,1,30,1
1765,3,2,23001,2,23,1,1,4,9,7,1,2,1,6,5
1765,3,2,23001,2,23,1,1,4,9,7,1,2,2,39,3
1765,3,2,23001,2,23,1,1,4,9,7,1,2,2,23,3
1765,3,2,23001,2,23,1,1,4,9,7,1,2,2,65,1
2070,3,2,23555,1,23,1,4,3,9,5,1,2,2,9,5
2070,3,2,23555,1,23,1,4,3,9,5,1,2,2,40,3
2070,3,2,23555,1,23,1,4,3,9,5,1,2,2,56,2
2070,3,2,23555,1,23,1,4,3,9,5,1,2,1,21,3
2070,3,2,23555,1,23,1,4,3,9,5,1,2,1,66,1
2070,3,2,23555,1,23,1,4,3,9,5,1,2,2,9,5
2070,3,2,23555,1,23,1,4,3,9,5,1,2,1,7,5
2098,2,1,23555,2,23,1,1,3,9,4,1,1,1,19,4
2098,2,1,23555,2,23,1,1,3,9,4,1,1,2,21,4
2098,2,1,23555,2,23,1,1,3,9,4,1,1,2,53,1
2098,2,1,23555,2,23,1,1,3,9,4,1,1,1,0,5
2098,2,1,23555,2,23,1,1,3,9,4,1,1,1,19,3
2098,2,1,23555,2,23,1,1,3,9,4,1,1,2,15,3
2098,2,1,23555,2,23,1,1,3,9,4,1,1,2,2,5
2121,3,1,23555,1,23,1,1,4,9,5,1,1,2,28,3
2121,3,1,23555,1,23,1,1,4,9,5,1,1,1,8,5
2121,3,1,23555,1,23,1,1,4,9,5,1,1,2,9,5
2121,3,1,23555,1,23,1,1,4,9,5,1,1,1,21,3
2121,3,1,23555,1,23,1,1,4,9,5,1,1,2,56,2
2121,3,1,23555,1,23,1,1,4,9,5,1,1,2,17,4
2121,3,1,23555,1,23,1,1,4,9,5,1,1,2,16,3
2121,3,1,23555,1,23,1,1,4,9,5,1,1,1,82,1
2121,3,1,23555,1,23,1,1,4,9,5,1,1,1,7,5
2121,3,1,23555,1,23,1,1,4,9,5,1,1,2,8,5
2121,3,1,23555,1,23,1,1,4,9,5,1,1,2,24,3
3241,3,2,23001,3,23,1,1,4,9,6,1,1,1,26,1
9002,3,2,23001,1,23,1,1,4,9,5,1,1,1,74,1
9002,3,2,23001,1,23,1,1,4,9,5,1,1,1,44,3
9332,3,2,23001,1,23,1,1,5,9,5,1,1,2,20,3
9332,3,2,23001,1,23,1,1,5,9,5,1,1,2,9,3
9332,3,2,23001,1,23,1,1,5,9,5,1,1,1,44,1
9332,3,2,23001,1,23,1,1,5,9,5,1,1,2,40,2
9332,3,2,23001,1,23,1,1,5,9,5,1,1,1,23,3
11940,3,2,23466,3,23,1,1,4,9,4,1,1,2,21,3
11940,3,2,23466,3,23,1,1,4,9,4,1,1,1,51,1
11940,3,2,23466,3,23,1,1,4,9,4,1,1,1,23,3
12177,2,1,23162,4,23,2,3,3,9,6,1,2,2,48,1
12177,2,1,23162,4,23,2,3,3,9,6,1,2,2,19,3
12177,2,1,23162,4,23,2,3,3,9,6,1,2,2,20,3
12399,3,2,23466,1,23,1,1,3,9,3,1,1,1,60,1
12471,3,1,23466,3,23,1,1,4,5,7,2,1,1,29,1
12574,3,2,23466,1,23,1,1,4,9,4,1,1,1,42,1
12574,3,2,23466,1,23,1,1,4,9,4,1,1,2,36,7
13324,3,2,23162,2,23,1,1,4,5,5,1,1,1,16,3
13324,3,2,23162,2,23,1,1,4,5,5,1,1,2,50,2
13324,3,2,23162,2,23,1,1,4,5,5,1,1,1,57,1
13324,3,2,23162,2,23,1,1,4,5,5,1,1,2,20,3
13344,3,1,23001,NA,23,2,6,2,5,3,1,1,1,32,1
17413,3,2,23660,1,23,1,1,5,1,5,1,1,2,46,7
17413,3,2,23660,1,23,1,1,5,1,5,1,1,2,17,8
17413,3,2,23660,1,23,1,1,5,1,5,1,1,1,18,8
17413,3,2,23660,1,23,1,1,5,1,5,1,1,2,81,6
17413,3,2,23660,1,23,1,1,5,1,5,1,1,1,61,1
17581,1,1,23555,1,23,2,4,3,9,4,NA,NA,1,14,3
17581,1,1,23555,1,23,2,4,3,9,4,NA,NA,1,61,1
17889,3,1,23555,2,23,1,4,4,9,5,1,2,2,19,3
17889,3,1,23555,2,23,1,4,4,9,5,1,2,2,42,1
17889,3,1,23555,2,23,1,4,4,9,5,1,2,1,17,3
19456,3,2,23001,1,23,1,1,4,5,6,1,1,1,28,1
19456,3,2,23001,1,23,1,1,4,5,6,1,1,2,1,3
19456,3,2,23001,1,23,1,1,4,5,6,1,1,2,25,2
19481,3,1,23001,1,23,2,7,4,9,3,NA,NA,1,16,5
19481,3,1,23001,1,23,2,7,4,9,3,NA,NA,2,64,1
19481,3,1,23001,1,23,2,7,4,9,3,NA,NA,2,13,5
22890,3,2,23466,1,23,1,1,4,9,3,1,2,2,54,1
23565,3,2,23417,1,23,1,3,4,5,6,1,1,2,27,2
23565,3,2,23417,1,23,1,3,4,5,6,1,1,1,26,1
27556,3,2,23001,2,23,2,2,3,5,5,1,1,2,70,1
27556,3,2,23001,2,23,2,2,3,5,5,1,1,1,21,5
29452,3,2,23466,3,23,1,1,3,9,8,1,1,1,60,1
31690,3,1,23001,1,23,1,1,4,9,5,1,1,1,64,1
31690,3,1,23001,1,23,1,1,4,9,5,1,1,2,52,2
31690,3,1,23001,1,23,1,1,4,9,5,1,1,1,23,3
31690,3,1,23001,1,23,1,1,4,9,5,1,1,1,18,3
33076,3,1,23001,1,23,1,1,4,5,3,1,1,2,16,2
33076,3,1,23001,1,23,1,1,4,5,3,1,1,1,23,1
35162,3,1,23001,2,23,2,3,4,9,5,1,1,1,18,5
35162,3,1,23001,2,23,2,3,4,9,5,1,1,2,46,3
35162,3,1,23001,2,23,2,3,4,9,5,1,1,2,67,1
35162,3,1,23001,2,23,2,3,4,9,5,1,1,2,44,3
35162,3,1,23001,2,23,2,3,4,9,5,1,1,2,20,5
