"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"88001",2,1,3,7,6439
"88001",1,2,NA,1,6448
"88001",2,1,3,2,6472
"88001",2,1,3,3,6474
"88001",1,1,2,2,6483
"88001",1,1,3,3,6484
"88001",2,1,2,2,6491
"88001",2,1,2,3,6500
"88001",1,1,3,2,6504
"88001",1,1,3,5,7179
"88001",1,1,1,4,7244
"88001",2,1,2,3,7258
"88001",1,1,2,3,7266
"88001",1,1,3,8,7281
"88001",1,1,2,3,7298
"88001",1,1,3,3,7311
"88001",1,1,2,5,7319
"88001",1,1,3,4,7326
"88001",2,1,1,2,7327
"88001",1,1,3,3,7331
"88001",2,1,2,3,7333
"88001",2,1,2,6,7335
"88001",1,1,3,3,7338
"88001",1,1,1,3,7339
"88001",1,1,2,4,7340
"88001",2,1,3,5,7342
"88001",2,1,2,2,7343
"88001",1,1,3,3,7344
"88001",2,1,2,2,7906
"88001",2,1,2,2,7934
"88001",3,1,2,3,7945
"88001",2,1,2,3,7975
"88001",3,1,1,3,8021
"88001",2,1,9,5,8098
"88001",2,1,3,4,8134
"88001",1,1,2,5,8181
"88001",1,1,3,4,8193
"88001",2,1,2,4,8205
"88001",1,1,2,4,8253
"88001",1,1,2,3,8319
"88001",2,1,1,3,8767
"88001",3,1,1,3,8797
"88001",2,1,1,3,8845
"88001",1,1,3,5,8875
"88001",2,1,1,7,8915
"88001",1,1,2,10,8921
"88001",3,1,1,4,8957
"88001",1,1,1,4,8987
"88001",1,1,2,5,9001
"88001",1,1,3,6,9011
"88001",2,1,2,5,9054
"88001",2,1,1,3,9061
"88001",1,1,3,4,9123
"88001",2,1,2,3,9143
"88001",1,1,3,6,9254
"88001",1,1,2,4,9347
"88001",2,1,2,3,9418
"88001",1,1,3,4,9491
"88001",1,1,3,3,9896
"88001",1,1,3,3,9939
"88001",1,1,3,3,9993
"88001",2,1,1,3,10022
"88001",3,1,1,4,11291
"88001",1,1,1,1,12260
"88001",1,1,3,1,12285
"88001",1,1,1,1,12300
"88001",2,1,1,2,12301
"88001",1,1,1,3,12336
"88001",1,1,2,2,12339
"88001",1,1,1,2,12341
"88001",2,1,1,2,12972
"88001",2,1,2,2,13187
"88001",2,1,3,1,13207
"88001",2,1,1,3,13276
"88001",3,1,1,5,13343
"88001",1,1,2,3,13349
"88001",1,1,2,1,13431
"88001",1,1,3,2,13480
"88001",1,1,5,2,13534
"88001",1,1,3,3,13560
"88001",2,1,4,4,13563
"88001",2,1,3,2,13578
"88001",2,1,1,4,13666
"88001",2,1,2,4,13692
"88001",1,1,2,4,13718
"88001",1,1,2,3,13798
"88001",3,1,2,3,13854
"88001",1,1,1,2,13946
"88001",1,1,4,3,14023
"88001",3,1,2,5,14186
"88001",1,1,1,1,14393
"88001",1,1,2,2,14405
"88001",1,1,1,3,14424
"88001",1,1,1,1,14428
"88001",2,1,3,3,14464
"88001",2,1,2,3,14526
"88001",3,1,2,1,14546
"88001",1,1,1,4,14557
"88001",1,1,1,1,14594
"88001",3,1,2,4,14598
"88001",1,1,5,1,14666
"88001",2,1,2,1,14686
"88001",1,1,3,2,14714
"88001",2,1,3,2,14744
"88001",1,1,1,1,14776
"88001",3,1,3,1,14791
"88001",1,1,1,2,14804
"88001",2,1,2,2,14820
"88001",1,1,3,2,14827
"88001",2,1,3,4,15403
"88001",1,1,3,4,15425
"88001",1,1,2,4,15445
"88001",1,1,1,3,15464
"88001",1,1,2,2,15479
"88001",1,1,3,4,15508
"88001",2,1,3,2,15533
"88001",1,1,1,3,15559
"88001",1,1,3,1,15579
"88001",2,1,2,3,15619
"88001",1,1,3,2,15627
"88001",2,1,2,7,15655
"88001",3,1,3,3,15664
"88001",1,1,3,4,15672
"88001",1,1,1,1,15691
"88001",2,1,2,4,15861
"88001",1,1,1,5,15863
"88001",1,1,1,6,15867
"88001",1,1,1,4,15869
"88001",1,1,1,4,15873
"88001",1,1,2,2,15874
"88001",1,1,1,6,15875
"88001",2,1,1,4,15878
"88001",1,1,3,2,15879
"88001",1,1,1,4,15880
"88001",1,1,1,4,15883
"88001",1,1,2,2,16711
"88001",1,1,2,6,16752
"88001",2,1,1,4,16767
"88001",2,1,1,2,16787
"88001",1,1,3,5,16813
"88001",1,1,1,4,16864
"88001",3,1,2,4,16872
"88001",1,1,1,4,16878
"88001",2,1,1,2,16904
"88001",1,1,3,4,16907
"88001",1,1,3,4,16908
"88001",2,1,3,4,16938
"88001",1,1,3,3,16965
"88001",2,1,3,3,16977
"88001",3,1,3,1,16978
"88001",2,1,3,1,16991
"88001",1,1,1,4,16994
"88001",1,1,3,5,16999
"88001",1,1,3,3,17005
"88001",1,1,2,4,17006
"88001",1,1,3,3,17658
"88001",1,1,1,3,17689
"88001",2,1,2,4,17717
"88001",1,1,2,4,17722
"88001",1,1,2,5,17765
"88001",1,1,3,6,17814
"88001",1,1,3,8,17826
"88001",1,1,4,6,17832
"88001",1,1,3,4,17846
"88001",1,1,2,3,17971
"88001",2,1,3,3,17998
"88001",2,1,1,3,18029
"88001",1,1,2,3,18069
"88001",2,1,2,3,18097
"88001",3,1,3,2,18110
"88001",2,1,2,3,18117
"88001",3,1,3,4,18133
"88001",1,1,1,2,18147
"88001",2,1,2,1,18200
"88001",1,1,3,1,18210
"88001",2,1,2,1,18231
"88001",1,1,3,2,18278
"88001",1,1,1,3,18338
"88001",1,1,1,4,18359
"88001",2,1,1,3,18481
"88001",3,1,1,3,18576
"88001",1,1,3,1,18858
"88001",3,1,2,1,18899
"88001",1,1,3,4,18946
"88001",1,1,1,2,18957
"88001",1,1,1,6,19006
"88001",1,1,2,3,19008
"88001",1,1,2,3,19037
"88001",1,1,1,3,19054
"88001",1,1,2,2,19082
"88001",2,1,3,2,19105
"88001",2,1,2,3,19130
"88001",1,1,3,4,19162
"88001",2,1,1,2,19165
"88001",2,1,2,2,19192
"88001",3,1,3,2,19195
"88001",2,1,3,2,19205
"88001",2,1,3,2,19209
"88001",2,1,2,1,19213
"88001",1,1,2,2,19216
"88001",2,1,2,2,19218
"88001",1,1,3,5,19221
"88001",1,1,1,3,20070
"88001",2,1,3,1,20139
"88001",1,1,3,2,20176
"88001",3,1,1,1,20178
"88001",1,1,2,3,20222
"88001",1,1,1,1,20246
"88001",1,1,2,3,20283
"88001",1,1,1,3,20296
"88001",2,1,2,2,20329
"88001",1,1,1,2,20375
"88001",2,1,2,1,20388
"88001",1,1,1,1,20411
"88001",1,1,2,2,20418
"88001",2,1,2,1,20432
"88001",1,1,1,2,20447
"88001",1,1,2,3,20450
"88001",2,1,1,3,20461
