"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
34,27001,2,1,1,5,1,1,1,NA,0,27,1,1,12,4,60,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,5,1,0,6,601,1,2,3,1,3,2,29,10,2,2,1,1,3,1,3,1
34,27001,2,1,1,5,1,1,1,NA,0,27,1,1,12,4,60,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,5,1,0,6,601,1,2,3,1,3,2,24,10,2,2,NA,NA,5,1,5,NA
34,27001,2,1,1,5,1,1,1,NA,0,27,1,1,12,4,60,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,5,1,0,6,601,1,2,3,1,3,2,26,10,2,2,NA,NA,4,1,4,NA
34,27001,2,1,1,5,1,1,1,NA,0,27,1,1,12,4,60,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,5,1,0,6,601,1,2,3,1,3,2,29,2,2,2,NA,NA,2,1,2,NA
34,27001,2,1,1,5,1,1,1,NA,0,27,1,1,12,4,60,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,5,1,0,6,601,1,2,3,1,3,1,19,1,2,2,NA,NA,1,1,1,NA
35,27001,1,1,1,5,1,1,1,NA,0,27,2,1,12,4,40,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,5,1,0,3,305,1,1,3,1,3,2,50,2,3,3,NA,NA,2,1,2,NA
35,27001,1,1,1,5,1,1,1,NA,0,27,2,1,12,4,40,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,5,1,0,3,305,1,1,3,1,3,1,22,3,1,1,1,1,3,1,3,1
35,27001,1,1,1,5,1,1,1,NA,0,27,2,1,12,4,40,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,5,1,0,3,305,1,1,3,1,3,2,21,3,1,1,NA,NA,4,1,4,NA
35,27001,1,1,1,5,1,1,1,NA,0,27,2,1,12,4,40,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,5,1,0,3,305,1,1,3,1,3,2,18,3,1,1,NA,NA,5,1,5,NA
35,27001,1,1,1,5,1,1,1,NA,0,27,2,1,12,4,40,1,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,NA,2,NA,3,1,3,5,1,0,3,305,1,1,3,1,3,1,69,1,3,3,NA,NA,1,1,1,NA
39,27001,1,1,1,5,1,1,1,NA,0,27,1,1,12,4,48,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,5,5,2,3,305,3,2,1,1,1,2,30,3,2,1,NA,NA,3,1,3,NA
39,27001,1,1,1,5,1,1,1,NA,0,27,1,1,12,4,48,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,5,5,2,3,305,3,2,1,1,1,1,12,8,2,2,NA,NA,4,1,4,NA
39,27001,1,1,1,5,1,1,1,NA,0,27,1,1,12,4,48,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,5,5,2,3,305,3,2,1,1,1,2,48,1,3,3,1,1,1,1,1,1
39,27001,1,1,1,5,1,1,1,NA,0,27,1,1,12,4,48,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,5,5,2,3,305,3,2,1,1,1,2,32,3,2,1,NA,NA,2,1,2,NA
39,27001,1,1,1,5,1,1,1,NA,0,27,1,1,12,4,48,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,5,5,2,3,305,3,2,1,1,1,1,16,8,2,2,NA,NA,5,1,5,NA
77,27001,1,1,1,2,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,4,1,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,NA,1,1,1,1,2,1,2,9,1,9,3,304,1,2,2,1,2,1,67,1,3,3,NA,NA,1,1,1,NA
77,27001,1,1,1,2,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,4,1,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,NA,1,1,1,1,2,1,2,9,1,9,3,304,1,2,2,1,2,2,64,2,3,3,1,1,2,1,2,1
95,27001,1,1,1,2,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,4,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,1,2,1,1,1,5,5,2,5,511,1,2,1,1,1,1,31,3,3,1,NA,NA,2,1,2,NA
95,27001,1,1,1,2,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,4,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,2,2,NA,1,2,1,1,1,5,5,2,5,511,1,2,1,1,1,2,57,1,3,3,1,1,1,1,1,1
116,27001,1,1,1,5,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,5,2,2,5,511,1,2,2,1,2,1,4,3,1,1,NA,NA,3,1,3,NA
116,27001,1,1,1,5,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,5,2,2,5,511,1,2,2,1,2,1,16,8,2,2,NA,NA,5,1,5,NA
116,27001,1,1,1,5,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,5,2,2,5,511,1,2,2,1,2,2,21,2,2,2,1,1,2,1,2,1
116,27001,1,1,1,5,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,5,2,2,5,511,1,2,2,1,2,1,23,1,2,2,NA,NA,1,1,1,NA
116,27001,1,1,1,5,1,1,1,NA,0,27,2,4,NA,NA,NA,1,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,5,2,2,5,511,1,2,2,1,2,1,0,3,1,1,NA,NA,4,1,4,NA
126,27001,1,1,1,2,1,1,1,NA,0,27,1,1,11,1,72,1,1,4,1,1,4,4,5,5,4,3,4,4,5,5,4,4,4,5,1,1,1,9,1,9,2,1,2,5,2,0,5,511,1,2,2,1,2,1,37,1,3,2,NA,NA,1,1,1,NA
126,27001,1,1,1,2,1,1,1,NA,0,27,1,1,11,1,72,1,1,4,1,1,4,4,5,5,4,3,4,4,5,5,4,4,4,5,1,1,1,9,1,9,2,1,2,5,2,0,5,511,1,2,2,1,2,2,36,2,2,3,1,1,2,1,2,1
142,27001,1,1,1,3,1,1,1,NA,0,27,1,1,11,2,40,1,1,3,2,2,4,4,4,2,4,4,3,4,4,4,4,4,4,4,1,1,2,NA,2,NA,1,1,1,5,6,2,7,705,1,2,1,1,1,2,51,1,3,1,1,1,1,1,1,1
142,27001,1,1,1,3,1,1,1,NA,0,27,1,1,11,2,40,1,1,3,2,2,4,4,4,2,4,4,3,4,4,4,4,4,4,4,1,1,2,NA,2,NA,1,1,1,5,6,2,7,705,1,2,1,1,1,2,73,6,3,3,NA,NA,3,1,3,NA
142,27001,1,1,1,3,1,1,1,NA,0,27,1,1,11,2,40,1,1,3,2,2,4,4,4,2,4,4,3,4,4,4,4,4,4,4,1,1,2,NA,2,NA,1,1,1,5,6,2,7,705,1,2,1,1,1,1,26,3,2,1,NA,NA,2,1,2,NA
151,27001,1,1,1,1,1,1,1,NA,0,27,1,1,5,4,56,1,3,4,1,2,4,4,4,2,3,3,3,4,4,4,4,4,4,4,1,2,1,2,1,2,1,1,1,5,6,7,3,305,1,1,1,1,1,1,53,1,3,3,1,1,1,1,1,1
165,27001,1,1,1,3,1,1,1,NA,0,27,2,3,NA,NA,NA,1,3,3,2,2,4,4,2,2,3,3,2,4,2,4,4,3,3,4,1,2,1,2,1,1,3,1,3,5,6,0,5,510,NA,NA,3,1,3,1,35,3,3,1,NA,NA,2,1,2,NA
165,27001,1,1,1,3,1,1,1,NA,0,27,2,3,NA,NA,NA,1,3,3,2,2,4,4,2,2,3,3,2,4,2,4,4,3,3,4,1,2,1,2,1,1,3,1,3,5,6,0,5,510,NA,NA,3,1,3,2,57,1,3,3,NA,NA,1,1,1,NA
