"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
5959,3,2,25754,2,25,2,4,5,1,3,1,2,2,15,3
5959,3,2,25754,2,25,2,4,5,1,3,1,2,1,50,1
5959,3,2,25754,2,25,2,4,5,1,3,1,2,2,56,2
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,45,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,39,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,2,68,1
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,35,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,27,3
21299,3,2,25754,2,25,1,1,4,9,6,1,1,1,45,1
21299,3,2,25754,2,25,1,1,4,9,6,1,1,2,66,6
21299,3,2,25754,2,25,1,1,4,9,6,1,1,2,47,2
21299,3,2,25754,2,25,1,1,4,9,6,1,1,1,11,3
21767,2,1,25754,1,25,2,7,4,9,5,1,2,1,14,3
21767,2,1,25754,1,25,2,7,4,9,5,1,2,2,21,3
21767,2,1,25754,1,25,2,7,4,9,5,1,2,2,2,5
21767,2,1,25754,1,25,2,7,4,9,5,1,2,2,42,1
29188,3,2,25754,1,25,2,4,4,9,4,1,2,2,16,3
29188,3,2,25754,1,25,2,4,4,9,4,1,2,2,17,3
29188,3,2,25754,1,25,2,4,4,9,4,1,2,1,37,1
29188,3,2,25754,1,25,2,4,4,9,4,1,2,2,36,2
29188,3,2,25754,1,25,2,4,4,9,4,1,2,2,2,3
36510,3,2,25269,3,25,1,1,3,9,3,1,2,1,3,3
36510,3,2,25269,3,25,1,1,3,9,3,1,2,2,25,1
39074,3,2,25307,2,25,1,1,4,9,5,1,1,1,21,1
53576,3,2,25430,1,25,1,1,4,9,4,1,1,1,52,1
54111,3,2,25754,3,25,2,3,5,9,7,1,1,1,23,3
54111,3,2,25754,3,25,2,3,5,9,7,1,1,1,20,3
54111,3,2,25754,3,25,2,3,5,9,7,1,1,2,51,2
54111,3,2,25754,3,25,2,3,5,9,7,1,1,1,56,1
54180,2,1,25754,1,25,2,7,4,9,4,1,1,1,18,5
54180,2,1,25754,1,25,2,7,4,9,4,1,1,2,50,1
