"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
5764,3,2,25754,2,25,2,8,4,9,5,1,1,2,73,1
5764,3,2,25754,2,25,2,8,4,9,5,1,1,1,41,3
5764,3,2,25754,2,25,2,8,4,9,5,1,1,2,18,3
5764,3,2,25754,2,25,2,8,4,9,5,1,1,1,49,3
5764,3,2,25754,2,25,2,8,4,9,5,1,1,1,42,3
7089,3,2,25754,2,25,1,1,5,9,5,1,1,2,5,3
7089,3,2,25754,2,25,1,1,5,9,5,1,1,2,31,2
7089,3,2,25754,2,25,1,1,5,9,5,1,1,1,28,1
13106,3,2,25286,3,25,1,1,4,9,6,1,1,2,44,2
13106,3,2,25286,3,25,1,1,4,9,6,1,1,1,44,1
13106,3,2,25286,3,25,1,1,4,9,6,1,1,1,17,3
13106,3,2,25286,3,25,1,1,4,9,6,1,1,2,10,3
14181,3,2,25286,2,25,1,1,4,9,6,1,1,2,67,2
14181,3,2,25286,2,25,1,1,4,9,6,1,1,1,70,1
14181,3,2,25286,2,25,1,1,4,9,6,1,1,1,32,3
14591,3,2,25286,2,25,1,1,4,9,7,1,1,1,25,5
14591,3,2,25286,2,25,1,1,4,9,7,1,1,2,69,2
14591,3,2,25286,2,25,1,1,4,9,7,1,1,1,71,1
16629,3,2,25473,2,25,1,1,4,9,7,1,1,2,64,2
16629,3,2,25473,2,25,1,1,4,9,7,1,1,1,62,1
16629,3,2,25473,2,25,1,1,4,9,7,1,1,1,36,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,2,68,1
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,35,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,39,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,27,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,45,3
17176,2,1,25754,2,25,1,1,5,9,4,1,1,1,57,1
17176,2,1,25754,2,25,1,1,5,9,4,1,1,1,6,3
17176,2,1,25754,2,25,1,1,5,9,4,1,1,1,22,3
17176,2,1,25754,2,25,1,1,5,9,4,1,1,2,47,2
17649,3,2,25473,3,25,1,1,2,9,4,1,1,2,15,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,1,29,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,2,26,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,1,27,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,1,37,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,1,34,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,1,36,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,1,26,7
17649,3,2,25473,3,25,1,1,2,9,4,1,1,2,39,1
18880,3,1,25175,3,25,1,1,3,9,8,1,1,1,40,1
18928,3,1,25473,3,25,1,1,4,9,6,1,2,1,21,3
18928,3,1,25473,3,25,1,1,4,9,6,1,2,1,65,7
18928,3,1,25473,3,25,1,1,4,9,6,1,2,1,58,1
18928,3,1,25473,3,25,1,1,4,9,6,1,2,2,51,2
18928,3,1,25473,3,25,1,1,4,9,6,1,2,2,25,3
18983,3,1,25473,3,25,1,1,3,9,5,1,1,2,71,6
18983,3,1,25473,3,25,1,1,3,9,5,1,1,1,16,3
18983,3,1,25473,3,25,1,1,3,9,5,1,1,1,52,1
18983,3,1,25473,3,25,1,1,3,9,5,1,1,2,49,2
18983,3,1,25473,3,25,1,1,3,9,5,1,1,2,23,3
19066,3,1,25286,2,25,2,1,4,9,4,NA,NA,1,17,3
19066,3,1,25286,2,25,2,1,4,9,4,NA,NA,2,35,2
19066,3,1,25286,2,25,2,1,4,9,4,NA,NA,2,15,3
19066,3,1,25286,2,25,2,1,4,9,4,NA,NA,2,11,3
19066,3,1,25286,2,25,2,1,4,9,4,NA,NA,1,37,1
21299,3,2,25754,2,25,1,1,4,9,6,1,1,1,45,1
21299,3,2,25754,2,25,1,1,4,9,6,1,1,2,66,6
21299,3,2,25754,2,25,1,1,4,9,6,1,1,2,47,2
21299,3,2,25754,2,25,1,1,4,9,6,1,1,1,11,3
22028,3,2,25754,2,25,1,4,4,9,6,1,2,1,22,1
22028,3,2,25754,2,25,1,4,4,9,6,1,2,2,22,2
22028,3,2,25754,2,25,1,4,4,9,6,1,2,2,1,3
39074,3,2,25307,2,25,1,1,4,9,5,1,1,1,21,1
43152,3,2,25754,2,25,1,1,3,9,5,1,1,1,13,3
43152,3,2,25754,2,25,1,1,3,9,5,1,1,1,38,1
43152,3,2,25754,2,25,1,1,3,9,5,1,1,2,35,2
45058,3,2,25290,3,25,2,2,4,9,6,3,1,1,24,1
45146,3,2,25754,2,25,1,1,4,9,5,1,2,2,3,3
45146,3,2,25754,2,25,1,1,4,9,5,1,2,2,29,1
53576,3,2,25430,1,25,1,1,4,9,4,1,1,1,52,1
54111,3,2,25754,3,25,2,3,5,9,7,1,1,1,56,1
54111,3,2,25754,3,25,2,3,5,9,7,1,1,1,23,3
54111,3,2,25754,3,25,2,3,5,9,7,1,1,2,51,2
54111,3,2,25754,3,25,2,3,5,9,7,1,1,1,20,3
55042,3,2,25754,3,25,2,4,4,9,6,1,2,1,42,7
55042,3,2,25754,3,25,2,4,4,9,6,1,2,2,49,1
55042,3,2,25754,3,25,2,4,4,9,6,1,2,2,4,3
55042,3,2,25754,3,25,2,4,4,9,6,1,2,2,76,6
55692,3,2,25754,3,25,1,8,4,9,5,1,1,2,30,2
55692,3,2,25754,3,25,1,8,4,9,5,1,1,1,50,1
56823,3,2,25754,3,25,1,1,5,9,5,1,1,1,9,5
56823,3,2,25754,3,25,1,1,5,9,5,1,1,1,24,3
56823,3,2,25754,3,25,1,1,5,9,5,1,1,2,44,1
56823,3,2,25754,3,25,1,1,5,9,5,1,1,1,1,5
56823,3,2,25754,3,25,1,1,5,9,5,1,1,2,3,5
56823,3,2,25754,3,25,1,1,5,9,5,1,1,2,21,4
56823,3,2,25754,3,25,1,1,5,9,5,1,1,2,25,3
