"DIRECTORIO","N_01","N_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
7089,3,2,25754,2,25,1,1,5,9,5,1,1,2,5,3
7089,3,2,25754,2,25,1,1,5,9,5,1,1,2,31,2
7089,3,2,25754,2,25,1,1,5,9,5,1,1,1,28,1
13000,2,1,25286,3,25,1,1,4,9,6,1,1,1,24,5
13000,2,1,25286,3,25,1,1,4,9,6,1,1,2,68,1
16629,3,2,25473,2,25,1,1,4,9,7,1,1,1,36,3
16629,3,2,25473,2,25,1,1,4,9,7,1,1,1,62,1
16629,3,2,25473,2,25,1,1,4,9,7,1,1,2,64,2
17176,3,2,25754,2,25,1,1,5,9,4,1,1,1,6,3
17176,3,2,25754,2,25,1,1,5,9,4,1,1,1,57,1
17176,3,2,25754,2,25,1,1,5,9,4,1,1,2,47,2
17176,3,2,25754,2,25,1,1,5,9,4,1,1,1,22,3
17483,3,2,25754,1,25,1,1,4,5,5,1,1,2,34,2
17483,3,2,25754,1,25,1,1,4,5,5,1,1,1,35,1
45058,3,2,25290,3,25,2,2,4,9,6,3,1,1,24,1
