"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
5764,3,2,25754,2,25,2,8,4,9,5,1,1,2,73,1
5764,3,2,25754,2,25,2,8,4,9,5,1,1,2,18,3
5764,3,2,25754,2,25,2,8,4,9,5,1,1,1,49,3
5764,3,2,25754,2,25,2,8,4,9,5,1,1,1,41,3
5764,3,2,25754,2,25,2,8,4,9,5,1,1,1,42,3
5783,2,2,25754,2,25,1,1,5,5,6,1,1,1,30,7
5783,2,2,25754,2,25,1,1,5,5,6,1,1,1,32,3
5783,2,2,25754,2,25,1,1,5,5,6,1,1,2,59,1
5959,3,2,25754,2,25,2,4,5,1,3,1,2,1,50,1
5959,3,2,25754,2,25,2,4,5,1,3,1,2,2,56,2
5959,3,2,25754,2,25,2,4,5,1,3,1,2,2,15,3
7089,3,2,25754,2,25,1,1,5,9,5,1,1,2,31,2
7089,3,2,25754,2,25,1,1,5,9,5,1,1,1,28,1
7089,3,2,25754,2,25,1,1,5,9,5,1,1,2,5,3
7161,3,2,25754,2,25,2,4,3,1,3,1,2,2,38,2
7161,3,2,25754,2,25,2,4,3,1,3,1,2,1,21,3
7161,3,2,25754,2,25,2,4,3,1,3,1,2,1,8,3
7161,3,2,25754,2,25,2,4,3,1,3,1,2,2,14,3
7161,3,2,25754,2,25,2,4,3,1,3,1,2,2,59,6
7161,3,2,25754,2,25,2,4,3,1,3,1,2,1,39,1
11329,3,2,25754,3,25,1,1,4,9,4,1,1,1,27,3
11329,3,2,25754,3,25,1,1,4,9,4,1,1,1,58,1
11329,3,2,25754,3,25,1,1,4,9,4,1,1,1,25,3
11384,3,1,25175,2,25,1,1,5,9,7,1,2,2,64,1
11384,3,1,25175,2,25,1,1,5,9,7,1,2,2,28,3
11384,3,1,25175,2,25,1,1,5,9,7,1,2,1,23,3
11384,3,1,25175,2,25,1,1,5,9,7,1,2,1,63,2
11548,3,2,25175,2,25,2,4,4,9,4,1,2,1,14,3
11548,3,2,25175,2,25,2,4,4,9,4,1,2,2,41,1
11548,3,2,25175,2,25,2,4,4,9,4,1,2,1,22,4
11548,3,2,25175,2,25,2,4,4,9,4,1,2,2,0,5
11548,3,2,25175,2,25,2,4,4,9,4,1,2,2,18,3
11596,3,2,25754,3,25,1,1,4,9,6,1,1,2,32,4
11596,3,2,25754,3,25,1,1,4,9,6,1,1,1,31,3
11596,3,2,25754,3,25,1,1,4,9,6,1,1,2,64,1
11710,3,2,25175,3,25,1,3,4,9,7,1,1,2,65,1
11710,3,2,25175,3,25,1,3,4,9,7,1,1,1,8,5
11710,3,2,25175,3,25,1,3,4,9,7,1,1,1,34,3
11710,3,2,25175,3,25,1,3,4,9,7,1,1,2,30,3
11776,3,2,25754,2,25,2,8,4,9,5,1,1,2,38,2
11776,3,2,25754,2,25,2,8,4,9,5,1,1,2,66,6
11776,3,2,25754,2,25,2,8,4,9,5,1,1,1,48,1
11776,3,2,25754,2,25,2,8,4,9,5,1,1,2,16,3
11776,3,2,25754,2,25,2,8,4,9,5,1,1,1,19,3
11891,3,2,25754,3,25,1,1,4,9,5,2,3,1,51,1
13000,3,1,25286,3,25,1,1,4,9,6,1,1,1,24,5
13000,3,1,25286,3,25,1,1,4,9,6,1,1,2,68,1
13106,3,2,25286,3,25,1,1,4,9,6,1,1,1,17,3
13106,3,2,25286,3,25,1,1,4,9,6,1,1,2,10,3
13106,3,2,25286,3,25,1,1,4,9,6,1,1,1,44,1
13106,3,2,25286,3,25,1,1,4,9,6,1,1,2,44,2
14181,3,1,25286,2,25,1,1,4,9,6,1,1,1,32,3
14181,3,1,25286,2,25,1,1,4,9,6,1,1,2,67,2
14181,3,1,25286,2,25,1,1,4,9,6,1,1,1,70,1
14591,3,1,25286,2,25,1,1,4,9,7,1,1,2,69,2
14591,3,1,25286,2,25,1,1,4,9,7,1,1,1,25,5
14591,3,1,25286,2,25,1,1,4,9,7,1,1,1,71,1
15858,3,1,25175,2,25,2,5,2,9,7,1,1,1,40,3
15858,3,1,25175,2,25,2,5,2,9,7,1,1,2,71,1
15858,3,1,25175,2,25,2,5,2,9,7,1,1,1,45,3
16602,3,2,25473,2,25,2,4,4,9,5,1,2,2,54,1
16602,3,2,25473,2,25,2,4,4,9,5,1,2,2,24,3
16602,3,2,25473,2,25,2,4,4,9,5,1,2,2,9,5
16602,3,2,25473,2,25,2,4,4,9,5,1,2,1,26,3
16602,3,2,25473,2,25,2,4,4,9,5,1,2,1,70,2
16629,3,2,25473,2,25,1,1,4,9,7,1,1,1,36,3
16629,3,2,25473,2,25,1,1,4,9,7,1,1,1,62,1
16629,3,2,25473,2,25,1,1,4,9,7,1,1,2,64,2
16811,1,1,25473,3,25,2,3,4,9,5,1,1,1,18,3
16811,1,1,25473,3,25,2,3,4,9,5,1,1,2,41,1
16811,1,1,25473,3,25,2,3,4,9,5,1,1,1,9,3
16811,1,1,25473,3,25,2,3,4,9,5,1,1,1,43,2
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,45,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,35,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,2,68,1
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,27,3
17159,3,1,25754,1,25,2,8,3,9,4,1,1,1,39,3
17169,3,2,25473,2,25,1,1,4,9,6,1,2,2,46,1
17169,3,2,25473,2,25,1,1,4,9,6,1,2,2,21,3
17176,3,2,25754,2,25,1,1,5,9,4,1,1,1,6,3
17176,3,2,25754,2,25,1,1,5,9,4,1,1,2,47,2
17176,3,2,25754,2,25,1,1,5,9,4,1,1,1,22,3
17176,3,2,25754,2,25,1,1,5,9,4,1,1,1,57,1
17483,3,2,25754,1,25,1,1,4,5,5,1,1,1,35,1
17483,3,2,25754,1,25,1,1,4,5,5,1,1,2,34,2
17617,3,2,25473,3,25,1,1,4,9,7,1,2,2,11,3
17617,3,2,25473,3,25,1,1,4,9,7,1,2,2,36,1
17617,3,2,25473,3,25,1,1,4,9,7,1,2,2,42,10
17617,3,2,25473,3,25,1,1,4,9,7,1,2,1,20,10
17617,3,2,25473,3,25,1,1,4,9,7,1,2,2,21,10
17763,3,2,25754,1,25,1,1,4,5,5,1,1,1,24,7
17763,3,2,25754,1,25,1,1,4,5,5,1,1,1,21,1
18880,1,1,25175,3,25,1,1,3,9,8,1,1,1,40,1
18928,3,1,25473,3,25,1,1,4,9,6,1,2,2,51,2
18928,3,1,25473,3,25,1,1,4,9,6,1,2,2,25,3
18928,3,1,25473,3,25,1,1,4,9,6,1,2,1,65,7
18928,3,1,25473,3,25,1,1,4,9,6,1,2,1,21,3
18928,3,1,25473,3,25,1,1,4,9,6,1,2,1,58,1
18966,3,1,25175,2,25,1,1,5,2,6,1,1,1,19,3
18966,3,1,25175,2,25,1,1,5,2,6,1,1,1,8,3
18966,3,1,25175,2,25,1,1,5,2,6,1,1,1,46,1
18983,3,1,25473,3,25,1,1,3,9,5,1,1,2,23,3
18983,3,1,25473,3,25,1,1,3,9,5,1,1,1,52,1
18983,3,1,25473,3,25,1,1,3,9,5,1,1,2,71,6
18983,3,1,25473,3,25,1,1,3,9,5,1,1,2,49,2
18983,3,1,25473,3,25,1,1,3,9,5,1,1,1,16,3
