"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
19603,3,2,94001,2,94,1,1,3,9,5,1,1,1,3,3
19603,3,2,94001,2,94,1,1,3,9,5,1,1,2,23,2
19603,3,2,94001,2,94,1,1,3,9,5,1,1,2,7,3
19603,3,2,94001,2,94,1,1,3,9,5,1,1,1,29,1
20689,3,1,94001,1,94,2,2,5,1,3,1,1,2,45,1
20689,3,1,94001,1,94,2,2,5,1,3,1,1,1,20,3
22221,3,2,94001,2,94,1,1,4,9,5,1,1,1,58,2
22221,3,2,94001,2,94,1,1,4,9,5,1,1,2,58,1
22221,3,2,94001,2,94,1,1,4,9,5,1,1,1,26,3
22221,3,2,94001,2,94,1,1,4,9,5,1,1,1,15,3
23351,3,2,94001,1,94,1,1,4,9,5,1,1,1,29,1
27351,3,2,94001,NA,94,1,1,4,9,4,1,1,1,27,1
30448,3,2,94001,2,94,1,1,4,9,5,1,1,1,29,1
37014,3,2,94001,2,94,1,1,4,9,5,2,2,2,30,1
38746,1,2,94001,2,94,1,1,4,9,6,1,2,2,40,2
38746,1,2,94001,2,94,1,1,4,9,6,1,2,2,14,3
38746,1,2,94001,2,94,1,1,4,9,6,1,2,1,52,1
