"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
13645,3,2,94001,1,94,1,1,4,9,3,1,2,1,11,3
13645,3,2,94001,1,94,1,1,4,9,3,1,2,1,35,1
13645,3,2,94001,1,94,1,1,4,9,3,1,2,1,15,3
13645,3,2,94001,1,94,1,1,4,9,3,1,2,2,33,2
13645,3,2,94001,1,94,1,1,4,9,3,1,2,1,4,3
13649,3,1,94001,1,94,1,1,4,9,6,1,1,1,11,3
13649,3,1,94001,1,94,1,1,4,9,6,1,1,1,5,3
13649,3,1,94001,1,94,1,1,4,9,6,1,1,2,1,3
13649,3,1,94001,1,94,1,1,4,9,6,1,1,1,31,1
13649,3,1,94001,1,94,1,1,4,9,6,1,1,2,28,2
15770,3,2,94001,1,94,1,1,4,1,5,1,1,2,22,2
15770,3,2,94001,1,94,1,1,4,1,5,1,1,2,2,3
15770,3,2,94001,1,94,1,1,4,1,5,1,1,2,4,3
15770,3,2,94001,1,94,1,1,4,1,5,1,1,1,23,1
17054,3,1,94001,1,94,2,2,4,1,4,1,1,2,45,6
17054,3,1,94001,1,94,2,2,4,1,4,1,1,2,27,7
17054,3,1,94001,1,94,2,2,4,1,4,1,1,1,60,6
17054,3,1,94001,1,94,2,2,4,1,4,1,1,1,8,7
17054,3,1,94001,1,94,2,2,4,1,4,1,1,2,18,7
17054,3,1,94001,1,94,2,2,4,1,4,1,1,1,35,2
17054,3,1,94001,1,94,2,2,4,1,4,1,1,2,12,3
17054,3,1,94001,1,94,2,2,4,1,4,1,1,2,30,1
17054,3,1,94001,1,94,2,2,4,1,4,1,1,1,22,7
19226,2,1,94001,1,94,2,3,4,1,3,NA,NA,2,15,3
19226,2,1,94001,1,94,2,3,4,1,3,NA,NA,2,42,2
19226,2,1,94001,1,94,2,3,4,1,3,NA,NA,1,48,1
19226,2,1,94001,1,94,2,3,4,1,3,NA,NA,2,14,3
19226,2,1,94001,1,94,2,3,4,1,3,NA,NA,2,24,3
19226,2,1,94001,1,94,2,3,4,1,3,NA,NA,1,22,3
19226,2,1,94001,1,94,2,3,4,1,3,NA,NA,1,8,5
20689,3,1,94001,1,94,2,2,5,1,3,1,1,2,45,1
20689,3,1,94001,1,94,2,2,5,1,3,1,1,1,20,3
20714,3,2,94001,1,94,1,1,4,1,4,NA,NA,2,33,2
20714,3,2,94001,1,94,1,1,4,1,4,NA,NA,1,12,3
