"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","grupo","D_01","D_02","D_03","D_04","D_05","D_06","D_07","D_08","D_09","D_10","D_11_A","D_11_B","D_11_C","D_11_D","D_11_E","D_11_F","D_11_G","D_11_H","D_11_I","D_11_J","D_11_K","D_11_L","D_11_M","D_11_N","D_12_A","D_12_A_A","D_12_B","D_12_B_A","D_12_C","D_12_C_A","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","SEXO","EDAD","PARENTESCO","PADRE","MADRE","CONSENTIMIENTO","RESULTADO","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y","PER_SELECCIONADA"
15,95001,2,1,1,3,1,1,1,NA,0,95,1,1,6,1,64,1,1,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,NA,2,NA,2,NA,1,1,1,9,2,2,6,602,1,1,1,1,1,2,33,2,2,2,NA,NA,2,1,2,NA
15,95001,2,1,1,3,1,1,1,NA,0,95,1,1,6,1,64,1,1,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,NA,2,NA,2,NA,1,1,1,9,2,2,6,602,1,1,1,1,1,1,31,1,2,2,1,1,1,1,1,1
15,95001,2,1,1,3,1,1,1,NA,0,95,1,1,6,1,64,1,1,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,NA,2,NA,2,NA,1,1,1,9,2,2,6,602,1,1,1,1,1,2,13,3,1,1,NA,NA,3,1,3,NA
16,95001,2,1,3,3,1,1,1,NA,0,95,1,1,6,4,60,1,1,4,2,2,4,4,3,3,4,2,3,4,3,4,4,3,4,4,1,2,1,1,1,2,2,1,2,1,3,1,7,702,1,2,2,1,2,2,5,3,1,1,NA,NA,3,1,3,NA
16,95001,2,1,3,3,1,1,1,NA,0,95,1,1,6,4,60,1,1,4,2,2,4,4,3,3,4,2,3,4,3,4,4,3,4,4,1,2,1,1,1,2,2,1,2,1,3,1,7,702,1,2,2,1,2,1,69,1,3,3,NA,NA,1,1,1,NA
16,95001,2,1,3,3,1,1,1,NA,0,95,1,1,6,4,60,1,1,4,2,2,4,4,3,3,4,2,3,4,3,4,4,3,4,4,1,2,1,1,1,2,2,1,2,1,3,1,7,702,1,2,2,1,2,2,41,2,2,2,1,1,2,1,2,1
17,95001,1,1,1,4,1,1,1,NA,0,95,1,1,4,4,50,1,1,4,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,2,3,3,1,1,NA,NA,4,1,4,NA
17,95001,1,1,1,4,1,1,1,NA,0,95,1,1,4,4,50,1,1,4,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,1,39,1,3,3,1,1,1,1,1,1
17,95001,1,1,1,4,1,1,1,NA,0,95,1,1,4,4,50,1,1,4,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,2,16,3,1,1,NA,NA,3,1,3,NA
17,95001,1,1,1,4,1,1,1,NA,0,95,1,1,4,4,50,1,1,4,2,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,2,2,3,305,1,1,1,1,1,2,34,2,2,2,NA,NA,2,1,2,NA
19,95001,2,1,1,3,1,1,1,NA,0,95,2,1,10,1,16,1,1,5,1,1,4,2,2,3,4,1,2,4,2,4,4,2,3,4,1,2,1,1,1,1,3,1,3,9,6,0,5,511,1,1,3,1,3,2,33,3,3,1,NA,NA,2,1,2,NA
19,95001,2,1,1,3,1,1,1,NA,0,95,2,1,10,1,16,1,1,5,1,1,4,2,2,3,4,1,2,4,2,4,4,2,3,4,1,2,1,1,1,1,3,1,3,9,6,0,5,511,1,1,3,1,3,1,21,5,2,2,1,1,3,1,3,1
19,95001,2,1,1,3,1,1,1,NA,0,95,2,1,10,1,16,1,1,5,1,1,4,2,2,3,4,1,2,4,2,4,4,2,3,4,1,2,1,1,1,1,3,1,3,9,6,0,5,511,1,1,3,1,3,2,78,1,3,3,NA,NA,1,1,1,NA
20,95001,1,1,1,3,1,1,1,NA,0,95,1,1,12,1,56,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,9,5,2,5,511,1,2,2,1,2,2,67,1,2,2,NA,NA,1,1,1,NA
20,95001,1,1,1,3,1,1,1,NA,0,95,1,1,12,1,56,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,9,5,2,5,511,1,2,2,1,2,2,40,3,2,1,1,1,2,1,2,1
20,95001,1,1,1,3,1,1,1,NA,0,95,1,1,12,1,56,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,2,1,2,9,5,2,5,511,1,2,2,1,2,2,10,5,2,1,NA,NA,3,1,3,NA
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,1,10,10,2,1,NA,NA,8,1,8,NA
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,2,24,1,2,2,NA,NA,1,1,1,NA
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,2,3,3,1,1,NA,NA,4,1,4,NA
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,2,5,3,1,1,NA,NA,3,1,3,NA
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,2,33,10,2,2,1,1,5,1,5,1
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,1,37,2,2,2,NA,NA,2,1,2,NA
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,1,16,10,2,1,NA,NA,6,1,6,NA
24,95001,1,1,1,8,1,1,1,NA,0,95,1,1,7,1,48,1,1,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,5,1,5,9,5,3,3,305,1,2,5,1,5,1,13,10,2,1,NA,NA,7,1,7,NA
25,95001,1,1,1,3,1,1,1,NA,0,95,1,1,6,4,9,1,3,3,2,2,3,4,5,3,4,3,3,4,3,3,4,3,4,4,1,2,2,NA,2,NA,1,1,1,9,6,3,5,511,1,2,1,1,1,2,27,1,2,2,1,1,1,1,1,1
25,95001,1,1,1,3,1,1,1,NA,0,95,1,1,6,4,9,1,3,3,2,2,3,4,5,3,4,3,3,4,3,3,4,3,4,4,1,2,2,NA,2,NA,1,1,1,9,6,3,5,511,1,2,1,1,1,2,8,3,2,1,NA,NA,3,1,3,NA
25,95001,1,1,1,3,1,1,1,NA,0,95,1,1,6,4,9,1,3,3,2,2,3,4,5,3,4,3,3,4,3,3,4,3,4,4,1,2,2,NA,2,NA,1,1,1,9,6,3,5,511,1,2,1,1,1,1,9,3,2,1,NA,NA,2,1,2,NA
32,95001,3,1,1,1,1,1,1,NA,0,95,1,1,1,1,16,1,1,4,2,2,4,3,4,3,4,2,3,3,4,2,3,4,4,4,1,1,2,NA,2,NA,1,1,1,9,6,0,6,602,1,1,1,1,1,1,18,1,2,2,1,1,1,1,1,1
41,95001,2,1,1,3,1,1,1,NA,0,95,2,3,NA,NA,NA,1,3,4,2,2,4,4,3,3,3,4,4,4,4,4,4,3,3,3,1,2,1,2,2,NA,2,1,2,1,1,0,6,601,1,2,2,1,2,2,19,2,2,2,1,1,2,1,2,1
41,95001,2,1,1,3,1,1,1,NA,0,95,2,3,NA,NA,NA,1,3,4,2,2,4,4,3,3,3,4,4,4,4,4,4,3,3,3,1,2,1,2,2,NA,2,1,2,1,1,0,6,601,1,2,2,1,2,2,16,3,1,2,NA,NA,3,1,3,NA
41,95001,2,1,1,3,1,1,1,NA,0,95,2,3,NA,NA,NA,1,3,4,2,2,4,4,3,3,3,4,4,4,4,4,4,3,3,3,1,2,1,2,2,NA,2,1,2,1,1,0,6,601,1,2,2,1,2,1,33,1,2,2,NA,NA,1,1,1,NA
48,95001,2,1,2,1,1,1,1,NA,0,95,1,1,6,4,72,1,3,4,2,2,4,4,4,2,4,2,3,4,5,3,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,6,0,8,806,1,1,1,1,1,1,34,1,2,3,1,1,1,1,1,1
49,95001,1,1,1,4,1,1,1,NA,0,95,2,4,NA,NA,NA,1,1,1,2,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,2,NA,2,NA,2,NA,2,1,2,9,2,2,6,602,1,2,2,1,2,2,6,3,1,1,NA,NA,4,1,4,NA
49,95001,1,1,1,4,1,1,1,NA,0,95,2,4,NA,NA,NA,1,1,1,2,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,2,NA,2,NA,2,NA,2,1,2,9,2,2,6,602,1,2,2,1,2,2,11,3,2,1,NA,NA,3,1,3,NA
49,95001,1,1,1,4,1,1,1,NA,0,95,2,4,NA,NA,NA,1,1,1,2,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,2,NA,2,NA,2,NA,2,1,2,9,2,2,6,602,1,2,2,1,2,2,29,2,2,2,1,1,2,1,2,1
49,95001,1,1,1,4,1,1,1,NA,0,95,2,4,NA,NA,NA,1,1,1,2,1,4,4,4,3,4,3,3,4,3,3,4,3,3,4,2,NA,2,NA,2,NA,2,1,2,9,2,2,6,602,1,2,2,1,2,1,28,1,2,2,NA,NA,1,1,1,NA
53,95001,1,1,1,3,1,1,1,NA,0,95,2,1,5,1,51,1,1,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,1,6,601,1,1,1,1,1,1,32,1,2,2,1,1,1,1,1,1
53,95001,1,1,1,3,1,1,1,NA,0,95,2,1,5,1,51,1,1,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,1,6,601,1,1,1,1,1,2,36,2,2,2,NA,NA,2,1,2,NA
53,95001,1,1,1,3,1,1,1,NA,0,95,2,1,5,1,51,1,1,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,NA,1,1,1,9,1,1,6,601,1,1,1,1,1,2,0,3,1,1,NA,NA,3,1,3,NA
55,95001,2,1,1,4,1,1,1,NA,0,95,2,1,7,1,77,1,3,3,1,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,5,3,5,511,1,2,3,1,3,2,51,6,2,2,1,1,3,1,3,1
55,95001,2,1,1,4,1,1,1,NA,0,95,2,1,7,1,77,1,3,3,1,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,5,3,5,511,1,2,3,1,3,2,23,1,2,1,NA,NA,1,1,1,NA
55,95001,2,1,1,4,1,1,1,NA,0,95,2,1,7,1,77,1,3,3,1,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,5,3,5,511,1,2,3,1,3,1,26,2,2,2,NA,NA,2,1,2,NA
55,95001,2,1,1,4,1,1,1,NA,0,95,2,1,7,1,77,1,3,3,1,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,3,1,3,9,5,3,5,511,1,2,3,1,3,1,30,7,2,1,NA,NA,4,1,4,NA
60,95001,1,1,1,4,1,1,1,NA,0,95,2,3,NA,NA,NA,1,3,4,2,2,5,4,1,1,2,4,4,4,4,5,4,4,5,4,2,NA,2,NA,2,NA,2,1,2,9,6,0,4,407,NA,NA,2,1,2,1,14,3,2,1,1,1,2,1,2,1
60,95001,1,1,1,4,1,1,1,NA,0,95,2,3,NA,NA,NA,1,3,4,2,2,5,4,1,1,2,4,4,4,4,5,4,4,5,4,2,NA,2,NA,2,NA,2,1,2,9,6,0,4,407,NA,NA,2,1,2,2,6,3,2,1,NA,NA,3,1,3,NA
60,95001,1,1,1,4,1,1,1,NA,0,95,2,3,NA,NA,NA,1,3,4,2,2,5,4,1,1,2,4,4,4,4,5,4,4,5,4,2,NA,2,NA,2,NA,2,1,2,9,6,0,4,407,NA,NA,2,1,2,2,31,1,2,2,NA,NA,1,1,1,NA
60,95001,1,1,1,4,1,1,1,NA,0,95,2,3,NA,NA,NA,1,3,4,2,2,5,4,1,1,2,4,4,4,4,5,4,4,5,4,2,NA,2,NA,2,NA,2,1,2,9,6,0,4,407,NA,NA,2,1,2,1,1,3,2,1,NA,NA,4,1,4,NA
63,95001,1,1,1,2,1,1,1,NA,0,95,1,1,12,3,6,1,3,3,2,2,5,1,4,5,4,4,5,4,4,4,4,4,4,4,2,NA,2,NA,2,NA,1,1,1,9,6,5,3,302,1,2,1,1,1,2,60,1,2,2,1,1,1,1,1,1
