"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
827,3,2,95001,1,95,1,1,3,9,6,1,1,1,30,1
827,3,2,95001,1,95,1,1,3,9,6,1,1,2,34,2
836,3,2,95001,1,95,1,1,4,9,5,1,1,1,62,2
836,3,2,95001,1,95,1,1,4,9,5,1,1,2,57,1
994,3,2,95001,1,95,1,1,4,9,4,1,1,1,59,1
1461,3,2,95001,2,95,1,4,2,9,3,1,1,1,6,5
1461,3,2,95001,2,95,1,4,2,9,3,1,1,1,62,1
2804,3,2,95001,1,95,1,1,3,9,6,1,1,1,32,3
2804,3,2,95001,1,95,1,1,3,9,6,1,1,1,58,1
2804,3,2,95001,1,95,1,1,3,9,6,1,1,1,2,5
2804,3,2,95001,1,95,1,1,3,9,6,1,1,2,28,4
2804,3,2,95001,1,95,1,1,3,9,6,1,1,1,10,5
9102,3,2,95001,1,95,1,1,3,9,4,1,1,1,21,1
9102,3,2,95001,1,95,1,1,3,9,4,1,1,1,0,3
9102,3,2,95001,1,95,1,1,3,9,4,1,1,2,20,2
11013,3,2,95001,1,95,1,4,4,9,4,1,1,1,61,1
18124,3,2,95001,2,95,1,1,4,9,4,1,1,1,56,1
19179,3,2,95001,2,95,1,7,4,9,1,1,2,2,47,1
27717,3,2,95025,1,95,1,1,3,9,3,1,1,1,55,1
