"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
129,3,2,95001,1,95,1,1,3,9,5,1,1,1,44,1
129,3,2,95001,1,95,1,1,3,9,5,1,1,1,15,3
129,3,2,95001,1,95,1,1,3,9,5,1,1,1,22,3
290,3,2,95001,2,95,1,1,3,9,7,1,1,1,40,1
522,3,2,95001,1,95,1,1,3,9,5,1,2,2,5,3
522,3,2,95001,1,95,1,1,3,9,5,1,2,1,6,3
522,3,2,95001,1,95,1,1,3,9,5,1,2,2,30,2
522,3,2,95001,1,95,1,1,3,9,5,1,2,1,26,1
522,3,2,95001,1,95,1,1,3,9,5,1,2,2,12,3
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,35,3
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,60,1
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,27,4
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,5,5
760,3,2,95001,3,95,1,1,4,9,7,1,1,2,27,4
760,3,2,95001,3,95,1,1,4,9,7,1,1,2,7,5
778,3,2,95001,1,95,1,1,4,1,3,1,1,1,60,1
778,3,2,95001,1,95,1,1,4,1,3,1,1,1,28,3
778,3,2,95001,1,95,1,1,4,1,3,1,1,1,26,3
827,3,2,95001,1,95,1,1,3,9,6,1,1,2,34,2
827,3,2,95001,1,95,1,1,3,9,6,1,1,1,30,1
1461,3,2,95001,2,95,1,4,2,9,3,1,1,1,62,1
1461,3,2,95001,2,95,1,4,2,9,3,1,1,1,6,5
4766,3,1,95001,1,95,1,1,4,9,5,1,1,1,39,1
4766,3,1,95001,1,95,1,1,4,9,5,1,1,2,28,2
5449,3,2,95001,9,95,1,1,3,9,8,1,1,1,11,3
5449,3,2,95001,9,95,1,1,3,9,8,1,1,1,15,3
5449,3,2,95001,9,95,1,1,3,9,8,1,1,2,40,2
5449,3,2,95001,9,95,1,1,3,9,8,1,1,1,45,1
5483,3,2,95001,1,95,1,1,4,9,6,1,1,2,40,2
5483,3,2,95001,1,95,1,1,4,9,6,1,1,1,50,1
9102,3,2,95001,1,95,1,1,3,9,4,1,1,2,20,2
9102,3,2,95001,1,95,1,1,3,9,4,1,1,1,0,3
9102,3,2,95001,1,95,1,1,3,9,4,1,1,1,21,1
14800,3,2,95025,1,95,1,1,2,9,2,1,2,2,10,3
14800,3,2,95025,1,95,1,1,2,9,2,1,2,2,29,1
14800,3,2,95025,1,95,1,1,2,9,2,1,2,2,14,3
16010,3,2,95025,1,95,1,1,4,9,6,1,1,1,3,3
16010,3,2,95025,1,95,1,1,4,9,6,1,1,2,19,2
16010,3,2,95025,1,95,1,1,4,9,6,1,1,1,27,1
16014,3,2,95025,1,95,1,1,3,9,4,1,1,1,26,1
19176,3,2,95001,1,95,1,1,4,9,5,1,2,2,23,1
20858,3,2,95001,2,95,1,1,4,9,6,1,1,1,4,3
20858,3,2,95001,2,95,1,1,4,9,6,1,1,1,34,1
20858,3,2,95001,2,95,1,1,4,9,6,1,1,2,33,2
