"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
48,3,2,95001,2,95,1,1,4,9,8,1,1,1,34,1
129,3,2,95001,1,95,1,1,3,9,5,1,1,1,15,3
129,3,2,95001,1,95,1,1,3,9,5,1,1,1,44,1
129,3,2,95001,1,95,1,1,3,9,5,1,1,1,22,3
266,2,1,95001,2,95,1,1,4,9,5,1,1,1,18,1
279,3,2,95001,2,95,1,1,4,1,4,1,1,1,25,1
279,3,2,95001,2,95,1,1,4,1,4,1,1,2,5,3
290,3,2,95001,2,95,1,1,3,9,7,1,1,1,40,1
522,3,2,95001,1,95,1,1,3,9,5,1,2,2,5,3
522,3,2,95001,1,95,1,1,3,9,5,1,2,2,30,2
522,3,2,95001,1,95,1,1,3,9,5,1,2,2,12,3
522,3,2,95001,1,95,1,1,3,9,5,1,2,1,26,1
522,3,2,95001,1,95,1,1,3,9,5,1,2,1,6,3
598,3,2,95001,1,95,1,1,3,9,3,1,1,1,64,1
760,3,2,95001,3,95,1,1,4,9,7,1,1,2,7,5
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,35,3
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,5,5
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,27,4
760,3,2,95001,3,95,1,1,4,9,7,1,1,1,60,1
760,3,2,95001,3,95,1,1,4,9,7,1,1,2,27,4
778,3,1,95001,1,95,1,1,4,1,3,1,1,1,60,1
778,3,1,95001,1,95,1,1,4,1,3,1,1,1,26,3
778,3,1,95001,1,95,1,1,4,1,3,1,1,1,28,3
827,3,2,95001,1,95,1,1,3,9,6,1,1,1,30,1
827,3,2,95001,1,95,1,1,3,9,6,1,1,2,34,2
836,3,2,95001,1,95,1,1,4,9,5,1,1,2,57,1
836,3,2,95001,1,95,1,1,4,9,5,1,1,1,62,2
1461,3,2,95001,2,95,1,4,2,9,3,1,1,1,6,5
1461,3,2,95001,2,95,1,4,2,9,3,1,1,1,62,1
1491,3,2,95001,1,95,1,1,4,9,4,1,1,1,29,1
1491,3,2,95001,1,95,1,1,4,9,4,1,1,2,27,2
1953,3,1,95001,1,95,2,3,4,9,4,NA,NA,2,50,1
1953,3,1,95001,1,95,2,3,4,9,4,NA,NA,1,15,3
1958,3,2,95001,2,95,1,1,3,9,3,1,1,1,7,3
1958,3,2,95001,2,95,1,1,3,9,3,1,1,2,6,3
1958,3,2,95001,2,95,1,1,3,9,3,1,1,1,7,3
1958,3,2,95001,2,95,1,1,3,9,3,1,1,1,33,1
1958,3,2,95001,2,95,1,1,3,9,3,1,1,2,11,3
1958,3,2,95001,2,95,1,1,3,9,3,1,1,2,32,2
1958,3,2,95001,2,95,1,1,3,9,3,1,1,1,17,3
2422,3,2,95001,1,95,1,1,3,9,5,1,1,1,0,3
2422,3,2,95001,1,95,1,1,3,9,5,1,1,1,12,3
2422,3,2,95001,1,95,1,1,3,9,5,1,1,2,30,2
2422,3,2,95001,1,95,1,1,3,9,5,1,1,1,31,1
2422,3,2,95001,1,95,1,1,3,9,5,1,1,1,7,3
