"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO"
1503,3,1,41001,2
2722,3,2,41001,2
3361,3,2,41001,2
3523,2,1,41001,2
4080,3,2,41001,2
5499,3,2,41001,1
5661,3,2,41551,1
5971,3,2,41001,2
6015,3,2,41001,1
6093,3,1,41001,1
6849,3,1,41001,1
7655,3,2,41001,2
8636,3,2,41001,2
8953,1,1,41001,3
9772,9,2,41551,2
9824,3,1,41551,3
10447,3,2,41001,2
11391,3,2,41001,2
11803,3,2,41551,3
14282,3,2,41001,2
14764,3,2,41551,1
15318,3,2,41551,2
15490,3,1,41551,2
15561,3,2,41551,2
16084,3,1,41551,1
17088,3,2,41001,1
17888,3,2,41001,3
19186,3,2,41298,2
20026,3,1,41551,3
21539,3,2,41001,2
22815,3,2,41001,3
27177,2,1,41001,2
28321,3,1,41001,2
28591,3,2,41001,2
28972,3,2,41001,2
29241,3,2,41001,2
29472,2,1,41001,1
29961,3,2,41001,2
30927,3,1,41001,2
32479,3,2,41001,2
32592,3,2,41001,2
33021,3,2,41001,2
33589,3,2,41001,2
33974,3,1,41001,1
36795,3,1,41001,3
36854,3,2,41001,2
39049,3,2,41001,1
39104,3,2,41001,5
39428,3,2,41001,2
40832,3,1,41001,1
41957,3,2,41001,1
41981,3,2,41001,2
42188,3,2,41001,2
42280,3,2,41001,3
43836,3,2,41001,1
44146,2,1,41001,3
44714,3,2,41001,NA
44962,9,2,41001,1
45355,2,1,41001,1
46890,3,2,41001,2
47970,3,2,41001,1
48039,3,2,41001,2
