"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO"
"50001",1,1,3,3,106
"50001",1,1,3,6,135
"50001",1,1,3,4,147
"50001",2,1,3,4,311
"50001",1,1,3,3,621
"50001",1,1,3,2,636
"50001",2,1,2,2,645
"50001",2,1,2,1,674
"50001",1,1,3,1,885
"50001",2,1,2,5,933
"50001",1,1,3,2,989
"50001",1,1,2,6,999
"50001",1,1,2,5,1050
"50001",2,1,2,5,1084
"50001",1,1,2,3,1135
"50001",1,1,2,4,1139
"50001",2,1,2,3,1155
"50001",1,1,2,5,1165
"50001",2,1,2,2,1223
"50001",1,1,2,2,1226
"50001",1,1,3,2,1231
"50001",1,1,3,4,1792
"50001",1,1,1,4,1808
"50001",1,1,1,10,1854
"50001",2,1,2,3,1887
"50001",2,1,1,5,1906
"50001",1,1,1,1,1909
"50001",1,1,1,4,1929
"50001",1,1,1,3,1939
"50001",1,1,1,9,1949
"50001",1,1,1,2,1971
"50001",1,1,2,5,2289
"50001",1,1,2,1,2295
"50001",2,1,1,3,2297
"50001",2,1,2,4,2311
"50001",2,1,2,2,2313
"50001",2,1,2,2,2323
"50001",1,1,2,4,2325
"50001",1,1,2,2,2339
"50001",1,1,2,1,2355
"50001",1,1,2,3,2356
"50001",2,1,2,3,2364
"50001",1,1,2,2,2367
"50001",2,1,2,2,2368
"50001",1,1,2,3,2387
"50001",2,1,3,1,2390
"50001",2,1,2,2,2409
"50001",1,1,3,4,2429
"50001",1,1,2,1,2438
"50313",1,1,2,4,2450
"50313",1,1,2,5,2456
"50001",1,1,2,3,2463
"50001",1,1,3,4,2478
"50313",1,1,2,5,2481
"50001",1,1,2,1,2494
"50313",1,1,2,5,2504
"50313",1,1,3,2,2505
"50313",1,1,2,2,2513
"50313",1,1,2,2,2514
"50001",2,1,2,4,2516
"50001",2,1,1,1,2565
"50313",2,1,2,4,2585
"50313",1,1,2,2,2622
"50313",1,1,2,2,2639
"50313",1,1,2,3,2661
"50313",1,1,2,3,2688
"50313",2,1,2,2,2708
"50313",2,1,2,1,2723
"50313",1,1,2,2,2743
"50313",1,1,2,3,2782
"50313",1,1,2,4,2783
"50313",2,1,2,2,2785
"50001",2,1,1,3,2787
"50001",2,1,1,2,2790
"50001",1,1,1,3,2791
"50001",1,1,2,5,2793
"50001",1,1,3,5,2795
"50001",2,1,3,3,2796
"50001",1,1,3,2,2800
"50001",1,1,2,2,2802
"50001",1,1,2,3,2842
"50001",1,1,2,5,2863
"50001",3,1,1,4,2868
"50001",1,1,1,3,2881
"50001",1,1,2,4,2887
"50001",1,1,2,5,2891
